gene_id,ctrl_1,ctrl_2,ctrl_3,treat_1,treat_2,treat_3
ENSG00000000001,3100,700,3200,2700,3400,3800
ENSG00000000002,2000,3800,2000,1600,1900,2600
ENSG00000000003,3300,1300,2300,1400,2300,700
ENSG00000000004,2400,3300,2300,1400,2400,1800
ENSG00000000005,2400,1600,3000,2500,1400,3600
ENSG00000000006,4000,2500,2500,1600,2400,1000
ENSG00000000007,3300,1500,1700,2000,2400,2200
ENSG00000000008,4700,3000,2900,2700,1800,1300
ENSG00000000009,1900,3100,2200,3200,1000,1700
ENSG00000000010,2200,3200,2500,1600,1600,2400
ENSG00000000011,2900,2300,1800,4200,3500,2100
ENSG00000000012,3300,2400,3500,3000,3900,3100
ENSG00000000013,2300,3400,3900,1600,3100,2300
ENSG00000000014,1200,3000,3600,1200,2900,2100
ENSG00000000015,1600,2200,2900,1100,2100,3100
ENSG00000000016,2200,3200,2300,2000,1700,4100
ENSG00000000017,1100,4100,2200,3600,900,1800
ENSG00000000018,2300,2100,1000,1900,2800,1400
ENSG00000000019,4500,1900,1700,2300,2600,2200
ENSG00000000020,2300,2400,2200,1300,2300,3000
ENSG00000000021,2300,2200,1900,1900,2700,5100
ENSG00000000022,1600,2400,1300,1600,2500,1300
ENSG00000000023,3200,4100,3200,1600,3400,900
ENSG00000000024,2800,2600,2500,2100,800,1200
ENSG00000000025,3000,2400,3100,1500,1300,2200
ENSG00000000026,2500,3600,3000,3000,1400,4900
ENSG00000000027,3200,900,1100,2500,2500,2800
ENSG00000000028,3400,3100,4600,1100,800,900
ENSG00000000029,1800,3100,1800,800,3400,2700
ENSG00000000030,2700,2500,2300,2200,1800,3200
ENSG00000000031,1700,2800,2200,1500,2500,4500
ENSG00000000032,1300,1800,1900,2900,1600,3800
ENSG00000000033,1900,2900,2400,900,3300,2500
ENSG00000000034,1300,2900,1500,1700,1900,2100
ENSG00000000035,2900,4200,2200,1600,2200,2500
ENSG00000000036,3000,1800,2200,2200,1900,2300
ENSG00000000037,2100,3300,2100,2500,1800,3600
ENSG00000000038,3700,2100,2500,2600,1600,1700
ENSG00000000039,2000,1100,2500,2000,2600,2500
ENSG00000000040,2200,2300,2000,1600,2000,1600
ENSG00000000041,4400,2900,1800,2100,1800,2300
ENSG00000000042,3000,3400,3400,2700,1200,2700
ENSG00000000043,1500,1100,3800,2700,500,3300
ENSG00000000044,1800,2300,2000,2000,2000,2400
ENSG00000000045,1900,1600,2100,3000,1000,1700
ENSG00000000046,1400,2700,1500,4000,2700,2300
ENSG00000000047,1400,1500,3700,2700,1400,2200
ENSG00000000048,1700,2400,3000,3800,2800,2700
ENSG00000000049,3400,2300,1900,3600,1500,2900
ENSG00000000050,600,2800,2000,2500,2700,4200

# Ünexpected chäracters
