gene_id	ctrl_1	ctrl_2	ctrl_3	treat_1	treat_2	treat_3
ENSG00000000001	3100	700	3200	2700	3400	3800
ENSG00000000002	0	0	0	0	0	0
ENSG00000000003	0	0	0	0	0	0
ENSG00000000004	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0
ENSG00000000006	0	0	0	0	0	0
ENSG00000000007	3300	1500	1700	2000	2400	2200
ENSG00000000008	0	0	0	0	0	0
ENSG00000000009	0	0	0	0	0	0
ENSG00000000010	0	0	0	0	0	0
ENSG00000000011	2900	2300	1800	4200	3500	2100
ENSG00000000012	0	0	0	0	0	0
ENSG00000000013	0	0	0	0	0	0
ENSG00000000014	0	0	0	0	0	0
ENSG00000000015	0	0	0	0	0	0
ENSG00000000016	0	0	0	0	0	0
ENSG00000000017	0	0	0	0	0	0
ENSG00000000018	0	0	0	0	0	0
ENSG00000000019	0	0	0	0	0	0
ENSG00000000020	2300	2400	2200	1300	2300	3000
ENSG00000000021	0	0	0	0	0	0
ENSG00000000022	0	0	0	0	0	0
ENSG00000000023	0	0	0	0	0	0
ENSG00000000024	2800	2600	2500	2100	800	1200
ENSG00000000025	0	0	0	0	0	0
ENSG00000000026	0	0	0	0	0	0
ENSG00000000027	0	0	0	0	0	0
ENSG00000000028	0	0	0	0	0	0
ENSG00000000029	0	0	0	0	0	0
ENSG00000000030	0	0	0	0	0	0
ENSG00000000031	0	0	0	0	0	0
ENSG00000000032	0	0	0	0	0	0
ENSG00000000033	1900	2900	2400	900	3300	2500
ENSG00000000034	0	0	0	0	0	0
ENSG00000000035	2900	4200	2200	1600	2200	2500
ENSG00000000036	0	0	0	0	0	0
ENSG00000000037	0	0	0	0	0	0
ENSG00000000038	0	0	0	0	0	0
ENSG00000000039	0	0	0	0	0	0
ENSG00000000040	0	0	0	0	0	0
ENSG00000000041	0	0	0	0	0	0
ENSG00000000042	3000	3400	3400	2700	1200	2700
ENSG00000000043	0	0	0	0	0	0
ENSG00000000044	0	0	0	0	0	0
ENSG00000000045	0	0	0	0	0	0
ENSG00000000046	1400	2700	1500	4000	2700	2300
ENSG00000000047	1400	1500	3700	2700	1400	2200
ENSG00000000048	0	0	0	0	0	0
ENSG00000000049	3400	2300	1900	3600	1500	2900
ENSG00000000050	0	0	0	0	0	0
ENSG00000000051	2000	3000	2400	2000	4000	1900
ENSG00000000052	800	2000	1400	2800	1800	3800
ENSG00000000053	1400	2300	1600	2600	1800	5700
ENSG00000000054	0	0	0	0	0	0
ENSG00000000055	2800	2200	4200	3600	3500	900
ENSG00000000056	2900	3400	3300	2600	2200	1000
ENSG00000000057	0	0	0	0	0	0
ENSG00000000058	3200	2800	4600	2200	2200	2200
ENSG00000000059	2300	2200	2200	2700	2400	3100
ENSG00000000060	0	0	0	0	0	0
ENSG00000000061	4900	3200	3000	2200	2700	2600
ENSG00000000062	0	0	0	0	0	0
ENSG00000000063	2400	3000	3500	1000	1500	1700
ENSG00000000064	0	0	0	0	0	0
ENSG00000000065	2200	1900	1200	2900	1600	1500
ENSG00000000066	0	0	0	0	0	0
ENSG00000000067	0	0	0	0	0	0
ENSG00000000068	0	0	0	0	0	0
ENSG00000000069	1800	1800	1100	1600	3500	2200
ENSG00000000070	0	0	0	0	0	0
ENSG00000000071	0	0	0	0	0	0
ENSG00000000072	0	0	0	0	0	0
ENSG00000000073	2300	2700	2300	2300	1900	900
ENSG00000000074	2200	1700	2100	1300	3200	1400
ENSG00000000075	0	0	0	0	0	0
ENSG00000000076	1500	1700	3500	1300	2200	1300
ENSG00000000077	800	2000	3500	2300	2600	3900
ENSG00000000078	0	0	0	0	0	0
ENSG00000000079	0	0	0	0	0	0
ENSG00000000080	0	0	0	0	0	0
ENSG00000000081	0	0	0	0	0	0
ENSG00000000082	0	0	0	0	0	0
ENSG00000000083	0	0	0	0	0	0
ENSG00000000084	3300	1100	2400	1000	2700	3100
ENSG00000000085	0	0	0	0	0	0
ENSG00000000086	0	0	0	0	0	0
ENSG00000000087	0	0	0	0	0	0
ENSG00000000088	0	0	0	0	0	0
ENSG00000000089	0	0	0	0	0	0
ENSG00000000090	0	0	0	0	0	0
ENSG00000000091	0	0	0	0	0	0
ENSG00000000092	0	0	0	0	0	0
ENSG00000000093	2700	2400	3800	3700	4900	800
ENSG00000000094	1500	3400	2200	2600	3100	2600
ENSG00000000095	0	0	0	0	0	0
ENSG00000000096	0	0	0	0	0	0
ENSG00000000097	0	0	0	0	0	0
ENSG00000000098	0	0	0	0	0	0
ENSG00000000099	0	0	0	0	0	0
ENSG00000000100	0	0	0	0	0	0
ENSG00000000101	1400	2400	1300	1500	2000	2300
ENSG00000000102	0	0	0	0	0	0
ENSG00000000103	2000	1800	1400	2100	2200	2800
ENSG00000000104	0	0	0	0	0	0
ENSG00000000105	2300	4800	2000	4100	1600	2600
ENSG00000000106	0	0	0	0	0	0
ENSG00000000107	0	0	0	0	0	0
ENSG00000000108	0	0	0	0	0	0
ENSG00000000109	2400	2000	2000	2300	1800	2400
ENSG00000000110	2900	2300	2400	2300	2900	3200
ENSG00000000111	0	0	0	0	0	0
ENSG00000000112	1000	1400	3100	1200	1600	1400
ENSG00000000113	0	0	0	0	0	0
ENSG00000000114	0	0	0	0	0	0
ENSG00000000115	0	0	0	0	0	0
ENSG00000000116	0	0	0	0	0	0
ENSG00000000117	0	0	0	0	0	0
ENSG00000000118	1800	1800	1600	2600	3300	1900
ENSG00000000119	3400	2000	1400	2700	3500	1900
ENSG00000000120	2500	1500	3000	3200	1800	2400
ENSG00000000121	0	0	0	0	0	0
ENSG00000000122	0	0	0	0	0	0
ENSG00000000123	0	0	0	0	0	0
ENSG00000000124	0	0	0	0	0	0
ENSG00000000125	0	0	0	0	0	0
ENSG00000000126	0	0	0	0	0	0
ENSG00000000127	0	0	0	0	0	0
ENSG00000000128	0	0	0	0	0	0
ENSG00000000129	2500	3300	1300	3900	1900	2600
ENSG00000000130	0	0	0	0	0	0
ENSG00000000131	0	0	0	0	0	0
ENSG00000000132	0	0	0	0	0	0
ENSG00000000133	0	0	0	0	0	0
ENSG00000000134	1900	2500	1800	2000	3500	3500
ENSG00000000135	0	0	0	0	0	0
ENSG00000000136	0	0	0	0	0	0
ENSG00000000137	0	0	0	0	0	0
ENSG00000000138	0	0	0	0	0	0
ENSG00000000139	0	0	0	0	0	0
ENSG00000000140	1800	2100	2300	2200	1500	3700
ENSG00000000141	1600	1900	1900	2100	2600	3500
ENSG00000000142	0	0	0	0	0	0
ENSG00000000143	0	0	0	0	0	0
ENSG00000000144	0	0	0	0	0	0
ENSG00000000145	0	0	0	0	0	0
ENSG00000000146	0	0	0	0	0	0
ENSG00000000147	0	0	0	0	0	0
ENSG00000000148	0	0	0	0	0	0
ENSG00000000149	0	0	0	0	0	0
ENSG00000000150	0	0	0	0	0	0
ENSG00000000151	2400	3000	2200	1800	3400	3400
ENSG00000000152	1300	1800	1900	1100	2900	2100
ENSG00000000153	0	0	0	0	0	0
ENSG00000000154	0	0	0	0	0	0
ENSG00000000155	0	0	0	0	0	0
ENSG00000000156	0	0	0	0	0	0
ENSG00000000157	0	0	0	0	0	0
ENSG00000000158	0	0	0	0	0	0
ENSG00000000159	0	0	0	0	0	0
ENSG00000000160	0	0	0	0	0	0
ENSG00000000161	0	0	0	0	0	0
ENSG00000000162	0	0	0	0	0	0
ENSG00000000163	0	0	0	0	0	0
ENSG00000000164	2300	1500	3300	3700	1000	2600
ENSG00000000165	0	0	0	0	0	0
ENSG00000000166	2800	1600	2600	1700	2900	2400
ENSG00000000167	0	0	0	0	0	0
ENSG00000000168	3200	1600	2100	1700	2800	1300
ENSG00000000169	0	0	0	0	0	0
ENSG00000000170	3000	700	3100	1900	1900	1800
ENSG00000000171	1400	2500	3000	3900	2300	3900
ENSG00000000172	0	0	0	0	0	0
ENSG00000000173	0	0	0	0	0	0
ENSG00000000174	0	0	0	0	0	0
ENSG00000000175	0	0	0	0	0	0
ENSG00000000176	0	0	0	0	0	0
ENSG00000000177	2300	1500	2900	1900	1800	2400
ENSG00000000178	2000	3100	1400	2800	2500	900
ENSG00000000179	2600	1700	2600	2000	2700	1800
ENSG00000000180	2000	800	1600	2500	1400	2900
ENSG00000000181	2200	4200	2400	3100	2600	1000
ENSG00000000182	2200	1300	2300	2700	1700	4100
ENSG00000000183	2300	1800	3000	2700	2700	2100
ENSG00000000184	0	0	0	0	0	0
ENSG00000000185	0	0	0	0	0	0
ENSG00000000186	0	0	0	0	0	0
ENSG00000000187	2600	2400	2100	3000	800	2300
ENSG00000000188	0	0	0	0	0	0
ENSG00000000189	0	0	0	0	0	0
ENSG00000000190	2600	1900	1600	2500	2600	2400
ENSG00000000191	0	0	0	0	0	0
ENSG00000000192	0	0	0	0	0	0
ENSG00000000193	2000	2200	2200	1100	3300	1500
ENSG00000000194	0	0	0	0	0	0
ENSG00000000195	0	0	0	0	0	0
ENSG00000000196	2600	1500	3300	1700	1700	1300
ENSG00000000197	0	0	0	0	0	0
ENSG00000000198	0	0	0	0	0	0
ENSG00000000199	0	0	0	0	0	0
ENSG00000000200	0	0	0	0	0	0
ENSG00000000201	0	0	0	0	0	0
ENSG00000000202	1900	1800	2600	2000	1100	2000
ENSG00000000203	3900	3000	3900	1100	2800	1700
ENSG00000000204	2600	2300	2600	2200	3800	2400
ENSG00000000205	0	0	0	0	0	0
ENSG00000000206	3600	2000	1700	2400	1500	1800
ENSG00000000207	2800	2400	2800	2200	5400	2700
ENSG00000000208	1100	1500	1800	1500	1800	2200
ENSG00000000209	1900	2900	2600	2100	2000	1200
ENSG00000000210	0	0	0	0	0	0
ENSG00000000211	0	0	0	0	0	0
ENSG00000000212	0	0	0	0	0	0
ENSG00000000213	3600	400	3100	2600	3600	3000
ENSG00000000214	2600	2500	3900	1300	3300	2100
ENSG00000000215	0	0	0	0	0	0
ENSG00000000216	0	0	0	0	0	0
ENSG00000000217	0	0	0	0	0	0
ENSG00000000218	2800	1700	2300	1800	3100	1100
ENSG00000000219	0	0	0	0	0	0
