gene_id	ctrl_1	ctrl_2	ctrl_3	treat_1	treat_2	treat_3
ENSG00000000001	155000	700	3200	2700	3400	3800
ENSG00000000002	100000	3800	2000	1600	1900	2600
ENSG00000000003	165000	1300	2300	1400	2300	700
ENSG00000000004	120000	3300	2300	1400	2400	1800
ENSG00000000005	120000	1600	3000	2500	1400	3600
ENSG00000000006	200000	2500	2500	1600	2400	1000
ENSG00000000007	165000	1500	1700	2000	2400	2200
ENSG00000000008	235000	3000	2900	2700	1800	1300
ENSG00000000009	95000	3100	2200	3200	1000	1700
ENSG00000000010	110000	3200	2500	1600	1600	2400
ENSG00000000011	145000	2300	1800	4200	3500	2100
ENSG00000000012	165000	2400	3500	3000	3900	3100
ENSG00000000013	115000	3400	3900	1600	3100	2300
ENSG00000000014	60000	3000	3600	1200	2900	2100
ENSG00000000015	80000	2200	2900	1100	2100	3100
ENSG00000000016	110000	3200	2300	2000	1700	4100
ENSG00000000017	55000	4100	2200	3600	900	1800
ENSG00000000018	115000	2100	1000	1900	2800	1400
ENSG00000000019	225000	1900	1700	2300	2600	2200
ENSG00000000020	115000	2400	2200	1300	2300	3000
ENSG00000000021	115000	2200	1900	1900	2700	5100
ENSG00000000022	80000	2400	1300	1600	2500	1300
ENSG00000000023	160000	4100	3200	1600	3400	900
ENSG00000000024	140000	2600	2500	2100	800	1200
ENSG00000000025	150000	2400	3100	1500	1300	2200
ENSG00000000026	125000	3600	3000	3000	1400	4900
ENSG00000000027	160000	900	1100	2500	2500	2800
ENSG00000000028	170000	3100	4600	1100	800	900
ENSG00000000029	90000	3100	1800	800	3400	2700
ENSG00000000030	135000	2500	2300	2200	1800	3200
ENSG00000000031	85000	2800	2200	1500	2500	4500
ENSG00000000032	65000	1800	1900	2900	1600	3800
ENSG00000000033	95000	2900	2400	900	3300	2500
ENSG00000000034	65000	2900	1500	1700	1900	2100
ENSG00000000035	145000	4200	2200	1600	2200	2500
ENSG00000000036	150000	1800	2200	2200	1900	2300
ENSG00000000037	105000	3300	2100	2500	1800	3600
ENSG00000000038	185000	2100	2500	2600	1600	1700
ENSG00000000039	100000	1100	2500	2000	2600	2500
ENSG00000000040	110000	2300	2000	1600	2000	1600
ENSG00000000041	220000	2900	1800	2100	1800	2300
ENSG00000000042	150000	3400	3400	2700	1200	2700
ENSG00000000043	75000	1100	3800	2700	500	3300
ENSG00000000044	90000	2300	2000	2000	2000	2400
ENSG00000000045	95000	1600	2100	3000	1000	1700
ENSG00000000046	70000	2700	1500	4000	2700	2300
ENSG00000000047	70000	1500	3700	2700	1400	2200
ENSG00000000048	85000	2400	3000	3800	2800	2700
ENSG00000000049	170000	2300	1900	3600	1500	2900
ENSG00000000050	30000	2800	2000	2500	2700	4200
ENSG00000000051	100000	3000	2400	2000	4000	1900
ENSG00000000052	40000	2000	1400	2800	1800	3800
ENSG00000000053	70000	2300	1600	2600	1800	5700
ENSG00000000054	80000	2300	3800	1700	1900	1900
ENSG00000000055	140000	2200	4200	3600	3500	900
ENSG00000000056	145000	3400	3300	2600	2200	1000
ENSG00000000057	150000	1700	1700	3200	2500	2200
ENSG00000000058	160000	2800	4600	2200	2200	2200
ENSG00000000059	115000	2200	2200	2700	2400	3100
ENSG00000000060	90000	2500	1300	2700	2300	3200
ENSG00000000061	245000	3200	3000	2200	2700	2600
ENSG00000000062	60000	1000	2800	2700	1100	1400
ENSG00000000063	120000	3000	3500	1000	1500	1700
ENSG00000000064	120000	3600	3700	1900	1000	2000
ENSG00000000065	110000	1900	1200	2900	1600	1500
ENSG00000000066	165000	1800	1800	1400	1900	3100
ENSG00000000067	40000	700	2800	2900	2400	3100
ENSG00000000068	100000	2400	700	2100	1600	2800
ENSG00000000069	90000	1800	1100	1600	3500	2200
ENSG00000000070	165000	1300	2100	1900	1000	600
ENSG00000000071	95000	3600	2400	1300	2000	2000
ENSG00000000072	95000	1300	2600	1000	1000	2000
ENSG00000000073	115000	2700	2300	2300	1900	900
ENSG00000000074	110000	1700	2100	1300	3200	1400
ENSG00000000075	80000	4200	2100	600	2200	3400
ENSG00000000076	75000	1700	3500	1300	2200	1300
ENSG00000000077	40000	2000	3500	2300	2600	3900
ENSG00000000078	130000	3400	1300	2300	2000	1900
ENSG00000000079	125000	2400	3100	2100	2200	2600
ENSG00000000080	55000	1600	2700	4300	1800	1200
ENSG00000000081	145000	3500	2000	1600	1800	2000
ENSG00000000082	110000	2500	2200	2300	1500	1900
ENSG00000000083	90000	1900	2300	1700	3700	900
ENSG00000000084	165000	1100	2400	1000	2700	3100
ENSG00000000085	140000	3600	2600	2400	1700	3200
ENSG00000000086	120000	1800	1700	3800	1600	1600
ENSG00000000087	165000	2000	3400	1600	3500	2300
ENSG00000000088	200000	2100	2900	2200	2600	2200
ENSG00000000089	180000	1900	2200	4000	3100	700
ENSG00000000090	175000	2800	1100	2200	2800	2400
ENSG00000000091	140000	2200	1500	1100	2700	2900
ENSG00000000092	125000	2200	2500	1700	1700	1200
ENSG00000000093	135000	2400	3800	3700	4900	800
ENSG00000000094	75000	3400	2200	2600	3100	2600
ENSG00000000095	105000	2200	3500	2500	3800	2200
ENSG00000000096	185000	4900	1600	3700	2400	2200
ENSG00000000097	135000	1800	3000	1800	3300	2900
ENSG00000000098	155000	1700	2200	3300	800	1900
ENSG00000000099	125000	900	1800	3400	2600	3000
ENSG00000000100	65000	2400	3200	2400	1900	1700
ENSG00000000101	70000	2400	1300	1500	2000	2300
ENSG00000000102	130000	2500	1200	2900	1400	3200
ENSG00000000103	100000	1800	1400	2100	2200	2800
ENSG00000000104	60000	1600	1100	1400	2900	1700
ENSG00000000105	115000	4800	2000	4100	1600	2600
ENSG00000000106	95000	1900	5500	3900	1400	1200
ENSG00000000107	145000	3100	1400	2800	1700	1900
ENSG00000000108	155000	1900	1900	1500	1500	4100
ENSG00000000109	120000	2000	2000	2300	1800	2400
ENSG00000000110	145000	2300	2400	2300	2900	3200
ENSG00000000111	100000	2500	1100	2600	2400	1900
ENSG00000000112	50000	1400	3100	1200	1600	1400
ENSG00000000113	120000	3100	1800	2100	5200	3000
ENSG00000000114	85000	2000	1100	1400	2400	4200
ENSG00000000115	195000	700	2900	1900	2600	3300
ENSG00000000116	100000	3800	1900	2100	1600	1800
ENSG00000000117	90000	2800	3600	1200	3500	900
ENSG00000000118	90000	1800	1600	2600	3300	1900
ENSG00000000119	170000	2000	1400	2700	3500	1900
ENSG00000000120	125000	1500	3000	3200	1800	2400
ENSG00000000121	140000	1700	2900	2700	900	1100
ENSG00000000122	130000	2700	1100	3300	1900	2100
ENSG00000000123	95000	4000	1000	2100	2300	2500
ENSG00000000124	90000	1700	1500	1700	400	1000
ENSG00000000125	110000	2400	1500	2800	1800	2300
ENSG00000000126	155000	2800	600	1400	2700	5400
ENSG00000000127	250000	1500	1400	1600	1000	1500
ENSG00000000128	140000	2700	900	3200	3100	1200
ENSG00000000129	125000	3300	1300	3900	1900	2600
ENSG00000000130	130000	3800	2600	1200	1800	1400
ENSG00000000131	175000	3200	2300	3800	2200	2600
ENSG00000000132	125000	3000	2300	3200	1600	1100
ENSG00000000133	100000	2100	3000	1400	4700	2000
ENSG00000000134	95000	2500	1800	2000	3500	3500
ENSG00000000135	90000	2100	1100	2000	1700	2000
ENSG00000000136	120000	1200	1800	2700	3000	2900
ENSG00000000137	155000	3300	1300	2200	1900	2000
ENSG00000000138	140000	2900	3300	2700	2000	3100
ENSG00000000139	85000	1700	3900	3100	2400	1600
ENSG00000000140	90000	2100	2300	2200	1500	3700
ENSG00000000141	80000	1900	1900	2100	2600	3500
ENSG00000000142	95000	2800	2300	4100	2100	2100
ENSG00000000143	70000	2900	2000	1700	2000	1800
ENSG00000000144	60000	1400	2900	2500	1400	1500
ENSG00000000145	135000	1400	3800	2200	2600	3300
ENSG00000000146	130000	3200	3600	3000	3800	1400
ENSG00000000147	165000	1700	1100	1000	1700	3100
ENSG00000000148	75000	3300	1200	3700	2600	3100
ENSG00000000149	120000	3700	4000	2500	2300	1500
ENSG00000000150	105000	1800	2500	2100	2500	3100
ENSG00000000151	120000	3000	2200	1800	3400	3400
ENSG00000000152	65000	1800	1900	1100	2900	2100
ENSG00000000153	165000	1400	2600	3200	800	2200
ENSG00000000154	100000	4800	3200	2400	3800	1100
ENSG00000000155	75000	2200	2200	2500	3400	3100
ENSG00000000156	100000	1300	1100	2000	3000	4400
ENSG00000000157	240000	1600	3300	2400	1600	2000
ENSG00000000158	190000	900	2900	2300	2500	1800
ENSG00000000159	100000	1400	3100	2300	2600	1800
ENSG00000000160	120000	4600	2300	1900	1700	1000
ENSG00000000161	185000	4500	1400	1600	2300	1900
ENSG00000000162	75000	1500	1500	2700	2100	1500
ENSG00000000163	125000	2300	1700	2000	2500	2100
ENSG00000000164	115000	1500	3300	3700	1000	2600
