gene_id	ctrl_1	treat_1
ENSG00000000001	3100	2700
ENSG00000000002	2000	1600
ENSG00000000003	3300	1400
ENSG00000000004	2400	1400
ENSG00000000005	2400	2500
ENSG00000000006	4000	1600
ENSG00000000007	3300	2000
ENSG00000000008	4700	2700
ENSG00000000009	1900	3200
ENSG00000000010	2200	1600
ENSG00000000011	2900	4200
ENSG00000000012	3300	3000
ENSG00000000013	2300	1600
ENSG00000000014	1200	1200
ENSG00000000015	1600	1100
ENSG00000000016	2200	2000
ENSG00000000017	1100	3600
ENSG00000000018	2300	1900
ENSG00000000019	4500	2300
ENSG00000000020	2300	1300
ENSG00000000021	2300	1900
ENSG00000000022	1600	1600
ENSG00000000023	3200	1600
ENSG00000000024	2800	2100
ENSG00000000025	3000	1500
ENSG00000000026	2500	3000
ENSG00000000027	3200	2500
ENSG00000000028	3400	1100
ENSG00000000029	1800	800
ENSG00000000030	2700	2200
ENSG00000000031	1700	1500
ENSG00000000032	1300	2900
ENSG00000000033	1900	900
ENSG00000000034	1300	1700
ENSG00000000035	2900	1600
ENSG00000000036	3000	2200
ENSG00000000037	2100	2500
ENSG00000000038	3700	2600
ENSG00000000039	2000	2000
ENSG00000000040	2200	1600
ENSG00000000041	4400	2100
ENSG00000000042	3000	2700
ENSG00000000043	1500	2700
ENSG00000000044	1800	2000
ENSG00000000045	1900	3000
ENSG00000000046	1400	4000
ENSG00000000047	1400	2700
ENSG00000000048	1700	3800
ENSG00000000049	3400	3600
ENSG00000000050	600	2500
ENSG00000000051	2000	2000
ENSG00000000052	800	2800
ENSG00000000053	1400	2600
ENSG00000000054	1600	1700
ENSG00000000055	2800	3600
ENSG00000000056	2900	2600
ENSG00000000057	3000	3200
ENSG00000000058	3200	2200
ENSG00000000059	2300	2700
ENSG00000000060	1800	2700
ENSG00000000061	4900	2200
ENSG00000000062	1200	2700
ENSG00000000063	2400	1000
ENSG00000000064	2400	1900
ENSG00000000065	2200	2900
ENSG00000000066	3300	1400
ENSG00000000067	800	2900
ENSG00000000068	2000	2100
ENSG00000000069	1800	1600
ENSG00000000070	3300	1900
ENSG00000000071	1900	1300
ENSG00000000072	1900	1000
ENSG00000000073	2300	2300
ENSG00000000074	2200	1300
ENSG00000000075	1600	600
ENSG00000000076	1500	1300
ENSG00000000077	800	2300
ENSG00000000078	2600	2300
ENSG00000000079	2500	2100
ENSG00000000080	1100	4300
ENSG00000000081	2900	1600
ENSG00000000082	2200	2300
ENSG00000000083	1800	1700
ENSG00000000084	3300	1000
ENSG00000000085	2800	2400
ENSG00000000086	2400	3800
ENSG00000000087	3300	1600
ENSG00000000088	4000	2200
ENSG00000000089	3600	4000
ENSG00000000090	3500	2200
ENSG00000000091	2800	1100
ENSG00000000092	2500	1700
ENSG00000000093	2700	3700
ENSG00000000094	1500	2600
ENSG00000000095	2100	2500
ENSG00000000096	3700	3700
ENSG00000000097	2700	1800
ENSG00000000098	3100	3300
ENSG00000000099	2500	3400
ENSG00000000100	1300	2400
ENSG00000000101	1400	1500
ENSG00000000102	2600	2900
