gene_id	ctrl_1	ctrl_2	ctrl_3	treat_1	treat_2	treat_3
ENSG00000000001.7	3100	700	3200	2700	3400	3800
ENSG00000000002.18	2000	3800	2000	1600	1900	2600
ENSG00000000003.13	3300	1300	2300	1400	2300	700
ENSG00000000004.11	2400	3300	2300	1400	2400	1800
ENSG00000000005.14	2400	1600	3000	2500	1400	3600
ENSG00000000006.11	4000	2500	2500	1600	2400	1000
ENSG00000000007.8	3300	1500	1700	2000	2400	2200
ENSG00000000008.17	4700	3000	2900	2700	1800	1300
ENSG00000000009.11	1900	3100	2200	3200	1000	1700
ENSG00000000010.19	2200	3200	2500	1600	1600	2400
ENSG00000000011.2	2900	2300	1800	4200	3500	2100
ENSG00000000012.4	3300	2400	3500	3000	3900	3100
ENSG00000000013.9	2300	3400	3900	1600	3100	2300
ENSG00000000014.3	1200	3000	3600	1200	2900	2100
ENSG00000000015.5	1600	2200	2900	1100	2100	3100
ENSG00000000016.15	2200	3200	2300	2000	1700	4100
ENSG00000000017.6	1100	4100	2200	3600	900	1800
ENSG00000000018.7	2300	2100	1000	1900	2800	1400
ENSG00000000019.3	4500	1900	1700	2300	2600	2200
ENSG00000000020.3	2300	2400	2200	1300	2300	3000
ENSG00000000021.17	2300	2200	1900	1900	2700	5100
ENSG00000000022.5	1600	2400	1300	1600	2500	1300
ENSG00000000023.2	3200	4100	3200	1600	3400	900
ENSG00000000024.7	2800	2600	2500	2100	800	1200
ENSG00000000025.8	3000	2400	3100	1500	1300	2200
ENSG00000000026.15	2500	3600	3000	3000	1400	4900
ENSG00000000027.6	3200	900	1100	2500	2500	2800
ENSG00000000028.2	3400	3100	4600	1100	800	900
ENSG00000000029.19	1800	3100	1800	800	3400	2700
ENSG00000000030.10	2700	2500	2300	2200	1800	3200
ENSG00000000031.8	1700	2800	2200	1500	2500	4500
ENSG00000000032.1	1300	1800	1900	2900	1600	3800
ENSG00000000033.5	1900	2900	2400	900	3300	2500
ENSG00000000034.14	1300	2900	1500	1700	1900	2100
ENSG00000000035.17	2900	4200	2200	1600	2200	2500
