gene_id	GSM4280001	GSM4280002	GSM4280003	GSM4280004	GSM4280005	GSM4280006
ENSG00000075624	25	31	14	18	44	19
ENSG00000111640	17	10	8	18	12	5
ENSG00000166710	53	52	54	93	68	57
ENSG00000165704	348	380	344	454	224	319
ENSG00000256269	1242	1386	730	1216	1180	1265
ENSG00000073578	189	227	198	126	255	188
ENSG00000112592	29	30	36	35	46	22
ENSG00000089157	37	24	39	44	27	19
ENSG00000164924	565	416	563	763	577	512
ENSG00000196262	2890	3450	4214	5607	1901	3811
ENSG00000109373	234	185	261	133	347	236
ENSG00000139648	8	8	19	8	7	21
ENSG00000137940	22	16	13	25	18	21
ENSG00000113793	1682	4274	5151	1874	6501	4718
ENSG00000216504	167	143	218	144	209	140
ENSG00000226771	7	2	5	10	3	2
ENSG00000208319	181	144	62	74	153	90
ENSG00000186442	20	15	4	10	17	20
ENSG00000138679	56	54	34	39	31	30
ENSG00000183643	54	46	60	64	68	90
ENSG00000221870	38	33	33	18	11	15
ENSG00000241656	468	353	430	299	795	487
ENSG00000146972	97	116	96	67	45	137
ENSG00000195349	32	41	24	26	49	49
ENSG00000149512	244	302	364	207	441	253
ENSG00000138503	607	725	1002	386	704	869
ENSG00000119021	10	1	10	13	4	7
ENSG00000214608	83	83	43	70	62	41
ENSG00000101713	21	26	28	27	14	4
ENSG00000165887	53	114	74	91	73	104
ENSG00000143587	10	6	8	16	17	5
ENSG00000156457	200	326	268	89	170	134
ENSG00000128438	140	144	80	138	98	198
ENSG00000210036	70	49	99	106	63	65
ENSG00000183427	26	7	38	14	13	21
ENSG00000194920	113	45	70	79	65	66
ENSG00000247684	16	24	18	9	33	7
ENSG00000237598	6	9	5	8	12	9
ENSG00000125239	161	387	236	151	321	166
ENSG00000213296	25	10	18	22	27	29
ENSG00000149610	1562	1556	1415	1003	792	1649
ENSG00000201759	433	650	877	393	550	675
ENSG00000106945	1	2	5	4	2	3
ENSG00000178906	392	235	376	123	227	342
ENSG00000146753	21	23	14	22	9	9
ENSG00000121397	152	114	192	71	188	153
ENSG00000161657	163	113	248	245	198	126
ENSG00000213765	3	3	7	0	5	4
ENSG00000142787	87	85	89	131	117	73
ENSG00000157552	64	81	55	101	54	80
ENSG00000112461	398	813	787	1015	1121	890
ENSG00000132060	13	10	17	18	16	12
ENSG00000108566	1021	936	597	310	644	797
ENSG00000243849	8	23	27	11	17	12
ENSG00000197862	114	48	77	92	87	98
ENSG00000225172	31	36	18	23	22	17
ENSG00000114452	2743	3631	2182	1543	2956	1853
ENSG00000216566	206	249	346	663	381	253
ENSG00000137925	12584	18062	15310	25694	19043	12841
ENSG00000113983	259	632	623	749	738	463
ENSG00000226338	1004	657	785	558	575	994
ENSG00000210167	524	712	700	986	911	853
ENSG00000228913	34	76	75	68	65	47
ENSG00000170559	116	92	100	66	116	115
ENSG00000243106	3155	2043	1978	1292	2420	1106
ENSG00000223018	55	53	37	79	37	57
ENSG00000245946	323	133	143	214	230	187
ENSG00000154370	250	160	153	165	185	74
ENSG00000111148	496	392	222	358	797	493
ENSG00000185034	62	54	47	49	80	100
ENSG00000119294	138	80	114	129	102	75
ENSG00000138743	330	305	142	219	253	113
ENSG00000154075	148	109	158	243	211	89
ENSG00000127620	25	18	25	28	29	19
ENSG00000217374	799	603	694	631	795	921
ENSG00000122398	14	9	4	7	7	11
ENSG00000210656	15	7	11	10	8	16
ENSG00000217360	11	8	12	14	4	7
ENSG00000108910	962	762	1593	830	1063	950
ENSG00000211087	74	98	96	73	36	43
ENSG00000189281	26	15	10	37	26	28
ENSG00000221310	23	18	12	23	13	16
ENSG00000169230	361	311	241	363	169	210
ENSG00000136361	14	11	19	17	25	8
ENSG00000201811	11	4	4	5	12	7
ENSG00000174746	335	446	238	508	325	444
ENSG00000239533	10	11	15	5	15	17
ENSG00000249259	72	77	64	78	87	62
ENSG00000186042	50	126	178	143	128	124
ENSG00000121962	55	46	76	55	40	102
ENSG00000198557	81	112	123	104	104	149
ENSG00000100047	4306	1879	1252	1427	1510	3170
ENSG00000172904	49	41	28	30	40	42
ENSG00000240765	13	4	7	8	11	17
ENSG00000184062	2	2	5	2	0	2
ENSG00000205598	90	57	164	76	161	115
ENSG00000144960	106	66	35	92	43	78
ENSG00000239788	319	333	256	286	305	219
ENSG00000246601	57	43	95	45	51	75
ENSG00000207496	43	40	62	74	61	72
ENSG00000144824	51	41	43	25	36	42
ENSG00000147955	73	46	28	39	50	31
ENSG00000128723	312	213	87	135	248	219
ENSG00000192858	67	63	109	54	108	64
ENSG00000157022	144	272	244	101	159	74
ENSG00000188555	4788	3942	12323	6280	5703	7436
ENSG00000156663	149	335	126	445	383	335
ENSG00000197310	5	3	6	5	5	15
ENSG00000225427	7654	7016	4073	3734	4651	3502
ENSG00000128582	197	354	247	310	334	326
ENSG00000138390	27	19	19	27	26	37
ENSG00000169130	1111	911	864	1235	920	905
ENSG00000166674	169	99	173	139	284	222
ENSG00000161916	29	42	70	57	41	53
ENSG00000209480	58	40	31	42	48	47
ENSG00000157421	28	13	19	37	12	30
ENSG00000140093	248	193	218	145	177	163
ENSG00000112246	1073	1472	2058	792	1251	730
ENSG00000100153	104	73	62	74	101	73
ENSG00000232958	456	436	361	458	467	264
ENSG00000171611	7905	5305	8737	6393	5871	4216
ENSG00000119217	9	13	14	8	16	9
ENSG00000220741	199	353	281	263	258	344
ENSG00000195709	86	119	82	106	74	55
ENSG00000168339	15	22	13	5	12	21
ENSG00000168766	17	19	20	19	26	30
ENSG00000146351	93	187	171	204	133	138
ENSG00000203731	464	345	209	323	217	261
ENSG00000236226	49	61	33	84	56	70
ENSG00000108020	189	197	142	126	130	198
ENSG00000107496	622	484	546	1166	441	687
ENSG00000197408	235	174	454	194	423	173
ENSG00000183207	715	477	899	417	1214	923
ENSG00000211737	390	294	326	576	431	183
ENSG00000192753	295	494	228	366	294	255
ENSG00000219805	4005	5491	6562	5858	6650	8311
ENSG00000109039	512	274	343	767	610	372
ENSG00000133475	148	145	125	116	116	109
