sample_id	condition	batch
CD4Tcm_Donor1	CD4Tcm	batch_A
CD4Tcm_Donor2	CD4Tcm	batch_A
CD4Tcm_Donor3	CD4Tcm	batch_A
CD4Tcm_Donor4	CD4Tcm	batch_A
CD8Tem_Donor1	CD8Tem	batch_B
CD8Tem_Donor2	CD8Tem	batch_B
CD8Tem_Donor3	CD8Tem	batch_B
CD8Tem_Donor4	CD8Tem	batch_B
NK_Donor1	NK	batch_C
NK_Donor2	NK	batch_C
NK_Donor3	NK	batch_C
NK_Donor4	NK	batch_C
Monocyte_classical_Donor1	Monocyte_classical	batch_D
Monocyte_classical_Donor2	Monocyte_classical	batch_D
Monocyte_classical_Donor3	Monocyte_classical	batch_D
Monocyte_classical_Donor4	Monocyte_classical	batch_D
Plasmablast_Donor1	Plasmablast	batch_E
Plasmablast_Donor2	Plasmablast	batch_E
Plasmablast_Donor3	Plasmablast	batch_E
Plasmablast_Donor4	Plasmablast	batch_E
Basophil_Donor1	Basophil	batch_F
Basophil_Donor2	Basophil	batch_F
Basophil_Donor3	Basophil	batch_F
Basophil_Donor4	Basophil	batch_F
pDC_Donor1	pDC	batch_G
pDC_Donor2	pDC	batch_G
pDC_Donor3	pDC	batch_G
pDC_Donor4	pDC	batch_G
