	condition	batch
CD4Tcm_Donor1_WRONG	CD4Tcm	Donor1
CD4Tcm_Donor2_WRONG	CD4Tcm	Donor2
CD4Tcm_Donor3	CD4Tcm	Donor3
CD4Tcm_Donor4	CD4Tcm	Donor4
CD8Tem_Donor1	CD8Tem	Donor1
CD8Tem_Donor2	CD8Tem	Donor2
CD8Tem_Donor3	CD8Tem	Donor3
CD8Tem_Donor4	CD8Tem	Donor4
NK_Donor1	NK	Donor1
NK_Donor2	NK	Donor2
NK_Donor3	NK	Donor3
NK_Donor4	NK	Donor4
Monocyte_classical_Donor1	Monocyte_classical	Donor1
Monocyte_classical_Donor2	Monocyte_classical	Donor2
Monocyte_classical_Donor3	Monocyte_classical	Donor3
Monocyte_classical_Donor4	Monocyte_classical	Donor4
Plasmablast_Donor1	Plasmablast	Donor1
Plasmablast_Donor2	Plasmablast	Donor2
Plasmablast_Donor3	Plasmablast	Donor3
Plasmablast_Donor4	Plasmablast	Donor4
Basophil_Donor1	Basophil	Donor1
Basophil_Donor2	Basophil	Donor2
Basophil_Donor3	Basophil	Donor3
Basophil_Donor4	Basophil	Donor4
pDC_Donor1	pDC	Donor1
pDC_Donor2	pDC	Donor2
pDC_Donor3	pDC	Donor3
pDC_Donor4	pDC	Donor4
