gene_id	GSM4280001	GSM4280002	GSM4280003	GSM4280004	GSM4280005	GSM4280006
ENSG00000075624	1250	31	14	18	44	19
ENSG00000111640	850	10	8	18	12	5
ENSG00000166710	2650	52	54	93	68	57
ENSG00000165704	17400	380	344	454	224	319
ENSG00000256269	62100	1386	730	1216	1180	1265
ENSG00000073578	9450	227	198	126	255	188
ENSG00000112592	1450	30	36	35	46	22
ENSG00000089157	1850	24	39	44	27	19
ENSG00000164924	28250	416	563	763	577	512
ENSG00000196262	144500	3450	4214	5607	1901	3811
ENSG00000109373	11700	185	261	133	347	236
ENSG00000139648	400	8	19	8	7	21
ENSG00000137940	1100	16	13	25	18	21
ENSG00000113793	84100	4274	5151	1874	6501	4718
ENSG00000216504	8350	143	218	144	209	140
ENSG00000226771	350	2	5	10	3	2
ENSG00000208319	9050	144	62	74	153	90
ENSG00000186442	1000	15	4	10	17	20
ENSG00000138679	2800	54	34	39	31	30
ENSG00000183643	2700	46	60	64	68	90
ENSG00000221870	1900	33	33	18	11	15
ENSG00000241656	23400	353	430	299	795	487
ENSG00000146972	4850	116	96	67	45	137
ENSG00000195349	1600	41	24	26	49	49
ENSG00000149512	12200	302	364	207	441	253
ENSG00000138503	30350	725	1002	386	704	869
ENSG00000119021	500	1	10	13	4	7
ENSG00000214608	4150	83	43	70	62	41
ENSG00000101713	1050	26	28	27	14	4
ENSG00000165887	2650	114	74	91	73	104
ENSG00000143587	500	6	8	16	17	5
ENSG00000156457	10000	326	268	89	170	134
ENSG00000128438	7000	144	80	138	98	198
ENSG00000210036	3500	49	99	106	63	65
ENSG00000183427	1300	7	38	14	13	21
ENSG00000194920	5650	45	70	79	65	66
ENSG00000247684	800	24	18	9	33	7
ENSG00000237598	300	9	5	8	12	9
ENSG00000125239	8050	387	236	151	321	166
ENSG00000213296	1250	10	18	22	27	29
ENSG00000149610	78100	1556	1415	1003	792	1649
ENSG00000201759	21650	650	877	393	550	675
ENSG00000106945	50	2	5	4	2	3
ENSG00000178906	19600	235	376	123	227	342
ENSG00000146753	1050	23	14	22	9	9
ENSG00000121397	7600	114	192	71	188	153
ENSG00000161657	8150	113	248	245	198	126
ENSG00000213765	150	3	7	0	5	4
ENSG00000142787	4350	85	89	131	117	73
ENSG00000157552	3200	81	55	101	54	80
ENSG00000112461	19900	813	787	1015	1121	890
ENSG00000132060	650	10	17	18	16	12
ENSG00000108566	51050	936	597	310	644	797
ENSG00000243849	400	23	27	11	17	12
ENSG00000197862	5700	48	77	92	87	98
ENSG00000225172	1550	36	18	23	22	17
ENSG00000114452	137150	3631	2182	1543	2956	1853
ENSG00000216566	10300	249	346	663	381	253
ENSG00000137925	629200	18062	15310	25694	19043	12841
ENSG00000113983	12950	632	623	749	738	463
ENSG00000226338	50200	657	785	558	575	994
ENSG00000210167	26200	712	700	986	911	853
ENSG00000228913	1700	76	75	68	65	47
ENSG00000170559	5800	92	100	66	116	115
ENSG00000243106	157750	2043	1978	1292	2420	1106
ENSG00000223018	2750	53	37	79	37	57
ENSG00000245946	16150	133	143	214	230	187
ENSG00000154370	12500	160	153	165	185	74
ENSG00000111148	24800	392	222	358	797	493
ENSG00000185034	3100	54	47	49	80	100
ENSG00000119294	6900	80	114	129	102	75
ENSG00000138743	16500	305	142	219	253	113
