gene_id	GSM4280001
ENSG00000075624	26
ENSG00000111640	19
ENSG00000166710	67
ENSG00000165704	499
ENSG00000256269	956
ENSG00000073578	138
ENSG00000112592	51
ENSG00000089157	38
ENSG00000164924	825
ENSG00000196262	2845
ENSG00000010000	168
ENSG00000010001	14
ENSG00000010002	28
ENSG00000010003	3815
ENSG00000010004	151
ENSG00000010005	9
ENSG00000010006	103
ENSG00000010007	10
ENSG00000010008	43
ENSG00000010009	84
ENSG00000010010	36
ENSG00000010011	334
ENSG00000010012	102
ENSG00000010013	43
ENSG00000010014	507
ENSG00000010015	802
ENSG00000010016	4
ENSG00000010017	113
ENSG00000010018	16
ENSG00000010019	87
ENSG00000010020	6
ENSG00000010021	162
ENSG00000010022	141
ENSG00000010023	63
ENSG00000010024	8
ENSG00000010025	66
ENSG00000010026	33
ENSG00000010027	13
ENSG00000010028	172
ENSG00000010029	21
ENSG00000010030	1202
ENSG00000010031	633
ENSG00000010032	4
ENSG00000010033	234
ENSG00000010034	17
ENSG00000010035	172
ENSG00000010036	379
ENSG00000010037	5
ENSG00000010038	119
ENSG00000010039	86
ENSG00000010040	1066
ENSG00000010041	6
ENSG00000010042	525
ENSG00000010043	12
ENSG00000010044	57
ENSG00000010045	23
ENSG00000010046	3118
ENSG00000010047	409
ENSG00000010048	12555
ENSG00000010049	392
ENSG00000010050	363
ENSG00000010051	1757
ENSG00000010052	41
ENSG00000010053	91
ENSG00000010054	2443
ENSG00000010055	69
ENSG00000010056	107
ENSG00000010057	215
ENSG00000010058	427
ENSG00000010059	69
ENSG00000010060	125
ENSG00000010061	344
ENSG00000010062	139
ENSG00000010063	28
ENSG00000010064	1195
ENSG00000010065	11
ENSG00000010066	16
ENSG00000010067	20
ENSG00000010068	743
ENSG00000010069	103
ENSG00000010070	23
ENSG00000010071	24
ENSG00000010072	394
ENSG00000010073	7
ENSG00000010074	16
ENSG00000010075	529
ENSG00000010076	8
ENSG00000010077	52
ENSG00000010078	180
ENSG00000010079	73
ENSG00000010080	119
ENSG00000010081	1860
ENSG00000010082	76
ENSG00000010083	20
ENSG00000010084	3
ENSG00000010085	137
ENSG00000010086	95
ENSG00000010087	267
ENSG00000010088	53
ENSG00000010089	38
ENSG00000010090	14
ENSG00000010091	47
ENSG00000010092	264
ENSG00000010093	75
ENSG00000010094	363
ENSG00000010095	6923
ENSG00000010096	299
ENSG00000010097	8
ENSG00000010098	5217
ENSG00000010099	244
ENSG00000010100	22
ENSG00000010101	693
ENSG00000010102	137
ENSG00000010103	53
ENSG00000010104	48
ENSG00000010105	26
ENSG00000010106	142
ENSG00000010107	1010
ENSG00000010108	88
ENSG00000010109	512
ENSG00000010110	7768
ENSG00000010111	14
ENSG00000010112	255
ENSG00000010113	49
ENSG00000010114	35
ENSG00000010115	20
ENSG00000010116	99
ENSG00000010117	299
ENSG00000010118	48
ENSG00000010119	225
ENSG00000010120	974
ENSG00000010121	147
ENSG00000010122	268
ENSG00000010123	317
ENSG00000010124	524
ENSG00000010125	8403
ENSG00000010126	375
ENSG00000010127	184
ENSG00000010128	490
ENSG00000010129	24
ENSG00000010130	71
ENSG00000010131	455
ENSG00000010132	448
ENSG00000010133	2662
ENSG00000010134	118
ENSG00000010135	5
ENSG00000010136	6683
ENSG00000010137	1582
ENSG00000010138	12
ENSG00000010139	2151
ENSG00000010140	160
ENSG00000010141	3
ENSG00000010142	54
ENSG00000010143	76
ENSG00000010144	4789
ENSG00000010145	43
ENSG00000010146	82
ENSG00000010147	147
ENSG00000010148	98
ENSG00000010149	18
ENSG00000010150	239
ENSG00000010151	1070
ENSG00000010152	477
ENSG00000010153	21
ENSG00000010154	16
ENSG00000010155	117
ENSG00000010156	23
ENSG00000010157	43
ENSG00000010158	4
ENSG00000010159	8765
ENSG00000010160	452
ENSG00000010161	21
ENSG00000010162	952
ENSG00000010163	2855
ENSG00000010164	0
ENSG00000010165	43
ENSG00000010166	64
ENSG00000010167	585
ENSG00000010168	197
ENSG00000010169	91
ENSG00000010170	158
ENSG00000010171	5336
ENSG00000010172	13430
ENSG00000010173	32
ENSG00000010174	37
ENSG00000010175	35373
ENSG00000010176	14
ENSG00000010177	70
ENSG00000010178	190
ENSG00000010179	397
ENSG00000010180	573
ENSG00000010181	377
ENSG00000010182	21
ENSG00000010183	253
ENSG00000010184	217
ENSG00000010185	7056
ENSG00000010186	108
ENSG00000010187	14
ENSG00000010188	16
ENSG00000010189	3350
ENSG00000010190	47
ENSG00000010191	1
ENSG00000010192	70
ENSG00000010193	127
ENSG00000010194	1774
ENSG00000010195	15
ENSG00000010196	494
ENSG00000010197	637
ENSG00000010198	68
ENSG00000010199	163
ENSG00000010200	7681
