	GSM4280001	GSM4280002	GSM4280003	GSM4280004	GSM4280005	GSM4280006
ENSG00000075624	26	25	52	47	16	41
ENSG00000111640	19	12	19	12	8	12
ENSG00000166710	67	33	188	71	126	121
ENSG00000165704	499	136	140	352	243	499
ENSG00000256269	956	988	1135	1216	1349	1127
ENSG00000073578	138	298	302	121	73	189
ENSG00000112592	51	63	56	123	50	44
ENSG00000089157	38	38	25	27	53	20
ENSG00000164924	825	624	570	512	300	1011
ENSG00000196262	2845	5896	3405	2359	2339	2358
TP53	168	269	387	306	197	283
ACTB	14	11	21	18	15	10
GAPDH	28	22	22	37	18	26
MYC	3815	5279	2856	4104	3444	2742
BRCA1	151	114	258	215	244	111
EGFR	9	1	1	5	7	4
KRAS	103	138	71	141	127	163
PTEN	10	15	8	3	21	16
RB1	43	29	25	59	50	34
APC	84	76	72	84	46	61
CDH1	36	22	61	46	19	37
VHL	334	308	543	275	448	488
SMAD4	102	118	77	178	167	166
PIK3CA	43	37	33	27	13	53
BRAF	507	194	278	564	395	227
ALK	802	976	530	954	957	711
FGFR1	4	4	3	9	4	6
NRAS	113	104	38	75	77	103
IDH1	16	17	9	32	14	13
CDKN2A	87	129	52	70	47	154
MDM2	6	10	6	8	21	5
BCL2	162	227	130	177	131	118
VEGFA	141	85	135	139	68	90
FLT3	63	100	116	87	66	79
NPM1	8	11	19	14	17	25
DNMT3A	66	43	63	34	98	51
TET2	33	20	14	19	8	20
RUNX1	13	4	11	6	4	12
CEBPA	172	342	236	168	150	154
NF1	21	15	13	19	12	7
PTPN11	1202	1354	1800	1254	1569	1938
JAK2	633	664	415	455	478	734
STAT3	4	2	9	2	2	0
KIT	234	335	400	334	356	169
PDGFRA	17	7	26	20	19	14
ABL1	172	132	76	257	216	205
BCR	379	187	139	144	169	151
PML	5	3	2	4	9	3
RARA	119	108	66	113	83	36
NOTCH1	86	50	112	84	60	102
FBXW7	1066	745	764	1535	1167	1103
SF3B1	6	6	19	18	13	12
SRSF2	525	496	575	899	722	696
U2AF1	12	9	15	11	11	7
ASXL1	57	79	77	102	35	49
EZH2	23	19	28	31	24	36
SUZ12	3118	1921	1676	2540	2378	2912
KDM6A	409	598	441	482	391	366
ARID1A	12555	15499	17356	25366	12987	15265
CREBBP	392	620	415	584	739	326
ENSG00000010050	363	501	587	741	596	905
ENSG00000010051	1757	1517	911	944	1030	550
ENSG00000010052	41	37	69	56	48	43
ENSG00000010053	91	77	74	122	128	93
ENSG00000010054	2443	2235	1641	2276	1662	1721
ENSG00000010055	69	31	63	79	75	71
ENSG00000010056	107	155	151	348	298	114
ENSG00000010057	215	156	85	87	136	122
ENSG00000010058	427	406	543	591	867	624
ENSG00000010059	69	46	87	43	81	81
ENSG00000010060	125	93	198	84	86	94
ENSG00000010061	344	118	273	191	283	244
ENSG00000010062	139	203	115	140	134	183
ENSG00000010063	28	18	37	35	32	20
ENSG00000010064	1195	1399	834	1080	506	709
ENSG00000010065	11	10	8	6	10	11
ENSG00000010066	16	2	16	10	12	16
ENSG00000010067	20	19	12	14	16	11
ENSG00000010068	743	1210	1313	493	825	875
ENSG00000010069	103	90	85	93	26	53
ENSG00000010070	23	21	31	17	29	55
ENSG00000010071	24	13	13	26	13	13
ENSG00000010072	394	180	337	311	255	442
ENSG00000010073	7	9	27	13	33	9
ENSG00000010074	16	10	17	11	9	5
ENSG00000010075	529	392	485	461	565	349
ENSG00000010076	8	13	8	12	19	18
ENSG00000010077	52	40	90	121	59	73
ENSG00000010078	180	157	217	94	159	187
ENSG00000010079	73	70	72	77	77	32
ENSG00000010080	119	129	94	154	183	110
ENSG00000010081	1860	1488	2090	1747	1590	1287
ENSG00000010082	76	43	78	23	28	30
ENSG00000010083	20	15	17	11	14	4
ENSG00000010084	3	9	0	3	1	8
ENSG00000010085	137	88	145	78	90	56
ENSG00000010086	95	24	55	53	79	34
ENSG00000010087	267	313	82	226	170	190
ENSG00000010088	53	49	77	46	36	55
ENSG00000010089	38	43	78	57	35	54
ENSG00000010090	14	39	31	38	53	29
ENSG00000010091	47	49	60	32	35	53
ENSG00000010092	264	187	276	208	161	184
ENSG00000010093	75	60	48	72	127	93
ENSG00000010094	363	193	145	173	203	71
ENSG00000010095	6923	11252	8317	6216	7308	10336
ENSG00000010096	299	530	318	174	427	465
ENSG00000010097	8	7	6	6	4	6
ENSG00000010098	5217	7932	4922	4052	5348	4904
ENSG00000010099	244	358	214	231	392	173
ENSG00000010100	22	11	10	30	27	38
ENSG00000010101	693	1193	690	1045	689	839
ENSG00000010102	137	172	235	157	129	191
ENSG00000010103	53	68	36	35	70	55
ENSG00000010104	48	36	62	1	18	27
ENSG00000010105	26	21	39	14	31	32
ENSG00000010106	142	106	175	108	241	152
ENSG00000010107	1010	1485	1029	1173	1280	761
ENSG00000010108	88	46	102	97	69	81
ENSG00000010109	512	210	487	381	221	538
ENSG00000010110	7768	5975	5177	5248	4433	8993
ENSG00000010111	14	10	11	12	17	27
ENSG00000010112	255	160	186	235	186	281
ENSG00000010113	49	58	57	113	106	96
ENSG00000010114	35	25	10	18	15	17
ENSG00000010115	20	21	21	16	17	28
ENSG00000010116	99	223	149	128	114	110
ENSG00000010117	299	437	372	308	315	308
ENSG00000010118	48	59	61	62	58	46
ENSG00000010119	225	180	174	113	148	144
ENSG00000010120	974	683	683	450	225	602
ENSG00000010121	147	176	233	259	216	169
ENSG00000010122	268	988	1008	404	690	505
ENSG00000010123	317	262	258	259	426	255
ENSG00000010124	524	385	355	408	350	686
ENSG00000010125	8403	7142	5809	7384	5485	3803
ENSG00000010126	375	565	190	1038	377	606
ENSG00000010127	184	153	180	146	96	212
ENSG00000010128	490	601	392	419	370	548
ENSG00000010129	24	27	50	31	42	3
ENSG00000010130	71	67	73	109	67	61
ENSG00000010131	455	971	1022	428	856	506
ENSG00000010132	448	497	371	589	562	370
ENSG00000010133	2662	3531	2535	1687	3389	2767
ENSG00000010134	118	110	209	262	110	93
ENSG00000010135	5	12	9	14	9	3
ENSG00000010136	6683	11878	9712	6820	6532	10311
ENSG00000010137	1582	1067	1177	1555	1788	1535
ENSG00000010138	12	20	6	10	18	27
ENSG00000010139	2151	3367	3063	2223	1271	1754
ENSG00000010140	160	153	130	194	77	271
ENSG00000010141	3	8	3	7	8	0
ENSG00000010142	54	61	76	40	33	103
ENSG00000010143	76	43	69	48	54	75
ENSG00000010144	4789	3511	4753	2366	5193	2193
ENSG00000010145	43	46	20	36	23	18
ENSG00000010146	82	58	66	75	50	89
ENSG00000010147	147	68	69	42	107	63
ENSG00000010148	98	58	102	76	52	52
ENSG00000010149	18	38	14	31	22	31
ENSG00000010150	239	289	157	256	138	534
ENSG00000010151	1070	1010	1233	1670	1231	1217
ENSG00000010152	477	607	649	458	606	624
ENSG00000010153	21	15	14	42	24	20
ENSG00000010154	16	15	21	8	16	12
ENSG00000010155	117	175	259	199	326	268
ENSG00000010156	23	37	48	26	17	28
ENSG00000010157	43	31	29	38	36	51
ENSG00000010158	4	7	8	2	3	6
ENSG00000010159	8765	6310	4081	7028	9586	4986
ENSG00000010160	452	656	984	1217	806	1027
ENSG00000010161	21	23	28	37	20	18
ENSG00000010162	952	843	1680	583	634	965
ENSG00000010163	2855	1875	1863	2352	3058	2078
ENSG00000010164	0	2	0	1	1	2
ENSG00000010165	43	55	44	53	57	39
ENSG00000010166	64	86	46	63	96	79
ENSG00000010167	585	682	742	929	705	499
ENSG00000010168	197	73	109	186	102	132
ENSG00000010169	91	92	113	82	46	84
ENSG00000010170	158	220	136	85	96	185
ENSG00000010171	5336	8035	5650	6522	8349	6747
ENSG00000010172	13430	9364	9080	20406	13556	13976
ENSG00000010173	32	56	63	65	51	47
ENSG00000010174	37	35	18	19	27	20
ENSG00000010175	35373	22409	23141	33142	26880	39119
ENSG00000010176	14	12	24	24	25	18
ENSG00000010177	70	63	39	64	42	36
ENSG00000010178	190	152	122	269	103	133
ENSG00000010179	397	335	433	429	220	497
ENSG00000010180	573	436	1081	1424	969	1506
ENSG00000010181	377	245	257	387	246	307
ENSG00000010182	21	21	29	19	27	25
ENSG00000010183	253	626	299	285	434	235
ENSG00000010184	217	193	221	253	419	185
ENSG00000010185	7056	2810	4818	2719	5340	11853
ENSG00000010186	108	89	165	119	124	122
ENSG00000010187	14	8	15	11	12	8
ENSG00000010188	16	14	20	16	26	21
ENSG00000010189	3350	2113	1760	2600	2430	1900
ENSG00000010190	47	14	48	41	30	90
ENSG00000010191	1	3	1	0	7	4
ENSG00000010192	70	33	45	42	46	40
ENSG00000010193	127	100	52	166	171	117
ENSG00000010194	1774	1613	2244	1717	1769	1149
ENSG00000010195	15	21	5	15	12	13
ENSG00000010196	494	558	742	780	415	562
ENSG00000010197	637	766	510	938	390	741
ENSG00000010198	68	46	20	43	39	50
ENSG00000010199	163	110	106	79	55	40
ENSG00000010200	7681	5600	7467	4667	2769	8524
ENSG00000010201	5737	4316	3996	4068	5228	4315
ENSG00000010202	530	728	1115	898	665	533
ENSG00000010203	407	244	257	348	305	205
ENSG00000010204	1175	882	1561	1200	907	1708
ENSG00000010205	64	114	53	132	81	150
ENSG00000010206	119	110	51	150	140	118
ENSG00000010207	24	20	37	23	16	40
ENSG00000010208	188	187	118	225	124	145
ENSG00000010209	112	221	166	87	106	81
ENSG00000010210	26685	29422	26939	35662	28820	20126
ENSG00000010211	77	113	128	108	46	94
ENSG00000010212	1793	1664	1221	1840	1823	2278
ENSG00000010213	1202	2060	2082	2454	2359	3001
ENSG00000010214	65	152	74	89	106	93
ENSG00000010215	717	1069	1725	1717	1361	1299
ENSG00000010216	2	3	3	1	1	4
ENSG00000010217	126	282	145	231	113	309
ENSG00000010218	576	493	951	453	1102	1184
ENSG00000010219	2	1	0	1	0	1
ENSG00000010220	7	19	9	17	9	12
ENSG00000010221	1553	1368	548	1239	1148	915
ENSG00000010222	85	76	93	91	85	86
ENSG00000010223	13	13	4	25	17	13
ENSG00000010224	61	48	99	107	98	74
ENSG00000010225	48	43	46	67	41	24
ENSG00000010226	881	999	762	509	656	715
ENSG00000010227	500	416	419	422	354	462
ENSG00000010228	46	99	112	106	57	99
ENSG00000010229	73	58	29	49	27	20
ENSG00000010230	83	144	153	39	185	160
ENSG00000010231	1259	2280	3278	1445	2991	2281
ENSG00000010232	445	423	429	228	239	209
ENSG00000010233	664	750	312	589	293	454
ENSG00000010234	80	75	110	67	94	111
ENSG00000010235	14	6	5	8	16	15
ENSG00000010236	39	39	70	30	85	28
ENSG00000010237	537	733	631	437	419	722
ENSG00000010238	135	180	109	230	200	186
ENSG00000010239	22	29	19	21	14	34
ENSG00000010240	7	3	5	4	11	3
ENSG00000010241	232	203	296	231	191	257
ENSG00000010242	52	45	54	90	63	85
ENSG00000010243	84	56	55	82	68	87
ENSG00000010244	93	61	88	99	24	107
ENSG00000010245	282	312	282	397	179	233
ENSG00000010246	171	109	218	242	263	205
