gene_id	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
ENSG00000075624	196	234	121	338	239	66
ENSG00000111640	160	126	146	72	24	98
ENSG00000166710	80	39	50	34	116	37
ENSG00000165704	4	2	2	0	4	0
ENSG00000256269	4928	3357	4132	5311	10246	5370
ENSG00000073578	1671	1686	1274	1457	2054	1624
ENSG00000112592	111	54	103	54	89	72
ENSG00000089157	404	980	650	1009	380	737
ENSG00000164924	181	358	212	266	164	208
ENSG00000196262	59	65	40	38	69	62
ENSG00000010000	2172	714	1038	819	841	778
ENSG00000010001	61	127	37	102	65	39
ENSG00000010002	38	84	82	145	58	65
ENSG00000010003	16	30	48	47	48	19
ENSG00000010004	815	736	792	668	471	292
ENSG00000010005	117	132	45	137	206	128
ENSG00000010006	347	391	596	627	157	432
ENSG00000010007	46	58	22	64	36	37
ENSG00000010008	142	241	223	136	163	190
ENSG00000010009	17	19	40	21	31	31
ENSG00000010010	801	760	538	1231	382	655
ENSG00000010011	170	326	121	231	339	170
ENSG00000010012	297	283	594	362	401	222
ENSG00000010013	235	222	311	467	350	140
ENSG00000010014	9	14	21	18	22	19
ENSG00000010015	952	605	511	831	785	620
ENSG00000010016	4486	14482	7867	7152	5399	10792
ENSG00000010017	5	5	4	3	9	6
ENSG00000010018	5	1	2	1	2	2
ENSG00000010019	7	5	4	5	6	8
ENSG00000010020	333	383	1065	785	959	644
ENSG00000010021	208	327	117	167	165	156
ENSG00000010022	1678	1404	665	1563	713	1811
ENSG00000010023	630	483	658	598	651	732
ENSG00000010024	180	179	284	144	265	113
ENSG00000010025	367	296	193	118	256	187
ENSG00000010026	135	196	62	132	63	66
ENSG00000010027	857	622	497	695	768	1130
ENSG00000010028	7	22	4	18	9	12
ENSG00000010029	34	55	84	41	95	41
ENSG00000010030	313	198	297	273	355	201
ENSG00000010031	7978	7942	4995	10413	7253	3792
ENSG00000010032	38	35	25	39	22	36
ENSG00000010033	20	22	25	32	12	16
ENSG00000010034	35	60	60	41	43	48
ENSG00000010035	1421	928	791	987	977	649
ENSG00000010036	94	118	172	63	42	60
ENSG00000010037	1957	1156	1569	2383	2671	2088
ENSG00000010038	7	2	11	2	5	4
ENSG00000010039	638	991	1024	1399	1597	1156
ENSG00000010040	740	570	1865	1009	818	1870
ENSG00000010041	4	12	11	10	6	5
ENSG00000010042	175	308	165	192	199	156
ENSG00000010043	2564	1246	2452	1476	1090	2935
ENSG00000010044	169	149	144	270	177	226
ENSG00000010045	931	1567	983	885	950	998
ENSG00000010046	18152	17862	18069	24553	21092	36149
ENSG00000010047	357	263	263	319	195	214
ENSG00000010048	66	47	166	84	123	65
