gene_id	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
ENSG00000075624	15500	258	362	387	291	136
ENSG00000111640	3950	64	79	59	38	39
ENSG00000166710	2650	73	86	66	85	36
ENSG00000165704	50	1	2	2	0	4
ENSG00000256269	219550	3103	6772	6396	7754	7182
ENSG00000073578	60350	2301	1556	1917	818	1606
ENSG00000112592	6000	32	76	112	57	88
ENSG00000089157	29000	828	459	719	687	405
ENSG00000164924	11350	230	210	278	322	267
ENSG00000196262	2700	40	43	64	50	66
ENSG00000116641	54700	1399	639	1047	495	571
ENSG00000113661	7950	53	89	70	60	115
ENSG00000162706	3050	54	87	125	101	78
ENSG00000112487	1800	36	40	54	29	34
ENSG00000136721	25350	328	660	175	222	508
ENSG00000218931	3950	56	44	127	89	56
ENSG00000221870	13700	519	389	322	594	541
ENSG00000236352	3100	56	38	32	20	51
ENSG00000194465	8950	199	189	180	265	205
ENSG00000241656	800	21	29	43	28	28
ENSG00000236737	46500	634	917	586	950	910
ENSG00000135899	9150	311	108	241	129	205
ENSG00000209476	31500	457	653	398	388	251
ENSG00000152795	26250	521	367	238	436	233
ENSG00000154909	1150	15	24	17	14	14
ENSG00000166750	43400	478	629	602	947	1015
ENSG00000199759	566050	11050	8809	13815	10873	9845
ENSG00000110934	600	14	8	7	4	2
ENSG00000101026	100	6	5	3	6	2
ENSG00000202251	50	4	9	18	4	5
ENSG00000247394	44600	928	648	698	1005	840
ENSG00000137335	5800	145	248	182	312	138
ENSG00000237725	56300	1305	1074	989	1098	1180
ENSG00000198123	46300	416	409	464	567	1051
ENSG00000148722	12450	290	195	256	246	320
ENSG00000131762	14200	446	271	174	184	270
ENSG00000189363	5250	121	80	61	124	97
ENSG00000227212	50450	867	1132	965	697	585
ENSG00000188624	500	37	26	12	14	13
ENSG00000213343	4800	62	77	48	71	118
ENSG00000237871	13500	204	136	302	348	88
ENSG00000102414	162700	6078	3820	4839	6615	6711
ENSG00000153335	3700	70	29	35	24	36
ENSG00000135949	950	16	17	14	19	6
ENSG00000247247	1900	49	39	56	86	56
ENSG00000123414	42150	519	897	671	1382	1527
ENSG00000110502	7350	54	100	77	128	36
ENSG00000183908	93050	2211	2613	2205	2053	1538
ENSG00000201759	50	6	4	1	5	2
ENSG00000187343	92950	1852	1790	1255	880	1303
ENSG00000239312	77650	831	1210	1145	1251	1815
ENSG00000218276	350	9	11	11	5	7
ENSG00000246994	17500	216	152	185	225	243
ENSG00000247897	97250	2257	1144	1489	2111	1382
ENSG00000243803	12850	209	145	303	354	110
ENSG00000118840	38000	1454	798	973	665	1093
ENSG00000191666	723450	24240	28189	20276	9088	17534
ENSG00000108566	13300	282	193	168	302	290
ENSG00000176207	5050	107	232	90	74	51
ENSG00000190395	2200	47	52	38	54	36
ENSG00000249042	35800	517	323	564	521	708
ENSG00000199172	6050	131	88	100	170	119
ENSG00000137438	5250	69	58	117	244	152
ENSG00000148123	5250	162	59	132	52	224
ENSG00000110974	22050	486	906	685	564	678
ENSG00000112419	1500	14	30	21	16	14
ENSG00000211408	650	10	13	8	5	6
ENSG00000224496	50	1	1	1	0	2
ENSG00000137943	84300	1270	1192	993	2004	1312
ENSG00000119294	20750	372	493	148	76	185
ENSG00000181332	68400	2785	3511	1837	3832	1923
ENSG00000214692	5300	115	122	166	214	163
ENSG00000229818	1500	38	30	30	25	18
ENSG00000210656	19500	428	425	152	243	474
ENSG00000142413	5650	97	137	130	122	157
ENSG00000189281	300	5	19	23	11	16
ENSG00000215327	1650	26	27	23	26	31
ENSG00000169230	157200	6698	3336	5151	3702	2846
ENSG00000160217	19600	206	282	431	364	322
ENSG00000199621	16600	322	384	487	266	302
ENSG00000139742	3300	194	71	58	105	79
ENSG00000201811	850	39	35	32	25	22
ENSG00000222463	30900	554	1117	989	571	1111
ENSG00000119639	5050	59	123	165	90	104
ENSG00000148344	2950	28	27	33	22	20
ENSG00000144960	7850	118	116	124	124	116
ENSG00000161245	1400	24	24	17	9	27
ENSG00000140375	15450	406	394	154	181	241
ENSG00000147626	91700	921	1098	1626	945	1115
ENSG00000101431	2050	29	23	28	45	38
ENSG00000150631	180550	3856	2136	2729	2383	2098
ENSG00000166727	1750	44	54	40	37	66
ENSG00000169130	8850	201	183	116	275	142
ENSG00000136167	1450	39	20	13	34	44
ENSG00000164225	5950	164	188	100	102	116
ENSG00000120263	12650	154	139	166	250	150
ENSG00000154340	2150	41	67	43	88	48
ENSG00000211809	600	44	38	26	33	59
ENSG00000160191	1550	45	30	35	19	45
ENSG00000144508	1350	55	32	33	48	25
ENSG00000111579	300	5	3	5	4	4
ENSG00000229267	4700	120	73	38	161	89
ENSG00000150471	13650	231	410	344	238	541
ENSG00000100153	52950	1565	847	540	550	966
ENSG00000149060	38350	382	711	359	467	360
ENSG00000248996	1831950	29590	35418	12672	22239	15663
ENSG00000119685	14650	204	162	257	207	299
ENSG00000198255	4800	50	72	53	59	56
ENSG00000171611	380050	5689	7136	10916	7016	6660
ENSG00000178485	700	18	20	22	23	12
ENSG00000215679	72100	448	894	1942	883	858
ENSG00000148056	1000	13	22	19	22	40
ENSG00000217779	13350	544	183	258	233	409
ENSG00000103569	100	3	3	2	6	4
ENSG00000150247	42950	864	1006	714	1133	1028
ENSG00000244700	3300	195	138	80	88	114
ENSG00000194547	1200	21	20	23	14	29
ENSG00000136221	133750	4822	4669	6766	4199	7089
ENSG00000208679	34650	869	694	611	685	802
ENSG00000149529	2500	104	195	191	121	201
ENSG00000120362	2100	55	102	33	36	28
ENSG00000219013	3300	136	162	185	65	131
ENSG00000116646	8050	109	186	62	133	83
ENSG00000248362	58350	635	411	584	352	775
ENSG00000123286	34800	795	733	918	872	1057
ENSG00000247496	1300	48	37	23	53	55
ENSG00000127725	1500	46	21	46	31	58
ENSG00000149697	2150	30	87	90	33	42
ENSG00000193076	1350	4	30	7	19	12
ENSG00000142628	1750	61	15	77	28	30
ENSG00000191367	4100	133	77	78	143	177
ENSG00000237681	31650	293	455	876	486	792
ENSG00000236680	107050	1585	4166	2564	3281	1406
ENSG00000151966	1800	25	24	33	30	20
ENSG00000137845	10900	589	564	522	325	386
ENSG00000106453	2150	81	101	46	39	33
ENSG00000232433	680900	6968	9672	8976	15106	14435
ENSG00000116398	12350	149	70	185	148	167
ENSG00000122186	31350	758	300	441	423	523
ENSG00000231455	1000	9	22	33	19	19
ENSG00000112841	1650	43	44	26	30	25
ENSG00000223375	14050	117	274	146	160	108
ENSG00000226686	7150	70	181	55	68	47
ENSG00000245128	14600	346	294	270	145	272
ENSG00000239311	650	11	11	7	6	8
ENSG00000104843	31150	1105	1586	459	366	517
ENSG00000162983	1600	30	17	29	25	17
ENSG00000191965	293350	8074	8786	5928	4259	6605
ENSG00000115405	2450	68	24	52	55	101
