gene_id	SRR493366	SRR493369	SRR493370	SRR493371
ENSG00000075624	310	387	291	136
ENSG00000111640	79	59	38	39
ENSG00000166710	53	66	85	36
ENSG00000165704	1	2	0	4
ENSG00000256269	4391	6396	7754	7182
ENSG00000073578	1207	1917	818	1606
ENSG00000112592	120	112	57	88
ENSG00000089157	580	719	687	405
ENSG00000164924	227	278	322	267
ENSG00000196262	54	64	50	66
ENSG00000116641	1094	1047	495	571
ENSG00000113661	159	70	60	115
ENSG00000162706	61	125	101	78
ENSG00000112487	36	54	29	34
ENSG00000136721	507	175	222	508
ENSG00000218931	79	127	89	56
ENSG00000221870	274	322	594	541
ENSG00000236352	62	32	20	51
ENSG00000194465	179	180	265	205
ENSG00000241656	16	43	28	28
ENSG00000236737	930	586	950	910
ENSG00000135899	183	241	129	205
ENSG00000209476	630	398	388	251
ENSG00000152795	525	238	436	233
ENSG00000154909	23	17	14	14
ENSG00000166750	868	602	947	1015
ENSG00000199759	11321	13815	10873	9845
ENSG00000110934	12	7	4	2
ENSG00000101026	2	3	6	2
ENSG00000202251	1	18	4	5
ENSG00000247394	892	698	1005	840
ENSG00000137335	116	182	312	138
ENSG00000237725	1126	989	1098	1180
ENSG00000198123	926	464	567	1051
ENSG00000148722	249	256	246	320
ENSG00000131762	284	174	184	270
ENSG00000189363	105	61	124	97
ENSG00000227212	1009	965	697	585
ENSG00000188624	10	12	14	13
ENSG00000213343	96	48	71	118
ENSG00000237871	270	302	348	88
ENSG00000102414	3254	4839	6615	6711
ENSG00000153335	74	35	24	36
ENSG00000135949	19	14	19	6
ENSG00000247247	38	56	86	56
ENSG00000123414	843	671	1382	1527
ENSG00000110502	147	77	128	36
ENSG00000183908	1861	2205	2053	1538
ENSG00000201759	1	1	5	2
ENSG00000187343	1859	1255	880	1303
ENSG00000239312	1553	1145	1251	1815
ENSG00000218276	7	11	5	7
ENSG00000246994	350	185	225	243
ENSG00000247897	1945	1489	2111	1382
ENSG00000243803	257	303	354	110
ENSG00000118840	760	973	665	1093
ENSG00000191666	14469	20276	9088	17534
ENSG00000108566	266	168	302	290
ENSG00000176207	101	90	74	51
ENSG00000190395	44	38	54	36
ENSG00000249042	716	564	521	708
ENSG00000199172	121	100	170	119
ENSG00000137438	105	117	244	152
ENSG00000148123	105	132	52	224
ENSG00000110974	441	685	564	678
ENSG00000112419	30	21	16	14
ENSG00000211408	13	8	5	6
ENSG00000224496	1	1	0	2
ENSG00000137943	1686	993	2004	1312
ENSG00000119294	415	148	76	185
ENSG00000181332	1368	1837	3832	1923
ENSG00000214692	106	166	214	163
ENSG00000229818	30	30	25	18
ENSG00000210656	390	152	243	474
ENSG00000142413	113	130	122	157
ENSG00000189281	6	23	11	16
ENSG00000215327	33	23	26	31
ENSG00000169230	3144	5151	3702	2846
ENSG00000160217	392	431	364	322
ENSG00000199621	332	487	266	302
ENSG00000139742	66	58	105	79
ENSG00000201811	17	32	25	22
ENSG00000222463	618	989	571	1111
ENSG00000119639	101	165	90	104
ENSG00000148344	59	33	22	20
ENSG00000144960	157	124	124	116
ENSG00000161245	28	17	9	27
ENSG00000140375	309	154	181	241
ENSG00000147626	1834	1626	945	1115
ENSG00000101431	41	28	45	38
ENSG00000150631	3611	2729	2383	2098
ENSG00000166727	35	40	37	66
ENSG00000169130	177	116	275	142
ENSG00000136167	29	13	34	44
ENSG00000164225	119	100	102	116
ENSG00000120263	253	166	250	150
ENSG00000154340	43	43	88	48
ENSG00000211809	12	26	33	59
ENSG00000160191	31	35	19	45
ENSG00000144508	27	33	48	25
ENSG00000111579	6	5	4	4
ENSG00000229267	94	38	161	89
ENSG00000150471	273	344	238	541
ENSG00000100153	1059	540	550	966
ENSG00000149060	767	359	467	360
