gene_id	SRR493366	SRR493367	SRR493368	SRR493369	SRR493370	SRR493371
ENSG00000075624	310	258	362	387	291	136
ENSG00000111640	79	64	79	59	38	39
ENSG00000166710	53	73	86	66	85	36
ENSG00000165704	1	1	2	2	0	4
ENSG00000256269	4391	3103	6772	6396	7754	7182
ENSG00000073578	1207	2301	1556	1917	818	1606
ENSG00000112592	120	32	76	112	57	88
ENSG00000089157	580	828	459	719	687	405
ENSG00000164924	227	230	210	278	322	267
ENSG00000196262	54	40	43	64	50	66
ENSG00000116641	1094	1399	639	1047	495	571
ENSG00000113661	159	53	89	70	60	115
ENSG00000162706	61	54	87	125	101	78
ENSG00000112487	36	36	40	54	29	34
ENSG00000136721	507	328	660	175	222	508
ENSG00000218931	79	56	44	127	89	56
ENSG00000221870	274	519	389	322	594	541
ENSG00000236352	62	56	38	32	20	51
ENSG00000194465	179	199	189	180	265	205
ENSG00000241656	16	21	29	43	28	28
ENSG00000236737	930	634	917	586	950	910
ENSG00000135899	183	311	108	241	129	205
ENSG00000209476	630	457	653	398	388	251
ENSG00000152795	525	521	367	238	436	233
ENSG00000154909	23	15	24	17	14	14
ENSG00000166750	868	478	629	602	947	1015
ENSG00000199759	11321	11050	8809	13815	10873	9845
ENSG00000110934	12	14	8	7	4	2
ENSG00000101026	2	6	5	3	6	2
ENSG00000202251	1	4	9	18	4	5
ENSG00000247394	892	928	648	698	1005	840
ENSG00000137335	116	145	248	182	312	138
ENSG00000237725	1126	1305	1074	989	1098	1180
ENSG00000198123	926	416	409	464	567	1051
ENSG00000148722	249	290	195	256	246	320
ENSG00000131762	284	446	271	174	184	270
ENSG00000189363	105	121	80	61	124	97
ENSG00000227212	1009	867	1132	965	697	585
ENSG00000188624	10	37	26	12	14	13
ENSG00000213343	96	62	77	48	71	118
ENSG00000237871	270	204	136	302	348	88
ENSG00000102414	3254	6078	3820	4839	6615	6711
ENSG00000153335	74	70	29	35	24	36
ENSG00000135949	19	16	17	14	19	6
ENSG00000247247	38	49	39	56	86	56
ENSG00000123414	843	519	897	671	1382	1527
ENSG00000110502	147	54	100	77	128	36
ENSG00000183908	1861	2211	2613	2205	2053	1538
ENSG00000201759	1	6	4	1	5	2
ENSG00000187343	1859	1852	1790	1255	880	1303
ENSG00000239312	1553	831	1210	1145	1251	1815
ENSG00000218276	7	9	11	11	5	7
ENSG00000246994	350	216	152	185	225	243
ENSG00000247897	1945	2257	1144	1489	2111	1382
ENSG00000243803	257	209	145	303	354	110
ENSG00000118840	760	1454	798	973	665	1093
ENSG00000191666	14469	24240	28189	20276	9088	17534
ENSG00000108566	266	282	193	168	302	290
ENSG00000176207	101	107	232	90	74	51
ENSG00000190395	44	47	52	38	54	36
