gene_id	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000075624	58600	731	934	953	1079	868	1120	737
ENSG00000111640	277550	2483	9458	8841	4722	4474	2883	4165
ENSG00000166710	0	0	1	0	1	2	1	2
ENSG00000165704	8400	140	168	60	91	112	149	90
ENSG00000256269	57600	857	1271	1342	522	1098	1165	649
ENSG00000073578	153450	2376	1435	2098	1625	1715	2461	1367
ENSG00000112592	36150	455	291	648	511	714	534	454
ENSG00000089157	164650	2738	3922	3399	3819	4027	1710	2823
ENSG00000164924	25050	427	397	100	483	312	492	312
ENSG00000196262	18700	543	408	327	318	304	574	497
ENSG00000233195	10200	238	94	201	233	185	170	152
ENSG00000247093	1200	9	35	3	52	15	41	10
ENSG00000216504	1100	52	19	30	34	20	23	26
ENSG00000226771	15150	268	292	400	251	303	316	232
ENSG00000178963	1700	67	46	27	28	14	41	35
ENSG00000183643	48150	835	1747	1837	2769	1718	1962	1690
ENSG00000194465	108700	1646	1232	2069	1921	1733	2431	2573
ENSG00000230399	828250	5905	9027	6819	10490	5926	10916	6332
ENSG00000245712	7000	144	225	167	192	245	211	75
ENSG00000222661	119200	2361	2052	2353	2838	1239	2196	3814
ENSG00000136777	1150	33	23	23	23	21	25	34
ENSG00000198123	1500	34	15	21	13	22	28	36
ENSG00000230271	9250	198	115	198	125	142	164	110
ENSG00000128888	8150	266	343	224	213	374	175	214
ENSG00000183427	150	3	4	11	10	4	8	6
ENSG00000242696	0	4	5	3	1	4	7	5
ENSG00000132638	17100	161	237	473	280	348	261	345
ENSG00000115606	1400	34	29	17	19	15	43	17
ENSG00000166126	61300	1713	1719	1084	2011	1113	759	1625
ENSG00000183129	8100	227	217	180	287	334	360	222
ENSG00000241040	18100	357	348	238	292	451	310	328
ENSG00000134803	14250	183	216	535	134	253	245	262
ENSG00000133389	39250	752	610	418	608	778	646	1080
ENSG00000247897	6850	95	123	141	138	70	93	121
ENSG00000200411	28900	1137	1518	599	1028	1336	904	1187
ENSG00000136450	1900	74	40	48	46	33	74	87
ENSG00000238097	4000	87	120	143	54	117	63	100
ENSG00000225172	1150	9	57	63	35	31	37	47
ENSG00000133607	19900	742	247	372	530	396	386	325
ENSG00000133903	7350	109	194	88	175	109	178	174
ENSG00000128233	1600	23	37	55	24	29	18	33
ENSG00000108048	599150	8407	10981	7882	8157	5737	10024	7785
ENSG00000199172	3200	69	73	113	35	100	67	71
ENSG00000118385	5950	123	120	47	127	84	64	207
ENSG00000163149	23250	288	419	147	352	165	505	352
ENSG00000111041	337350	4217	2728	4765	2548	1744	4597	6019
ENSG00000111148	17100	55	164	117	170	81	287	87
ENSG00000185034	25150	616	599	407	1098	621	804	471
ENSG00000234900	9700	79	197	160	143	171	173	251
ENSG00000184237	500	14	10	7	11	5	15	7
ENSG00000204692	27050	606	1053	682	754	634	439	571
ENSG00000168022	47550	434	1314	1101	1491	977	1403	986
ENSG00000108910	7150	63	164	81	154	101	155	43
ENSG00000219445	11050	112	83	176	105	224	72	100
ENSG00000221546	300	13	15	14	4	7	7	4
ENSG00000238608	350	5	12	5	10	5	12	7
ENSG00000169230	4350	109	129	63	58	82	71	47
ENSG00000189709	21050	564	537	462	398	655	472	329
ENSG00000104499	6050	39	61	42	59	54	87	62
ENSG00000131736	7450	303	268	221	221	197	239	166
ENSG00000222596	54150	1074	881	416	649	968	485	1321
ENSG00000157422	4550	278	175	180	117	199	113	142
ENSG00000116049	12800	494	581	494	645	588	464	621
ENSG00000164569	143900	2006	3357	3708	4243	2602	4524	1898
ENSG00000191601	650	13	18	6	17	10	12	14
ENSG00000214564	38300	683	600	484	648	561	757	601
ENSG00000106719	250	9	2	1	4	5	3	5
ENSG00000203500	20500	240	560	205	454	324	412	447
ENSG00000218827	10250	134	111	264	96	311	104	341
ENSG00000188555	4100	30	112	62	89	21	137	55
ENSG00000238228	1250	19	18	20	13	14	12	34
ENSG00000133183	4900	166	308	113	104	77	55	138
ENSG00000149855	1700	52	87	64	83	72	51	64
ENSG00000113416	9950	203	86	199	135	386	229	149
ENSG00000169130	650	35	15	17	54	14	33	32
ENSG00000152633	20750	484	591	585	332	540	304	437
ENSG00000208581	1800	22	19	10	29	18	10	24
ENSG00000216603	3450	75	107	50	89	101	78	53
ENSG00000140093	4200	54	67	66	42	23	53	103
ENSG00000157194	83650	2195	1795	1082	2512	1640	2047	2347
ENSG00000245286	300	9	12	5	11	4	14	13
ENSG00000146997	4100	45	77	79	34	61	45	65
ENSG00000152999	138150	979	3605	1921	3424	1644	3639	1413
ENSG00000248996	1400	25	30	70	28	53	33	13
ENSG00000142759	450	16	22	11	12	9	10	8
ENSG00000198255	18800	230	309	354	275	265	164	303
ENSG00000234680	3900	78	58	65	51	74	53	104
ENSG00000242166	35200	550	706	848	1248	513	720	641
ENSG00000124441	600	17	21	13	15	23	12	34
ENSG00000124049	6950	176	210	173	206	328	220	128
ENSG00000194547	16150	499	286	365	369	970	571	482
ENSG00000234167	57200	1356	1006	527	1132	1386	1545	1641
ENSG00000131465	1050	10	21	22	40	20	28	17
ENSG00000229009	135700	1941	1402	2910	2482	2180	4699	1969
ENSG00000246417	650	28	26	9	32	25	27	22
ENSG00000183207	550	5	8	7	5	3	11	9
