gene_id	GSM1275862_untreated	GSM1275862_dex	GSM1275863_dex	GSM1275870_dex	GSM1275871_dex
ENSG00000075624	1172	731	953	868	737
ENSG00000111640	5551	2483	8841	4474	4165
ENSG00000166710	0	0	0	2	2
ENSG00000165704	168	140	60	112	90
ENSG00000256269	1152	857	1342	1098	649
ENSG00000073578	3069	2376	2098	1715	1367
ENSG00000112592	723	455	648	714	454
ENSG00000089157	3293	2738	3399	4027	2823
ENSG00000164924	501	427	100	312	312
ENSG00000196262	374	543	327	304	497
ENSG00000233195	204	238	201	185	152
ENSG00000247093	24	9	3	15	10
ENSG00000216504	22	52	30	20	26
ENSG00000226771	303	268	400	303	232
ENSG00000178963	34	67	27	14	35
ENSG00000183643	963	835	1837	1718	1690
ENSG00000194465	2174	1646	2069	1733	2573
ENSG00000230399	16565	5905	6819	5926	6332
ENSG00000245712	140	144	167	245	75
ENSG00000222661	2384	2361	2353	1239	3814
ENSG00000136777	23	33	23	21	34
ENSG00000198123	30	34	21	22	36
ENSG00000230271	185	198	198	142	110
ENSG00000128888	163	266	224	374	214
ENSG00000183427	3	3	11	4	6
ENSG00000242696	0	4	3	4	5
ENSG00000132638	342	161	473	348	345
ENSG00000115606	28	34	17	15	17
ENSG00000166126	1226	1713	1084	1113	1625
ENSG00000183129	162	227	180	334	222
ENSG00000241040	362	357	238	451	328
ENSG00000134803	285	183	535	253	262
ENSG00000133389	785	752	418	778	1080
ENSG00000247897	137	95	141	70	121
ENSG00000200411	578	1137	599	1336	1187
ENSG00000136450	38	74	48	33	87
ENSG00000238097	80	87	143	117	100
ENSG00000225172	23	9	63	31	47
ENSG00000133607	398	742	372	396	325
ENSG00000133903	147	109	88	109	174
ENSG00000128233	32	23	55	29	33
ENSG00000108048	11983	8407	7882	5737	7785
ENSG00000199172	64	69	113	100	71
ENSG00000118385	119	123	47	84	207
ENSG00000163149	465	288	147	165	352
ENSG00000111041	6747	4217	4765	1744	6019
ENSG00000111148	342	55	117	81	87
ENSG00000185034	503	616	407	621	471
ENSG00000234900	194	79	160	171	251
ENSG00000184237	10	14	7	5	7
ENSG00000204692	541	606	682	634	571
ENSG00000168022	951	434	1101	977	986
ENSG00000108910	143	63	81	101	43
ENSG00000219445	221	112	176	224	100
ENSG00000221546	6	13	14	7	4
ENSG00000238608	7	5	5	5	7
ENSG00000169230	87	109	63	82	47
ENSG00000189709	421	564	462	655	329
ENSG00000104499	121	39	42	54	62
ENSG00000131736	149	303	221	197	166
ENSG00000222596	1083	1074	416	968	1321
ENSG00000157422	91	278	180	199	142
ENSG00000116049	256	494	494	588	621
ENSG00000164569	2878	2006	3708	2602	1898
ENSG00000191601	13	13	6	10	14
ENSG00000214564	766	683	484	561	601
ENSG00000106719	5	9	1	5	5
ENSG00000203500	410	240	205	324	447
ENSG00000218827	205	134	264	311	341
ENSG00000188555	82	30	62	21	55
ENSG00000238228	25	19	20	14	34
ENSG00000133183	98	166	113	77	138
ENSG00000149855	34	52	64	72	64
ENSG00000113416	199	203	199	386	149
ENSG00000169130	13	35	17	14	32
ENSG00000152633	415	484	585	540	437
ENSG00000208581	36	22	10	18	24
ENSG00000216603	69	75	50	101	53
ENSG00000140093	84	54	66	23	103
ENSG00000157194	1673	2195	1082	1640	2347
ENSG00000245286	6	9	5	4	13
ENSG00000146997	82	45	79	61	65
ENSG00000152999	2763	979	1921	1644	1413
ENSG00000248996	28	25	70	53	13
ENSG00000142759	9	16	11	9	8
ENSG00000198255	376	230	354	265	303
ENSG00000234680	78	78	65	74	104
ENSG00000242166	704	550	848	513	641
ENSG00000124441	12	17	13	23	34
ENSG00000124049	139	176	173	328	128
ENSG00000194547	323	499	365	970	482
ENSG00000234167	1144	1356	527	1386	1641
ENSG00000131465	21	10	22	20	17
ENSG00000229009	2714	1941	2910	2180	1969
ENSG00000246417	13	28	9	25	22
ENSG00000183207	11	5	7	3	9
ENSG00000204364	15	25	31	15	17
ENSG00000205791	200	201	215	198	152
ENSG00000196703	70	73	82	42	72
ENSG00000123286	527	269	349	239	262
ENSG00000241766	621	309	322	330	544
ENSG00000203421	361	416	217	304	315
ENSG00000221750	70	58	59	70	64
ENSG00000232521	3266	5905	5501	4513	7446
ENSG00000158867	2	1	1	1	2
ENSG00000108271	7	2	0	1	2
ENSG00000222492	69	71	36	71	24
ENSG00000110765	17	17	10	10	13
ENSG00000173164	0	4	1	1	2
ENSG00000138363	13	27	26	25	42
ENSG00000101006	22	10	38	21	14
ENSG00000196065	2	0	1	1	1
ENSG00000190490	1943	575	1302	510	592
ENSG00000143659	3116	1661	2407	2365	1766
ENSG00000151241	1646	2407	2800	1517	1098
ENSG00000186171	68	58	98	44	39
ENSG00000248718	174	141	156	226	186
ENSG00000135446	12	20	9	13	18
ENSG00000219816	101	160	100	253	210
ENSG00000123581	55	31	14	29	63
ENSG00000196958	125	259	157	512	299
ENSG00000198384	89	91	46	54	113
ENSG00000158585	1089	1055	662	1504	1484
ENSG00000207532	636	424	727	868	728
ENSG00000104515	1602	1145	919	798	1403
ENSG00000169862	6	3	0	5	8
ENSG00000164654	5	7	3	6	1
ENSG00000145379	560	460	392	224	342
ENSG00000110978	48	35	53	32	47
ENSG00000197012	160	258	288	229	321
ENSG00000186014	172	218	241	268	178
ENSG00000144956	100	191	167	201	135
ENSG00000134845	1115	890	583	790	1738
ENSG00000225796	472	327	553	158	173
ENSG00000235995	771	242	448	261	299
ENSG00000172231	32	27	28	21	17
ENSG00000168675	2394	4059	3288	4145	2359
ENSG00000203156	153	116	346	183	89
ENSG00000116074	1471	2157	1196	1515	1601
ENSG00000190154	174	219	272	448	259
ENSG00000166075	1075	1975	2289	1570	2543
ENSG00000139010	173	153	232	237	173
ENSG00000203298	415	242	187	143	200
ENSG00000228499	262	119	135	380	243
ENSG00000242013	23	29	52	41	24
ENSG00000229985	21	40	91	50	32
ENSG00000174763	76	124	83	88	159
ENSG00000134345	116	260	83	122	113
ENSG00000243153	31	30	13	20	26
ENSG00000203842	20297	15385	15859	14646	20143
ENSG00000158284	17	8	3	20	17
ENSG00000200450	111	112	63	71	77
ENSG00000126086	28795	20524	36903	23649	17740
ENSG00000181894	94	41	35	27	42
ENSG00000129078	533	726	749	900	710
ENSG00000194848	498	357	403	471	434
ENSG00000123241	49	89	115	78	114
ENSG00000226863	6	23	10	4	4
ENSG00000109108	11	6	6	4	4
ENSG00000180051	183	183	147	95	149
ENSG00000115618	269	338	315	307	485
ENSG00000190342	3	3	1	4	2
ENSG00000231676	174	171	246	135	119
ENSG00000136275	51	24	52	59	30
ENSG00000148263	447	743	785	709	1548
ENSG00000114561	258	241	219	88	438
ENSG00000170112	29	36	36	37	44
ENSG00000177606	61	77	93	69	85
ENSG00000248078	120	136	177	146	171
ENSG00000156945	1379	1689	1657	1357	663
ENSG00000231930	60939	49761	37199	39606	33834
ENSG00000201354	410	236	154	155	124
ENSG00000119758	315	131	257	190	144
ENSG00000220638	636	667	622	798	408
ENSG00000191375	153	100	168	106	218
ENSG00000141108	396	1030	799	1328	768
ENSG00000154933	728	381	505	475	319
ENSG00000145181	195	139	121	121	174
ENSG00000151660	31	36	55	55	27
ENSG00000163435	197	222	315	320	150
ENSG00000177692	936	1026	781	1237	1504
ENSG00000231572	141	175	245	302	111
