	GSM1275862_untreated	GSM1275862_dex	GSM1275863_untreated	GSM1275863_dex	GSM1275870_untreated	GSM1275870_dex	GSM1275871_untreated	GSM1275871_dex
ENSG00000075624	1172	731	934	953	1079	868	1120	737
ENSG00000111640	5551	2483	9458	8841	4722	4474	2883	4165
ENSG00000166710	0	0	1	0	1	2	1	2
ENSG00000165704	168	140	168	60	91	112	149	90
ENSG00000256269	1152	857	1271	1342	522	1098	1165	649
ENSG00000073578	3069	2376	1435	2098	1625	1715	2461	1367
ENSG00000112592	723	455	291	648	511	714	534	454
ENSG00000089157	3293	2738	3922	3399	3819	4027	1710	2823
ENSG00000164924	501	427	397	100	483	312	492	312
ENSG00000196262	374	543	408	327	318	304	574	497
TP53	204	238	94	201	233	185	170	152
ACTB	24	9	35	3	52	15	41	10
GAPDH	22	52	19	30	34	20	23	26
MYC	303	268	292	400	251	303	316	232
BRCA1	34	67	46	27	28	14	41	35
EGFR	963	835	1747	1837	2769	1718	1962	1690
KRAS	2174	1646	1232	2069	1921	1733	2431	2573
PTEN	16565	5905	9027	6819	10490	5926	10916	6332
RB1	140	144	225	167	192	245	211	75
APC	2384	2361	2052	2353	2838	1239	2196	3814
CDH1	23	33	23	23	23	21	25	34
VHL	30	34	15	21	13	22	28	36
SMAD4	185	198	115	198	125	142	164	110
PIK3CA	163	266	343	224	213	374	175	214
BRAF	3	3	4	11	10	4	8	6
ALK	0	4	5	3	1	4	7	5
FGFR1	342	161	237	473	280	348	261	345
NRAS	28	34	29	17	19	15	43	17
IDH1	1226	1713	1719	1084	2011	1113	759	1625
CDKN2A	162	227	217	180	287	334	360	222
MDM2	362	357	348	238	292	451	310	328
BCL2	285	183	216	535	134	253	245	262
VEGFA	785	752	610	418	608	778	646	1080
FLT3	137	95	123	141	138	70	93	121
NPM1	578	1137	1518	599	1028	1336	904	1187
DNMT3A	38	74	40	48	46	33	74	87
TET2	80	87	120	143	54	117	63	100
RUNX1	23	9	57	63	35	31	37	47
CEBPA	398	742	247	372	530	396	386	325
NF1	147	109	194	88	175	109	178	174
PTPN11	32	23	37	55	24	29	18	33
JAK2	11983	8407	10981	7882	8157	5737	10024	7785
STAT3	64	69	73	113	35	100	67	71
KIT	119	123	120	47	127	84	64	207
PDGFRA	465	288	419	147	352	165	505	352
ABL1	6747	4217	2728	4765	2548	1744	4597	6019
BCR	342	55	164	117	170	81	287	87
PML	503	616	599	407	1098	621	804	471
RARA	194	79	197	160	143	171	173	251
NOTCH1	10	14	10	7	11	5	15	7
FBXW7	541	606	1053	682	754	634	439	571
SF3B1	951	434	1314	1101	1491	977	1403	986
SRSF2	143	63	164	81	154	101	155	43
U2AF1	221	112	83	176	105	224	72	100
ASXL1	6	13	15	14	4	7	7	4
EZH2	7	5	12	5	10	5	12	7
SUZ12	87	109	129	63	58	82	71	47
KDM6A	421	564	537	462	398	655	472	329
ARID1A	121	39	61	42	59	54	87	62
CREBBP	149	303	268	221	221	197	239	166
ENSG00000222596	1083	1074	881	416	649	968	485	1321
ENSG00000157422	91	278	175	180	117	199	113	142
ENSG00000116049	256	494	581	494	645	588	464	621
ENSG00000164569	2878	2006	3357	3708	4243	2602	4524	1898
ENSG00000191601	13	13	18	6	17	10	12	14
ENSG00000214564	766	683	600	484	648	561	757	601
ENSG00000106719	5	9	2	1	4	5	3	5
ENSG00000203500	410	240	560	205	454	324	412	447
ENSG00000218827	205	134	111	264	96	311	104	341
ENSG00000188555	82	30	112	62	89	21	137	55
ENSG00000238228	25	19	18	20	13	14	12	34
ENSG00000133183	98	166	308	113	104	77	55	138
ENSG00000149855	34	52	87	64	83	72	51	64
ENSG00000113416	199	203	86	199	135	386	229	149
ENSG00000169130	13	35	15	17	54	14	33	32
ENSG00000152633	415	484	591	585	332	540	304	437
ENSG00000208581	36	22	19	10	29	18	10	24
ENSG00000216603	69	75	107	50	89	101	78	53
ENSG00000140093	84	54	67	66	42	23	53	103
ENSG00000157194	1673	2195	1795	1082	2512	1640	2047	2347
ENSG00000245286	6	9	12	5	11	4	14	13
ENSG00000146997	82	45	77	79	34	61	45	65
ENSG00000152999	2763	979	3605	1921	3424	1644	3639	1413
ENSG00000248996	28	25	30	70	28	53	33	13
ENSG00000142759	9	16	22	11	12	9	10	8
ENSG00000198255	376	230	309	354	275	265	164	303
ENSG00000234680	78	78	58	65	51	74	53	104
ENSG00000242166	704	550	706	848	1248	513	720	641
ENSG00000124441	12	17	21	13	15	23	12	34
ENSG00000124049	139	176	210	173	206	328	220	128
ENSG00000194547	323	499	286	365	369	970	571	482
ENSG00000234167	1144	1356	1006	527	1132	1386	1545	1641
ENSG00000131465	21	10	21	22	40	20	28	17
ENSG00000229009	2714	1941	1402	2910	2482	2180	4699	1969
ENSG00000246417	13	28	26	9	32	25	27	22
ENSG00000183207	11	5	8	7	5	3	11	9
ENSG00000204364	15	25	33	31	22	15	25	17
ENSG00000205791	200	201	239	215	171	198	213	152
ENSG00000196703	70	73	55	82	90	42	66	72
ENSG00000123286	527	269	267	349	355	239	306	262
ENSG00000241766	621	309	409	322	462	330	351	544
ENSG00000203421	361	416	187	217	188	304	262	315
ENSG00000221750	70	58	114	59	78	70	71	64
ENSG00000232521	3266	5905	6054	5501	4054	4513	2926	7446
ENSG00000158867	2	1	2	1	2	1	3	2
ENSG00000108271	7	2	6	0	9	1	4	2
ENSG00000222492	69	71	35	36	41	71	57	24
ENSG00000110765	17	17	10	10	15	10	2	13
ENSG00000173164	0	4	0	1	0	1	0	2
ENSG00000138363	13	27	27	26	21	25	29	42
ENSG00000101006	22	10	33	38	52	21	12	14
ENSG00000196065	2	0	1	1	1	1	3	1
ENSG00000190490	1943	575	1624	1302	1877	510	2628	592
ENSG00000143659	3116	1661	3196	2407	2624	2365	1603	1766
ENSG00000151241	1646	2407	2175	2800	1102	1517	1599	1098
ENSG00000186171	68	58	60	98	52	44	51	39
ENSG00000248718	174	141	278	156	161	226	223	186
ENSG00000135446	12	20	14	9	16	13	12	18
ENSG00000219816	101	160	292	100	153	253	282	210
ENSG00000123581	55	31	14	14	22	29	24	63
ENSG00000196958	125	259	427	157	284	512	257	299
ENSG00000198384	89	91	74	46	45	54	95	113
ENSG00000158585	1089	1055	1572	662	897	1504	765	1484
ENSG00000207532	636	424	678	727	989	868	1019	728
ENSG00000104515	1602	1145	1848	919	2693	798	1502	1403
ENSG00000169862	6	3	5	0	4	5	5	8
ENSG00000164654	5	7	4	3	4	6	4	1
ENSG00000145379	560	460	276	392	278	224	371	342
ENSG00000110978	48	35	39	53	36	32	90	47
ENSG00000197012	160	258	224	288	279	229	386	321
ENSG00000186014	172	218	335	241	215	268	320	178
ENSG00000144956	100	191	192	167	280	201	201	135
ENSG00000134845	1115	890	1300	583	671	790	564	1738
ENSG00000225796	472	327	576	553	424	158	521	173
ENSG00000235995	771	242	925	448	620	261	431	299
ENSG00000172231	32	27	30	28	24	21	30	17
ENSG00000168675	2394	4059	3302	3288	4259	4145	6693	2359
ENSG00000203156	153	116	142	346	140	183	124	89
ENSG00000116074	1471	2157	1064	1196	1446	1515	1873	1601
ENSG00000190154	174	219	319	272	259	448	282	259
ENSG00000166075	1075	1975	2487	2289	1981	1570	1191	2543
ENSG00000139010	173	153	312	232	116	237	171	173
ENSG00000203298	415	242	305	187	260	143	405	200
ENSG00000228499	262	119	168	135	302	380	154	243
ENSG00000242013	23	29	21	52	19	41	48	24
ENSG00000229985	21	40	62	91	46	50	38	32
ENSG00000174763	76	124	123	83	149	88	80	159
ENSG00000134345	116	260	121	83	106	122	119	113
ENSG00000243153	31	30	24	13	12	20	14	26
ENSG00000203842	20297	15385	13332	15859	22670	14646	13760	20143
ENSG00000158284	17	8	27	3	18	20	24	17
ENSG00000200450	111	112	66	63	67	71	38	77
ENSG00000126086	28795	20524	16216	36903	21688	23649	20929	17740
ENSG00000181894	94	41	72	35	112	27	42	42
ENSG00000129078	533	726	348	749	553	900	719	710
ENSG00000194848	498	357	494	403	692	471	480	434
ENSG00000123241	49	89	56	115	99	78	146	114
ENSG00000226863	6	23	6	10	12	4	10	4
ENSG00000109108	11	6	7	6	3	4	6	4
ENSG00000180051	183	183	109	147	185	95	128	149
ENSG00000115618	269	338	319	315	200	307	304	485
ENSG00000190342	3	3	7	1	3	4	9	2
ENSG00000231676	174	171	144	246	335	135	173	119
ENSG00000136275	51	24	95	52	60	59	61	30
ENSG00000148263	447	743	640	785	660	709	989	1548
ENSG00000114561	258	241	246	219	221	88	177	438
ENSG00000170112	29	36	75	36	61	37	30	44
ENSG00000177606	61	77	38	93	106	69	22	85
ENSG00000248078	120	136	67	177	173	146	80	171
ENSG00000156945	1379	1689	1033	1657	2680	1357	2981	663
ENSG00000231930	60939	49761	45732	37199	50245	39606	46534	33834
ENSG00000201354	410	236	106	154	597	155	321	124
ENSG00000119758	315	131	172	257	258	190	557	144
ENSG00000220638	636	667	1012	622	552	798	503	408
ENSG00000191375	153	100	270	168	157	106	122	218
ENSG00000141108	396	1030	833	799	445	1328	801	768
ENSG00000154933	728	381	234	505	299	475	384	319
ENSG00000145181	195	139	113	121	248	121	220	174
ENSG00000151660	31	36	34	55	45	55	35	27
ENSG00000163435	197	222	163	315	278	320	279	150
ENSG00000177692	936	1026	502	781	1187	1237	699	1504
ENSG00000231572	141	175	170	245	163	302	183	111
ENSG00000218358	5311	1439	6908	4295	4683	4921	4661	3010
ENSG00000205461	755	829	872	779	903	1482	1020	928
ENSG00000241149	147	112	121	122	106	128	146	101
ENSG00000204944	5446	4320	4533	8074	5267	4764	3382	4003
ENSG00000157301	12	23	17	13	14	31	16	8
ENSG00000176277	1927	1782	1880	2083	1582	848	2470	2272
ENSG00000212881	9076	4528	8353	5876	10100	5856	10589	5451
ENSG00000141619	112	95	126	62	105	132	62	62
ENSG00000203050	202	220	90	225	104	77	166	143
ENSG00000217914	2143	1168	1169	790	1445	1278	1179	928
ENSG00000225920	3062	3942	4594	3082	3522	4633	3478	3656
ENSG00000126984	404	810	646	655	360	411	433	368
ENSG00000194108	425	254	787	287	411	268	597	435
ENSG00000109128	2901	1294	1454	1612	2024	836	1946	838
ENSG00000173072	245	223	158	193	265	248	414	389
ENSG00000216856	19	19	29	11	13	16	19	11
ENSG00000201607	217	105	146	75	151	177	58	201
ENSG00000170370	93	258	194	193	127	146	230	194
ENSG00000173845	5	15	4	10	14	3	14	5
ENSG00000241117	323	223	320	418	254	464	527	422
ENSG00000171084	42	57	60	26	71	42	42	39
ENSG00000161325	1184	1360	1194	650	1026	684	1274	1055
ENSG00000136630	8	8	6	9	9	21	7	7
ENSG00000244641	34	48	33	26	32	25	32	19
ENSG00000161346	9	8	13	17	4	18	7	10
ENSG00000108586	3855	1152	1790	1922	1739	1462	3761	1773
ENSG00000211839	3277	1448	2539	1798	1607	2625	3245	3874
ENSG00000198495	3860	3504	1647	2468	1547	2975	3396	3074
ENSG00000185993	4077	6314	2805	2907	3792	3424	4512	2430
ENSG00000158966	692	899	1446	1046	1261	861	2496	2050
ENSG00000157512	499	368	1405	1202	1191	1135	1668	1480
ENSG00000242950	1	4	7	9	11	6	3	6
ENSG00000245607	233	337	296	354	359	295	269	359
ENSG00000167601	54	136	64	56	58	68	35	69
ENSG00000194329	59	77	161	96	103	47	61	116
ENSG00000163441	32	10	21	16	9	18	20	5
ENSG00000124696	2055	1613	1985	2560	3321	2270	2466	2580
ENSG00000183698	317	185	304	273	270	237	129	287
ENSG00000106298	14	7	15	7	25	11	17	8
ENSG00000157133	215	418	285	565	535	592	352	515
ENSG00000208268	94	193	131	98	158	192	99	181
ENSG00000167974	18	19	21	15	31	6	15	24
ENSG00000119483	136	97	123	99	127	126	108	103
ENSG00000186715	111	66	100	44	67	29	41	35
ENSG00000232498	3	1	2	1	1	2	1	3
ENSG00000126966	5	6	9	2	6	7	9	10
ENSG00000122706	378	516	666	482	649	705	454	396
ENSG00000237850	420	383	318	286	254	236	280	189
ENSG00000121454	245	350	185	163	460	208	204	221
