gene_id	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
73760	12750	200	309	307	89	146	90	153	179	127	121	105
84746	16300	142	357	421	224	379	255	257	349	223	244	345
82643	5000	32	61	107	83	133	91	69	89	70	109	93
28612	550	21	23	42	39	22	36	25	23	39	23	18
45691	1950	54	83	47	79	62	29	29	91	55	79	28
97407	1350	21	17	14	27	14	20	26	32	19	31	20
22086	14200	101	270	223	128	215	180	425	516	276	469	257
52757	88700	2073	3047	2274	1998	2442	2799	1624	2905	2472	3577	3334
100610	3600	45	37	37	50	55	56	52	28	76	53	86
68322	2800	40	38	49	42	36	27	58	62	40	43	45
36068	15300	513	238	180	533	354	493	475	300	574	377	376
63125	15850	250	384	170	364	457	469	344	212	269	371	306
25468	5700	318	103	239	156	188	245	152	124	306	219	112
96615	800	22	31	34	35	26	23	12	23	24	27	33
37521	8200	183	210	86	151	218	197	123	116	123	120	128
79423	21700	599	515	274	726	424	501	299	694	506	328	598
72760	700	10	11	14	10	13	4	6	12	8	7	7
83224	3650	89	43	74	67	60	63	76	70	60	53	72
33349	150	5	0	7	3	0	6	2	2	3	1	1
23827	650	7	13	12	7	29	13	12	7	15	14	13
87198	50	7	4	4	3	2	2	3	5	0	8	1
41775	5350	158	94	85	136	69	118	83	107	94	64	152
98046	100	20	17	8	6	17	15	28	20	13	56	18
101106	6000	274	348	190	152	580	318	204	285	152	285	187
45746	5050	158	97	197	246	154	122	147	317	176	346	181
68806	4750	163	124	78	86	100	156	240	184	241	215	335
88609	50	0	2	1	0	3	4	1	0	1	1	0
62444	3300	49	58	32	32	34	42	78	38	52	85	34
13973	8400	97	126	193	148	193	109	74	163	151	210	101
90810	9550	160	190	336	93	181	270	159	131	141	216	157
87494	250	11	5	3	2	7	8	7	4	8	12	10
31364	5050	36	59	26	42	54	102	50	79	36	70	116
11535	900	17	34	28	19	27	24	13	23	21	21	12
32003	1950	31	30	18	30	46	14	39	36	31	25	32
48426	47250	1247	1307	741	2401	926	1627	1365	1312	1263	1193	1745
24955	2400	49	50	28	49	38	33	31	26	44	23	43
69386	10650	152	125	94	77	87	217	82	160	113	104	150
73719	32800	681	924	888	758	562	1874	2573	1776	2082	997	3153
51615	3100	57	27	49	68	76	65	46	33	88	33	49
66155	5950	169	124	140	88	96	91	130	114	116	113	207
59469	7850	173	182	104	148	251	153	104	208	187	87	178
94664	5100	126	394	217	101	181	180	158	318	156	134	231
93880	600	10	16	13	10	11	10	13	13	11	8	15
49052	6700	157	227	208	125	243	120	192	236	186	119	173
33037	102100	2063	937	2632	3440	2840	1557	2544	2339	2662	2871	2199
70569	200	8	2	4	9	6	9	7	6	5	12	4
36454	38450	981	664	1149	892	1161	1062	1342	511	584	1070	780
20350	5650	205	232	204	250	221	153	209	225	187	277	252
53919	3750	43	82	44	55	43	50	20	41	32	40	48
39664	688000	6057	8461	5472	7939	11549	10226	7902	7594	9900	7620	9394
72819	25400	252	798	424	943	700	545	955	604	620	836	612
30795	1150	14	9	10	19	18	10	17	10	12	11	13
81928	8500	188	198	70	121	352	379	170	95	136	164	166
34834	22850	566	584	483	374	218	350	419	609	321	522	426
97242	8400	132	92	63	67	83	90	134	88	122	141	134
54603	44450	542	408	820	775	652	589	451	676	627	421	559
99684	6500	168	117	110	78	33	241	435	181	257	269	231
92717	18950	522	931	375	705	746	585	588	718	396	716	637
67477	145800	2455	4283	2100	1826	2376	5140	2746	2686	2779	4659	1698
61259	1400	31	51	63	28	34	44	41	25	42	49	68
100827	5450	308	202	252	134	348	151	227	327	178	313	187
14218	4700	75	77	41	66	121	80	67	74	52	40	23
96826	13500	139	405	138	124	454	267	238	143	175	155	195
39241	100	20	10	15	9	14	35	9	14	5	12	15
73996	1800	32	51	56	87	21	49	35	30	36	79	91
68777	3350	159	147	137	109	92	135	175	69	122	65	185
20693	87100	1333	801	964	1264	1097	1170	1117	747	822	918	995
44027	76500	1891	1397	1577	1186	1829	1789	1487	1830	1760	2429	1502
42249	550	9	9	9	11	21	2	8	10	6	7	2
48846	1500	44	27	24	34	34	14	47	35	33	24	32
85030	21400	777	627	747	738	816	629	737	716	513	427	631
76968	50	2	5	7	3	1	2	0	2	1	3	2
33973	1750	112	56	52	44	62	50	96	84	71	65	76
76127	5600	97	165	37	224	65	72	105	112	156	53	132
100539	159900	1261	2866	1770	2488	971	2631	1879	1892	1345	1247	3350
14886	28050	661	779	780	381	494	650	697	604	571	612	831
49370	4150	72	61	79	62	81	79	34	54	89	51	61
47610	5350	134	79	61	57	115	79	50	83	53	53	44
13822	3900	72	91	147	129	90	126	219	118	164	167	112
39895	122850	2011	4178	2784	2703	2888	12368	10749	5157	7458	5503	6720
47053	3250	91	116	32	21	28	103	67	58	79	75	81
21095	4200	75	60	135	101	51	48	109	83	81	31	71
15791	16900	272	266	247	330	324	425	433	279	398	283	387
57848	5250	190	121	127	91	134	67	140	97	107	136	232
51573	5150	88	109	80	180	71	198	122	132	146	83	118
96691	1100	17	7	23	21	16	14	11	11	23	11	19
48373	12500	187	155	109	131	84	287	331	148	67	121	132
42065	4750	71	80	51	71	28	62	40	38	48	82	58
53461	109350	1056	2042	1310	1856	1312	4758	2576	2723	3972	2864	3287
74934	59600	555	479	753	445	254	622	983	594	589	433	876
67053	10200	243	216	104	284	207	107	154	90	92	125	109
20507	29050	637	507	1077	494	599	1109	647	842	2174	656	671
59872	5200	110	98	117	89	71	50	85	54	97	150	128
94807	102850	1569	1018	1966	1090	961	1131	1456	2090	997	1072	1395
