gene_id	MCL1.DG	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
73760	255	90	153	179	127	121	105
84746	326	255	257	349	223	244	345
82643	100	91	69	89	70	109	93
28612	11	36	25	23	39	23	18
45691	39	29	29	91	55	79	28
97407	27	20	26	32	19	31	20
22086	284	180	425	516	276	469	257
52757	1774	2799	1624	2905	2472	3577	3334
100610	72	56	52	28	76	53	86
68322	56	27	58	62	40	43	45
36068	306	493	475	300	574	377	376
63125	317	469	344	212	269	371	306
25468	114	245	152	124	306	219	112
96615	16	23	12	23	24	27	33
37521	164	197	123	116	123	120	128
79423	434	501	299	694	506	328	598
72760	14	4	6	12	8	7	7
83224	73	63	76	70	60	53	72
33349	3	6	2	2	3	1	1
23827	13	13	12	7	15	14	13
87198	1	2	3	5	0	8	1
41775	107	118	83	107	94	64	152
98046	2	15	28	20	13	56	18
101106	120	318	204	285	152	285	187
45746	101	122	147	317	176	346	181
68806	95	156	240	184	241	215	335
88609	1	4	1	0	1	1	0
62444	66	42	78	38	52	85	34
13973	168	109	74	163	151	210	101
90810	191	270	159	131	141	216	157
87494	5	8	7	4	8	12	10
31364	101	102	50	79	36	70	116
11535	18	24	13	23	21	21	12
32003	39	14	39	36	31	25	32
48426	945	1627	1365	1312	1263	1193	1745
24955	48	33	31	26	44	23	43
69386	213	217	82	160	113	104	150
73719	656	1874	2573	1776	2082	997	3153
51615	62	65	46	33	88	33	49
66155	119	91	130	114	116	113	207
59469	157	153	104	208	187	87	178
94664	102	180	158	318	156	134	231
93880	12	10	13	13	11	8	15
49052	134	120	192	236	186	119	173
33037	2042	1557	2544	2339	2662	2871	2199
70569	4	9	7	6	5	12	4
36454	769	1062	1342	511	584	1070	780
20350	113	153	209	225	187	277	252
53919	75	50	20	41	32	40	48
39664	13760	10226	7902	7594	9900	7620	9394
72819	508	545	955	604	620	836	612
30795	23	10	17	10	12	11	13
81928	170	379	170	95	136	164	166
34834	457	350	419	609	321	522	426
97242	168	90	134	88	122	141	134
54603	889	589	451	676	627	421	559
99684	130	241	435	181	257	269	231
92717	379	585	588	718	396	716	637
67477	2916	5140	2746	2686	2779	4659	1698
61259	28	44	41	25	42	49	68
100827	109	151	227	327	178	313	187
14218	94	80	67	74	52	40	23
96826	270	267	238	143	175	155	195
39241	2	35	9	14	5	12	15
73996	36	49	35	30	36	79	91
68777	67	135	175	69	122	65	185
20693	1742	1170	1117	747	822	918	995
44027	1530	1789	1487	1830	1760	2429	1502
42249	11	2	8	10	6	7	2
48846	30	14	47	35	33	24	32
85030	428	629	737	716	513	427	631
76968	1	2	0	2	1	3	2
33973	35	50	96	84	71	65	76
76127	112	72	105	112	156	53	132
100539	3198	2631	1879	1892	1345	1247	3350
14886	561	650	697	604	571	612	831
49370	83	79	34	54	89	51	61
47610	107	79	50	83	53	53	44
13822	78	126	219	118	164	167	112
39895	2457	12368	10749	5157	7458	5503	6720
47053	65	103	67	58	79	75	81
21095	84	48	109	83	81	31	71
15791	338	425	433	279	398	283	387
57848	105	67	140	97	107	136	232
51573	103	198	122	132	146	83	118
96691	22	14	11	11	23	11	19
48373	250	287	331	148	67	121	132
42065	95	62	40	38	48	82	58
53461	2187	4758	2576	2723	3972	2864	3287
74934	1192	622	983	594	589	433	876
67053	204	107	154	90	92	125	109
20507	581	1109	647	842	2174	656	671
59872	104	50	85	54	97	150	128
94807	2057	1131	1456	2090	997	1072	1395
78298	105	190	78	130	117	79	162
101154	520	743	556	335	477	621	506
96385	17	31	31	24	13	16	10
35482	179	807	501	433	862	805	599
57127	1	3	3	6	6	3	11
56680	6	2	4	1	3	4	0
66296	97	61	48	90	82	72	69
78614	18	24	21	16	27	23	15
38589	240	334	195	302	311	263	317
17117	21102	20702	15787	8693	14044	13785	20359
97687	19	22	26	40	33	29	18
28913	37	24	40	54	24	32	87
15618	190	200	306	250	288	146	179
88352	540	948	1182	1442	1532	913	675
78417	111	139	112	123	73	113	63
74521	114	119	110	108	139	93	58
36052	480	793	950	513	888	424	863
52052	381	485	483	255	481	363	338
82199	14	11	17	10	14	12	20
65323	131	114	88	120	108	142	135
27631	100	114	237	161	233	116	49
17596	15	25	50	33	39	55	28
90543	185	361	551	506	401	503	621
19110	28	39	27	12	29	27	27
33762	1139	908	617	1077	1075	1036	513
62551	170	713	382	238	708	273	403
84961	150	198	212	180	161	248	199
55064	56	49	61	96	40	34	83
74092	144	55	144	164	156	174	69
44946	1	3	1	3	3	1	2
56014	26	22	22	13	17	13	22
83638	426	311	392	201	207	554	282
54651	5	2	4	2	4	2	3
39261	616	589	674	349	933	405	887
76026	5	6	2	0	4	2	4
68011	289	900	914	476	801	657	341
88380	16	30	29	32	16	35	21
22394	388	635	418	1148	533	708	594
64246	166	178	184	178	182	256	248
41214	11	12	4	10	10	9	7
57582	1727	1159	2741	1044	2064	2265	1811
97087	2999	2911	4723	2908	2781	4844	2394
70342	207	82	174	128	120	130	57
25515	100	79	149	114	96	96	100
73068	76	97	127	101	120	161	90
94677	18	41	14	18	26	19	27
30375	1490	1201	1483	1640	1472	1560	1148
12396	52	60	69	65	27	78	109
79390	165	172	150	137	165	107	132
58562	12	39	25	30	22	22	37
75582	25	24	37	52	58	31	51
72253	27	13	11	7	14	10	15
97199	1410	3232	4297	3580	3770	2793	3589
22954	76	130	137	153	162	92	107
39499	762	780	1490	2121	1592	973	1069
90184	166	109	122	118	133	283	90
55641	34	22	25	76	15	43	29
34048	69	41	50	123	56	103	39
84583	39	58	90	39	43	43	73
90308	92	278	234	545	573	270	462
50580	40	89	55	88	72	50	49
72931	145	93	90	139	107	88	104
77188	14	14	19	15	7	15	13
86907	19	45	26	25	31	25	14
59346	2977	7800	4263	5522	2812	5138	2948
28710	41	95	88	84	76	35	62
92871	11	39	21	15	26	30	17
63132	213	337	527	458	491	174	375
60216	2121	2074	3451	1549	1531	4660	3223
40576	9	11	6	2	12	3	9
96414	159	45	154	107	98	111	116
42999	35	131	42	85	94	76	70
45131	6	9	5	3	1	4	5
73029	583	1052	852	611	943	827	976
25229	123	160	96	174	153	149	198
76534	353	405	341	390	315	476	442
53856	28	22	29	49	24	19	28
19563	303	389	318	322	344	489	381
69927	30	63	54	50	86	48	43
