	MCL1.DG	MCL1.DH	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LA	MCL1.LB	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF
TP53	255	200	309	307	89	146	90	153	179	127	121	105
ACTB	326	142	357	421	224	379	255	257	349	223	244	345
GAPDH	100	32	61	107	83	133	91	69	89	70	109	93
MYC	11	21	23	42	39	22	36	25	23	39	23	18
BRCA1	39	54	83	47	79	62	29	29	91	55	79	28
EGFR	27	21	17	14	27	14	20	26	32	19	31	20
KRAS	284	101	270	223	128	215	180	425	516	276	469	257
PTEN	1774	2073	3047	2274	1998	2442	2799	1624	2905	2472	3577	3334
RB1	72	45	37	37	50	55	56	52	28	76	53	86
APC	56	40	38	49	42	36	27	58	62	40	43	45
CDH1	306	513	238	180	533	354	493	475	300	574	377	376
VHL	317	250	384	170	364	457	469	344	212	269	371	306
SMAD4	114	318	103	239	156	188	245	152	124	306	219	112
PIK3CA	16	22	31	34	35	26	23	12	23	24	27	33
BRAF	164	183	210	86	151	218	197	123	116	123	120	128
ALK	434	599	515	274	726	424	501	299	694	506	328	598
FGFR1	14	10	11	14	10	13	4	6	12	8	7	7
NRAS	73	89	43	74	67	60	63	76	70	60	53	72
IDH1	3	5	0	7	3	0	6	2	2	3	1	1
CDKN2A	13	7	13	12	7	29	13	12	7	15	14	13
MDM2	1	7	4	4	3	2	2	3	5	0	8	1
BCL2	107	158	94	85	136	69	118	83	107	94	64	152
VEGFA	2	20	17	8	6	17	15	28	20	13	56	18
FLT3	120	274	348	190	152	580	318	204	285	152	285	187
NPM1	101	158	97	197	246	154	122	147	317	176	346	181
DNMT3A	95	163	124	78	86	100	156	240	184	241	215	335
TET2	1	0	2	1	0	3	4	1	0	1	1	0
RUNX1	66	49	58	32	32	34	42	78	38	52	85	34
CEBPA	168	97	126	193	148	193	109	74	163	151	210	101
NF1	191	160	190	336	93	181	270	159	131	141	216	157
PTPN11	5	11	5	3	2	7	8	7	4	8	12	10
JAK2	101	36	59	26	42	54	102	50	79	36	70	116
STAT3	18	17	34	28	19	27	24	13	23	21	21	12
KIT	39	31	30	18	30	46	14	39	36	31	25	32
PDGFRA	945	1247	1307	741	2401	926	1627	1365	1312	1263	1193	1745
ABL1	48	49	50	28	49	38	33	31	26	44	23	43
BCR	213	152	125	94	77	87	217	82	160	113	104	150
PML	656	681	924	888	758	562	1874	2573	1776	2082	997	3153
RARA	62	57	27	49	68	76	65	46	33	88	33	49
NOTCH1	119	169	124	140	88	96	91	130	114	116	113	207
FBXW7	157	173	182	104	148	251	153	104	208	187	87	178
SF3B1	102	126	394	217	101	181	180	158	318	156	134	231
SRSF2	12	10	16	13	10	11	10	13	13	11	8	15
U2AF1	134	157	227	208	125	243	120	192	236	186	119	173
ASXL1	2042	2063	937	2632	3440	2840	1557	2544	2339	2662	2871	2199
EZH2	4	8	2	4	9	6	9	7	6	5	12	4
SUZ12	769	981	664	1149	892	1161	1062	1342	511	584	1070	780
KDM6A	113	205	232	204	250	221	153	209	225	187	277	252
ARID1A	75	43	82	44	55	43	50	20	41	32	40	48
CREBBP	13760	6057	8461	5472	7939	11549	10226	7902	7594	9900	7620	9394
72819	508	252	798	424	943	700	545	955	604	620	836	612
30795	23	14	9	10	19	18	10	17	10	12	11	13
81928	170	188	198	70	121	352	379	170	95	136	164	166
34834	457	566	584	483	374	218	350	419	609	321	522	426
97242	168	132	92	63	67	83	90	134	88	122	141	134
54603	889	542	408	820	775	652	589	451	676	627	421	559
99684	130	168	117	110	78	33	241	435	181	257	269	231
92717	379	522	931	375	705	746	585	588	718	396	716	637
67477	2916	2455	4283	2100	1826	2376	5140	2746	2686	2779	4659	1698
61259	28	31	51	63	28	34	44	41	25	42	49	68
100827	109	308	202	252	134	348	151	227	327	178	313	187
14218	94	75	77	41	66	121	80	67	74	52	40	23
96826	270	139	405	138	124	454	267	238	143	175	155	195
39241	2	20	10	15	9	14	35	9	14	5	12	15
73996	36	32	51	56	87	21	49	35	30	36	79	91
68777	67	159	147	137	109	92	135	175	69	122	65	185
20693	1742	1333	801	964	1264	1097	1170	1117	747	822	918	995
44027	1530	1891	1397	1577	1186	1829	1789	1487	1830	1760	2429	1502
42249	11	9	9	9	11	21	2	8	10	6	7	2
