gene_id	GSM2360001	GSM2360004	GSM2360005	GSM2360006
ENSMUSG00000029580	4273	6483	8454	6586
ENSMUSG00000057666	0	0	1	1
ENSMUSG00000060802	422	369	538	324
ENSMUSG00000025630	44	24	22	25
ENSMUSG00000020524	56	64	84	40
ENSMUSG00000021577	166	74	176	153
ENSMUSG00000027596	3	2	2	6
ENSMUSG00000069516	151	133	159	69
ENSMUSG00000028526	20	20	40	24
ENSMUSG00000071866	40635	38348	29893	81643
ENSMUSG00000155545	378	321	91	101
ENSMUSG00000194575	72	44	80	104
ENSMUSG00000117855	79	84	83	63
ENSMUSG00000108779	33	22	16	45
ENSMUSG00000115269	35	27	17	26
ENSMUSG00000199491	84	73	83	79
ENSMUSG00000157292	328	561	455	589
ENSMUSG00000160126	108	59	77	127
ENSMUSG00000188380	1445	627	1450	919
ENSMUSG00000173666	169	125	91	104
ENSMUSG00000164563	168	209	157	153
ENSMUSG00000108992	2418	1803	3498	3438
ENSMUSG00000194499	326	690	340	570
ENSMUSG00000147505	20	66	78	58
ENSMUSG00000153154	277	139	143	102
ENSMUSG00000118118	1049	536	899	501
ENSMUSG00000211738	3605	3751	6102	3348
ENSMUSG00000104300	118	80	78	44
ENSMUSG00000159443	86	58	65	198
ENSMUSG00000174659	1037	1048	1611	1462
ENSMUSG00000186128	30	32	32	25
ENSMUSG00000200513	118	61	104	33
ENSMUSG00000153447	697	667	1221	1576
ENSMUSG00000212202	610	501	407	461
ENSMUSG00000108203	96	199	155	128
ENSMUSG00000169626	779	503	480	492
ENSMUSG00000127015	0	1	1	1
ENSMUSG00000122345	1518	685	1554	1207
ENSMUSG00000219768	47	36	24	29
ENSMUSG00000138198	4	3	6	4
ENSMUSG00000113333	455	355	334	200
ENSMUSG00000162944	606	646	1032	606
ENSMUSG00000181969	59	79	87	124
ENSMUSG00000142290	8	20	16	16
ENSMUSG00000127066	90	124	81	116
ENSMUSG00000185872	338	112	65	122
ENSMUSG00000182781	1876	2458	2201	2591
ENSMUSG00000152909	956	406	492	1298
ENSMUSG00000146235	242	159	155	166
ENSMUSG00000190676	2423	1269	1943	1418
ENSMUSG00000168236	113	111	98	50
ENSMUSG00000111383	26	7	29	23
ENSMUSG00000188550	516	446	594	639
ENSMUSG00000110693	910	493	398	452
ENSMUSG00000120700	98	113	64	70
ENSMUSG00000161432	27	38	30	31
ENSMUSG00000111393	185	227	198	197
ENSMUSG00000189493	0	0	2	0
ENSMUSG00000203154	580	540	809	378
ENSMUSG00000216874	369	313	427	558
ENSMUSG00000215487	4	6	10	6
ENSMUSG00000182723	177	103	102	162
ENSMUSG00000210571	20	20	28	29
ENSMUSG00000217964	435	655	266	518
ENSMUSG00000109044	3	1	5	1
ENSMUSG00000186783	32	28	25	40
ENSMUSG00000123679	646	465	788	443
ENSMUSG00000143120	2303	1148	602	1402
ENSMUSG00000103475	0	1	0	0
ENSMUSG00000123994	33	44	79	35
ENSMUSG00000196772	208	195	394	231
ENSMUSG00000193098	52	41	52	22
ENSMUSG00000109483	5411	2648	2281	1978
ENSMUSG00000201757	11	12	10	14
ENSMUSG00000120505	325	169	369	174
ENSMUSG00000159648	15	7	24	16
ENSMUSG00000200328	2517	2511	3040	2123
ENSMUSG00000208676	212	152	91	159
ENSMUSG00000190639	44	85	78	49
ENSMUSG00000187647	9	4	7	7
ENSMUSG00000174491	4352	2734	7560	3525
ENSMUSG00000100737	286	573	960	1100
ENSMUSG00000201197	564	681	654	718
ENSMUSG00000201509	1188	1255	1006	2697
ENSMUSG00000126506	251	249	275	353
ENSMUSG00000138709	34	48	27	28
ENSMUSG00000205945	61	24	32	21
ENSMUSG00000119826	18	28	34	32
ENSMUSG00000150943	2570	2309	3670	2544
ENSMUSG00000105695	12	4	8	12
ENSMUSG00000106370	25	57	36	46
ENSMUSG00000103624	104	63	49	84
ENSMUSG00000120715	123	78	341	245
ENSMUSG00000192468	311	593	217	475
ENSMUSG00000195358	26	14	10	11
ENSMUSG00000187532	5	5	4	3
ENSMUSG00000142663	91	151	204	196
ENSMUSG00000109126	1124	1858	1717	1168
ENSMUSG00000185201	429	823	529	512
ENSMUSG00000209948	134	401	221	326
ENSMUSG00000212874	227	82	31	85
ENSMUSG00000150083	216	494	279	223
ENSMUSG00000157121	78	144	104	65
ENSMUSG00000203462	495	696	1134	1051
ENSMUSG00000113128	24	25	13	24
ENSMUSG00000188012	123	150	160	270
ENSMUSG00000142197	56	52	96	134
ENSMUSG00000155785	989	335	356	590
ENSMUSG00000184436	323	205	122	215
ENSMUSG00000184555	10450	29742	17820	22825
ENSMUSG00000149797	2898	2755	3170	3018
ENSMUSG00000167726	1373	3794	2988	2438
ENSMUSG00000143690	3	3	1	0
ENSMUSG00000118709	76	82	154	53
ENSMUSG00000132281	43	32	25	60
ENSMUSG00000200999	521	374	441	321
ENSMUSG00000139634	3	0	0	0
ENSMUSG00000136460	1340	1018	2223	2038
ENSMUSG00000146948	1536	1161	1394	1225
ENSMUSG00000140911	7	9	9	15
ENSMUSG00000165894	15	16	22	4
ENSMUSG00000215328	33	36	46	23
ENSMUSG00000132129	243	133	119	150
ENSMUSG00000129618	1108	508	563	743
ENSMUSG00000120504	11857	6945	15223	7067
ENSMUSG00000183097	249	88	97	108
ENSMUSG00000145520	892	612	850	469
ENSMUSG00000158135	226	186	352	206
ENSMUSG00000120158	3211	4964	6213	8783
ENSMUSG00000128869	578	518	735	427
ENSMUSG00000119574	2864	1558	1824	4305
ENSMUSG00000120136	12	27	12	16
ENSMUSG00000156610	185	133	85	129
ENSMUSG00000192004	19	22	12	29
ENSMUSG00000207794	3372	2982	2408	1891
ENSMUSG00000201301	446	890	302	588
ENSMUSG00000174277	109	115	146	81
ENSMUSG00000215388	76	58	43	58
ENSMUSG00000145393	246	337	403	448
ENSMUSG00000127754	49	69	24	42
ENSMUSG00000169852	49	20	26	22
ENSMUSG00000119505	462	290	337	512
ENSMUSG00000168742	26057	17818	29096	29078
ENSMUSG00000104918	302	79	72	123
ENSMUSG00000205827	31	26	94	61
ENSMUSG00000113339	12	17	14	19
ENSMUSG00000183354	5	9	21	4
ENSMUSG00000194091	656	434	462	474
ENSMUSG00000146705	501	1083	369	611
ENSMUSG00000126448	103	212	226	176
ENSMUSG00000175175	193	271	431	346
ENSMUSG00000212428	176	166	124	322
ENSMUSG00000122285	289	269	204	252
ENSMUSG00000161482	6	6	8	6
ENSMUSG00000169632	45	73	76	113
ENSMUSG00000198674	141	173	212	253
ENSMUSG00000115300	38	23	34	47
ENSMUSG00000169721	45	43	54	43
ENSMUSG00000213618	39	18	41	27
ENSMUSG00000114196	46	52	100	91
ENSMUSG00000152013	733	829	661	981
ENSMUSG00000189494	105	139	134	68
ENSMUSG00000141562	149	114	40	75
ENSMUSG00000179500	611	455	893	671
ENSMUSG00000140760	415	727	397	692
ENSMUSG00000136515	3016	5939	4636	2769
ENSMUSG00000125815	7	1	1	4
ENSMUSG00000218826	496	511	907	516
ENSMUSG00000168813	42	51	57	70
ENSMUSG00000132630	250	264	185	169
ENSMUSG00000197549	756	658	1174	1159
ENSMUSG00000126164	1554	1235	2037	1061
ENSMUSG00000212626	962	1559	1633	1474
ENSMUSG00000198653	189	187	158	265
ENSMUSG00000131645	2932	2207	6811	3827
ENSMUSG00000120237	73	74	139	48
ENSMUSG00000168468	127	151	136	157
ENSMUSG00000162101	459	532	662	546
ENSMUSG00000121749	54	31	45	73
ENSMUSG00000129554	6772	20432	17254	12918
ENSMUSG00000114517	1928	1413	1121	839
ENSMUSG00000156447	11102	14598	12148	9993
ENSMUSG00000140883	175	137	276	60
ENSMUSG00000146479	55	93	54	56
ENSMUSG00000163669	105	138	178	137
ENSMUSG00000117028	749	671	829	623
ENSMUSG00000191431	36	29	72	21
ENSMUSG00000188511	395	349	429	389
ENSMUSG00000158581	209	114	131	101
ENSMUSG00000125372	3426	3819	2440	5109
ENSMUSG00000153546	38	65	47	43
ENSMUSG00000188024	1194	959	1121	1197
ENSMUSG00000195978	36	49	22	40
ENSMUSG00000139186	17	18	17	21
ENSMUSG00000208572	26	25	58	54
ENSMUSG00000124600	14	7	12	6
ENSMUSG00000156502	293	260	181	147
ENSMUSG00000158648	1484	1373	929	1479
ENSMUSG00000198857	213	159	217	179
ENSMUSG00000173482	483	520	456	678
ENSMUSG00000149758	3942	3542	6164	1832
ENSMUSG00000203345	610	215	223	287
ENSMUSG00000124351	306	224	222	226
ENSMUSG00000168507	99	70	79	45
ENSMUSG00000150747	6	4	1	7
ENSMUSG00000178652	1935	643	929	621
ENSMUSG00000153944	5	2	7	6
ENSMUSG00000198129	1709	642	541	290
ENSMUSG00000199890	96	199	114	110
ENSMUSG00000194023	2567	1194	1678	1148
ENSMUSG00000197038	134	158	188	309
ENSMUSG00000215627	43	21	30	17
ENSMUSG00000102765	389	309	223	470
ENSMUSG00000169148	55	30	35	48
ENSMUSG00000164532	82	73	165	132
ENSMUSG00000167046	192	160	163	249
ENSMUSG00000192732	108	123	119	96
ENSMUSG00000103167	91	64	99	92
ENSMUSG00000210855	20	29	30	35
ENSMUSG00000132189	112	60	73	181
ENSMUSG00000144093	1	5	1	0
ENSMUSG00000172392	59	96	82	115
ENSMUSG00000110960	21	17	14	14
ENSMUSG00000101038	913	1930	1237	1080
ENSMUSG00000215817	1856	582	2413	1424
ENSMUSG00000169505	6	0	5	4
ENSMUSG00000211474	168	192	169	194
ENSMUSG00000116319	107	58	119	196
ENSMUSG00000126062	26	22	23	22
ENSMUSG00000104921	589	554	350	207
ENSMUSG00000110685	33	63	58	85
ENSMUSG00000203600	11	9	1	2
ENSMUSG00000111479	63	82	101	95
ENSMUSG00000193144	51	113	100	203
ENSMUSG00000201996	194	266	205	191
ENSMUSG00000100721	18	10	14	11
ENSMUSG00000196288	522	456	257	792
ENSMUSG00000134083	581	673	591	739
ENSMUSG00000138879	10	20	30	33
ENSMUSG00000185957	134	37	36	37
ENSMUSG00000219800	106	196	109	115
ENSMUSG00000169456	37	30	36	36
ENSMUSG00000135760	4104	5421	3197	6775
ENSMUSG00000190646	134	360	197	261
ENSMUSG00000141742	32	19	19	27
ENSMUSG00000160755	33	24	6	49
ENSMUSG00000119975	154	161	152	208
ENSMUSG00000107940	9771	13880	11520	5453
ENSMUSG00000170725	95	108	195	104
ENSMUSG00000120347	707	168	152	291
ENSMUSG00000171888	303	593	406	373
ENSMUSG00000136279	209	133	129	134
ENSMUSG00000176855	22524	10714	14592	18316
ENSMUSG00000182464	73	50	38	56
ENSMUSG00000179871	542	527	560	823
ENSMUSG00000143588	230	175	294	115
ENSMUSG00000128190	704	441	516	700
ENSMUSG00000210135	18	22	8	12
ENSMUSG00000144060	4600	5610	2726	5269
ENSMUSG00000136463	222	115	216	93
ENSMUSG00000178474	107	175	200	170
ENSMUSG00000148582	19	33	15	43
ENSMUSG00000207743	39	29	26	44
ENSMUSG00000191127	736	382	582	341
ENSMUSG00000173944	852	578	779	772
ENSMUSG00000113514	1030	1113	578	558
ENSMUSG00000111519	694	2954	1574	1839
ENSMUSG00000120856	428	540	739	361
ENSMUSG00000169037	171	265	159	78
ENSMUSG00000218813	450	323	607	909
ENSMUSG00000150715	596	262	529	450
ENSMUSG00000157135	197	154	154	77
ENSMUSG00000190422	837	1206	712	953
ENSMUSG00000143792	1286	2771	1480	2578
ENSMUSG00000212487	168	266	204	363
ENSMUSG00000198962	57	49	58	59
ENSMUSG00000168872	658	791	556	512
ENSMUSG00000189414	4601	8763	6090	9860
ENSMUSG00000187714	72	106	55	143
ENSMUSG00000154325	139	152	147	173
ENSMUSG00000144840	101	165	95	73
ENSMUSG00000193122	1488	1603	2233	2452
ENSMUSG00000125631	3	3	7	7
ENSMUSG00000214379	284	379	268	310
ENSMUSG00000215861	1329	2286	1294	1183
ENSMUSG00000124950	25	39	29	42
ENSMUSG00000108777	3515	2260	3619	2321
ENSMUSG00000179557	646	546	465	249
ENSMUSG00000210713	79	66	55	58
ENSMUSG00000166936	307	352	229	195
ENSMUSG00000110186	5	4	10	3
ENSMUSG00000122045	45	42	69	42
ENSMUSG00000145295	5165	6301	3074	3255
ENSMUSG00000212486	47	34	18	32
ENSMUSG00000117280	4827	6224	5846	4576
ENSMUSG00000138137	113	193	120	161
ENSMUSG00000152736	1682	895	1024	1333
ENSMUSG00000106745	153	440	104	134
ENSMUSG00000160145	0	1	4	1
ENSMUSG00000156718	33	31	17	49
ENSMUSG00000155243	426	102	186	198
ENSMUSG00000164693	14	17	9	15
ENSMUSG00000154839	18	8	11	10
ENSMUSG00000128562	396	327	285	221
ENSMUSG00000160998	38	37	49	36
ENSMUSG00000216493	12	2	5	4
ENSMUSG00000125918	20	25	34	44
ENSMUSG00000129761	673	832	549	1533
ENSMUSG00000202961	68	30	47	37
ENSMUSG00000167256	1069	777	1366	1474
ENSMUSG00000153217	2553	3079	7890	2324
ENSMUSG00000120680	181	149	202	179
ENSMUSG00000105914	8	27	22	13
ENSMUSG00000158008	15	7	13	27
ENSMUSG00000207154	130	53	123	172
ENSMUSG00000103627	553	1079	781	1151
ENSMUSG00000154743	171	226	219	259
ENSMUSG00000198436	482	674	437	346
ENSMUSG00000119173	45	24	93	38
ENSMUSG00000119111	278	256	322	221
ENSMUSG00000128873	48	30	59	64
ENSMUSG00000139656	121	80	91	82
ENSMUSG00000185556	7	11	11	19
ENSMUSG00000104694	4	5	6	10
ENSMUSG00000209294	58	68	65	45
ENSMUSG00000212371	15	21	24	11
ENSMUSG00000180888	21	17	6	22
ENSMUSG00000181193	461	486	563	587
ENSMUSG00000114357	86	110	89	174
ENSMUSG00000179576	46462	56894	38144	44303
ENSMUSG00000203230	577	1567	747	602
ENSMUSG00000118071	59	45	70	34
ENSMUSG00000217072	1352	877	599	678
ENSMUSG00000188847	234	290	420	249
ENSMUSG00000122118	95	33	16	36
ENSMUSG00000175922	1574	1202	1074	805
ENSMUSG00000157772	53	44	13	46
ENSMUSG00000200996	1	0	1	2
ENSMUSG00000198844	889	1022	583	820
ENSMUSG00000193343	38	10	35	42
ENSMUSG00000193136	4437	1959	4281	2002
ENSMUSG00000138665	76	47	55	34
ENSMUSG00000123199	16	14	10	26
ENSMUSG00000126768	3809	3942	2027	3227
ENSMUSG00000169975	19	25	29	17
ENSMUSG00000160792	232	277	394	204
ENSMUSG00000143880	2942	1671	2393	2009
ENSMUSG00000119817	195	234	247	249
ENSMUSG00000117904	86	82	134	129
ENSMUSG00000198699	246	139	246	229
ENSMUSG00000158108	436	569	934	1028
ENSMUSG00000100444	32	24	29	34
ENSMUSG00000143339	447	222	236	304
ENSMUSG00000123895	546	367	434	499
ENSMUSG00000149479	11946	12340	14552	24170
ENSMUSG00000163817	61	64	81	48
ENSMUSG00000165476	34	36	24	12
ENSMUSG00000217659	914	850	602	654
ENSMUSG00000157742	49	77	38	44
ENSMUSG00000158444	385	194	210	234
ENSMUSG00000130041	166	246	201	105
ENSMUSG00000198477	2037	1475	1794	1759
ENSMUSG00000193223	59	43	42	28
ENSMUSG00000211298	197	64	101	186
ENSMUSG00000167637	2	1	1	1
ENSMUSG00000198837	27	22	41	41
ENSMUSG00000136350	3267	2790	3876	3449
ENSMUSG00000135138	22	61	46	63
ENSMUSG00000155440	58	28	27	20
ENSMUSG00000118409	10	13	19	8
ENSMUSG00000187021	386	315	517	419
ENSMUSG00000121171	272	304	159	128
ENSMUSG00000152302	18	8	23	5
ENSMUSG00000118839	828	658	697	378
ENSMUSG00000167782	191	340	169	325
ENSMUSG00000179795	903	601	640	546
ENSMUSG00000156517	42	41	43	18
ENSMUSG00000149931	4324	2766	4368	5518
ENSMUSG00000142792	315	136	420	264
ENSMUSG00000157901	53	102	111	56
ENSMUSG00000183264	39	44	82	52
ENSMUSG00000181482	143	33	68	119
ENSMUSG00000156676	749	722	352	1086
ENSMUSG00000211562	85	95	52	99
ENSMUSG00000130026	2383	1559	568	859
ENSMUSG00000206063	330	246	667	440
ENSMUSG00000204680	5272	3049	2855	2381
ENSMUSG00000150355	544	590	1170	713
ENSMUSG00000198362	87	134	186	114
ENSMUSG00000158326	8	5	1	3
ENSMUSG00000154848	331	238	285	235
ENSMUSG00000107265	628	765	391	1272
ENSMUSG00000209051	298	99	164	189
ENSMUSG00000144682	453	388	478	423
ENSMUSG00000202035	64	58	61	74
ENSMUSG00000142317	38	68	71	58
ENSMUSG00000101354	50	24	28	14
ENSMUSG00000103263	1147	1872	2381	2337
ENSMUSG00000143525	300	172	230	146
ENSMUSG00000178431	31	49	72	63
ENSMUSG00000112979	13	4	15	10
ENSMUSG00000210985	43	159	105	157
ENSMUSG00000100466	3523	3280	3057	3116
ENSMUSG00000157487	454	448	422	376
ENSMUSG00000177804	14	32	41	35
ENSMUSG00000208794	2334	2713	2367	1620
ENSMUSG00000109415	1612	2263	1530	2840
ENSMUSG00000145282	672	994	694	1519
ENSMUSG00000211783	494	867	246	1037
ENSMUSG00000188541	1984	2159	2634	1046
ENSMUSG00000153410	347	435	384	409
ENSMUSG00000184422	867	709	944	532
ENSMUSG00000198804	15	29	39	22
ENSMUSG00000168565	2025	2585	3818	2635
ENSMUSG00000172127	241	197	187	271
ENSMUSG00000213548	10510	14758	16005	9086
ENSMUSG00000173652	1	2	2	1
ENSMUSG00000157896	500	799	605	494
ENSMUSG00000138019	946	967	1013	589
ENSMUSG00000187663	101	62	68	93
ENSMUSG00000101051	463	341	586	468
ENSMUSG00000209149	611	601	845	932
ENSMUSG00000105955	1213	634	356	452
ENSMUSG00000119432	37	51	63	51
ENSMUSG00000108235	68	115	103	132
ENSMUSG00000201862	1141	834	789	1631
ENSMUSG00000209028	2484	1785	1643	1584
ENSMUSG00000154127	226	94	200	97
ENSMUSG00000159919	228	222	170	64
ENSMUSG00000150455	148	258	190	328
ENSMUSG00000152323	843	1370	1141	1821
ENSMUSG00000208909	14	24	20	25
ENSMUSG00000156508	7	10	9	19
ENSMUSG00000145507	178	151	157	266
ENSMUSG00000143847	18	20	12	16
ENSMUSG00000183467	94	33	50	55
ENSMUSG00000199042	197	278	224	222
ENSMUSG00000195675	652	281	361	316
ENSMUSG00000214846	16	10	13	22
ENSMUSG00000169468	450	1087	578	1326
ENSMUSG00000205018	7	12	5	4
ENSMUSG00000113401	484	425	452	457
ENSMUSG00000150330	1	8	10	6
ENSMUSG00000102091	12	2	11	19
ENSMUSG00000136884	456	548	624	497
ENSMUSG00000179458	163	61	73	52
ENSMUSG00000118107	67	47	28	36
