gene_id	GSM2360001	GSM2360002	GSM2360003	GSM2360004	GSM2360005	GSM2360006
ENSMUSG00000029580	4273	13454	10576	6483	8454	6586
ENSMUSG00000057666	0	1	1	0	1	1
ENSMUSG00000060802	422	357	269	369	538	324
ENSMUSG00000025630	44	38	44	24	22	25
ENSMUSG00000020524	56	30	68	64	84	40
ENSMUSG00000021577	166	120	177	74	176	153
ENSMUSG00000027596	3	3	2	2	2	6
ENSMUSG00000069516	151	134	111	133	159	69
ENSMUSG00000028526	20	30	36	20	40	24
ENSMUSG00000071866	40635	45914	64731	38348	29893	81643
ENSMUSG00000155545	378	401	407	321	91	101
ENSMUSG00000194575	72	50	81	44	80	104
ENSMUSG00000117855	79	61	41	84	83	63
ENSMUSG00000108779	33	49	35	22	16	45
ENSMUSG00000115269	35	28	31	27	17	26
ENSMUSG00000199491	84	54	143	73	83	79
ENSMUSG00000157292	328	291	328	561	455	589
ENSMUSG00000160126	108	91	158	59	77	127
ENSMUSG00000188380	1445	710	1043	627	1450	919
ENSMUSG00000173666	169	88	55	125	91	104
ENSMUSG00000164563	168	174	121	209	157	153
ENSMUSG00000108992	2418	5500	3213	1803	3498	3438
ENSMUSG00000194499	326	526	466	690	340	570
ENSMUSG00000147505	20	32	39	66	78	58
ENSMUSG00000153154	277	180	137	139	143	102
ENSMUSG00000118118	1049	826	1343	536	899	501
ENSMUSG00000211738	3605	9199	9747	3751	6102	3348
ENSMUSG00000104300	118	106	107	80	78	44
ENSMUSG00000159443	86	59	129	58	65	198
ENSMUSG00000174659	1037	1377	998	1048	1611	1462
ENSMUSG00000186128	30	27	20	32	32	25
ENSMUSG00000200513	118	39	81	61	104	33
ENSMUSG00000153447	697	875	855	667	1221	1576
ENSMUSG00000212202	610	715	489	501	407	461
ENSMUSG00000108203	96	159	95	199	155	128
ENSMUSG00000169626	779	658	725	503	480	492
ENSMUSG00000127015	0	1	1	1	1	1
ENSMUSG00000122345	1518	767	655	685	1554	1207
ENSMUSG00000219768	47	49	34	36	24	29
ENSMUSG00000138198	4	5	3	3	6	4
ENSMUSG00000113333	455	775	696	355	334	200
ENSMUSG00000162944	606	639	521	646	1032	606
ENSMUSG00000181969	59	37	86	79	87	124
ENSMUSG00000142290	8	20	24	20	16	16
ENSMUSG00000127066	90	95	65	124	81	116
ENSMUSG00000185872	338	503	231	112	65	122
ENSMUSG00000182781	1876	2819	2706	2458	2201	2591
ENSMUSG00000152909	956	784	691	406	492	1298
ENSMUSG00000146235	242	223	150	159	155	166
ENSMUSG00000190676	2423	3466	2852	1269	1943	1418
ENSMUSG00000168236	113	90	99	111	98	50
ENSMUSG00000111383	26	32	17	7	29	23
ENSMUSG00000188550	516	608	261	446	594	639
