gene_id	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000075624	3500	28	33	17	61	40	53	51	21	30	48	45
ENSG00000111640	4400	104	165	132	109	54	91	98	116	176	142	260
ENSG00000166710	154000	4495	6763	3830	3455	7493	5717	3582	3917	4770	4908	4792
ENSG00000165704	40450	400	660	477	433	477	753	643	906	1099	445	480
ENSG00000256269	350	10	10	6	1	2	4	5	6	5	7	0
ENSG00000073578	11050	165	166	122	143	183	161	206	147	263	103	93
ENSG00000112592	2050	59	39	77	63	26	64	74	32	44	41	56
ENSG00000089157	9400	276	204	288	106	158	321	98	240	207	203	184
ENSG00000164924	300	8	4	17	8	9	5	7	6	5	9	0
ENSG00000196262	10500	230	251	182	369	229	253	168	250	226	182	211
ENSG00000104391	13000	244	91	191	200	284	151	261	271	230	417	216
ENSG00000233195	185850	2863	3306	2754	6785	9150	18266	21208	13485	10771	9477	6020
ENSG00000124689	20950	243	320	229	214	449	233	301	284	578	194	325
ENSG00000144589	22400	348	652	447	292	385	501	261	415	392	354	240
ENSG00000146062	200	5	13	6	11	16	8	2	7	8	6	3
ENSG00000183643	609750	19104	13447	14626	9573	7650	12941	7363	13532	21064	12531	12823
ENSG00000162227	250	5	1	5	6	1	3	5	1	1	3	2
ENSG00000108066	85350	1416	2192	2165	3901	6164	3165	7987	3695	3033	2431	4001
ENSG00000163830	2950	59	52	73	63	54	101	35	52	43	91	62
ENSG00000194465	1400	34	27	30	38	45	29	25	16	26	24	25
ENSG00000241656	2450	21	32	51	43	28	36	24	44	37	44	81
ENSG00000177147	1900	11	32	29	44	37	40	57	54	65	40	52
ENSG00000224632	18250	427	391	200	147	267	295	413	403	374	283	460
ENSG00000138503	7250	171	239	69	121	188	115	112	140	103	99	131
ENSG00000149856	153850	2755	2276	3691	4040	4885	2389	3728	2776	4392	2795	3854
ENSG00000100883	300	4	7	4	5	5	1	3	6	3	11	0
ENSG00000214608	6400	125	191	93	302	131	183	211	174	124	148	152
ENSG00000108969	2450	48	38	28	62	26	35	17	16	26	39	20
ENSG00000222661	24950	411	793	475	888	675	763	806	667	411	482	501
ENSG00000224972	400	1	2	7	2	2	3	2	6	5	1	3
ENSG00000137059	4350	77	60	53	68	37	57	70	97	46	83	47
ENSG00000237222	12500	148	128	259	281	277	196	219	135	132	210	100
ENSG00000151769	450	7	10	10	6	9	8	16	8	10	14	3
ENSG00000156457	48550	1096	1470	2069	975	842	1031	923	1411	1142	1818	822
ENSG00000108211	7550	201	235	137	345	220	362	229	233	263	288	195
ENSG00000193701	33100	1018	1241	1233	1634	1007	1570	1661	873	1002	1821	1353
ENSG00000225953	31350	1070	1162	1843	1092	1462	1012	1036	540	1480	908	982
ENSG00000189363	350	27	7	24	12	30	37	16	38	20	23	9
ENSG00000117874	950	26	48	24	92	155	157	195	70	66	57	39
ENSG00000227212	3100	136	120	82	178	82	118	85	106	73	94	123
ENSG00000108726	23850	699	718	548	647	752	655	658	951	437	393	617
ENSG00000243152	31600	852	1549	784	919	630	604	709	498	977	984	527
ENSG00000115606	2250	39	14	71	30	34	36	38	64	31	44	50
ENSG00000203499	2150	68	33	49	166	165	170	208	101	155	86	101
ENSG00000183373	1100	17	33	17	30	34	22	61	35	25	25	31
ENSG00000183129	2700	45	70	60	48	62	54	60	56	43	35	34
ENSG00000217893	9500	120	83	104	647	421	500	440	248	183	230	178
ENSG00000110502	6050	205	78	99	98	166	109	92	98	160	181	102
