	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000075624	70	28	33	17	61	40	53	51	21	30	48	45
ENSG00000111640	88	104	165	132	109	54	91	98	116	176	142	260
ENSG00000166710	3080	4495	6763	3830	3455	7493	5717	3582	3917	4770	4908	4792
ENSG00000165704	809	400	660	477	433	477	753	643	906	1099	445	480
ENSG00000256269	7	10	10	6	1	2	4	5	6	5	7	0
ENSG00000073578	221	165	166	122	143	183	161	206	147	263	103	93
ENSG00000112592	41	59	39	77	63	26	64	74	32	44	41	56
ENSG00000089157	188	276	204	288	106	158	321	98	240	207	203	184
ENSG00000164924	6	8	4	17	8	9	5	7	6	5	9	0
ENSG00000196262	210	230	251	182	369	229	253	168	250	226	182	211
TP53	260	244	91	191	200	284	151	261	271	230	417	216
ACTB	3717	2863	3306	2754	6785	9150	18266	21208	13485	10771	9477	6020
GAPDH	419	243	320	229	214	449	233	301	284	578	194	325
MYC	448	348	652	447	292	385	501	261	415	392	354	240
BRCA1	4	5	13	6	11	16	8	2	7	8	6	3
EGFR	12195	19104	13447	14626	9573	7650	12941	7363	13532	21064	12531	12823
KRAS	5	5	1	5	6	1	3	5	1	1	3	2
PTEN	1707	1416	2192	2165	3901	6164	3165	7987	3695	3033	2431	4001
RB1	59	59	52	73	63	54	101	35	52	43	91	62
APC	28	34	27	30	38	45	29	25	16	26	24	25
CDH1	49	21	32	51	43	28	36	24	44	37	44	81
VHL	38	11	32	29	44	37	40	57	54	65	40	52
SMAD4	365	427	391	200	147	267	295	413	403	374	283	460
PIK3CA	145	171	239	69	121	188	115	112	140	103	99	131
BRAF	3077	2755	2276	3691	4040	4885	2389	3728	2776	4392	2795	3854
ALK	6	4	7	4	5	5	1	3	6	3	11	0
FGFR1	128	125	191	93	302	131	183	211	174	124	148	152
NRAS	49	48	38	28	62	26	35	17	16	26	39	20
IDH1	499	411	793	475	888	675	763	806	667	411	482	501
CDKN2A	8	1	2	7	2	2	3	2	6	5	1	3
MDM2	87	77	60	53	68	37	57	70	97	46	83	47
BCL2	250	148	128	259	281	277	196	219	135	132	210	100
VEGFA	9	7	10	10	6	9	8	16	8	10	14	3
FLT3	971	1096	1470	2069	975	842	1031	923	1411	1142	1818	822
NPM1	151	201	235	137	345	220	362	229	233	263	288	195
DNMT3A	662	1018	1241	1233	1634	1007	1570	1661	873	1002	1821	1353
TET2	627	1070	1162	1843	1092	1462	1012	1036	540	1480	908	982
RUNX1	7	27	7	24	12	30	37	16	38	20	23	9
CEBPA	19	26	48	24	92	155	157	195	70	66	57	39
NF1	62	136	120	82	178	82	118	85	106	73	94	123
PTPN11	477	699	718	548	647	752	655	658	951	437	393	617
JAK2	632	852	1549	784	919	630	604	709	498	977	984	527
STAT3	45	39	14	71	30	34	36	38	64	31	44	50
KIT	43	68	33	49	166	165	170	208	101	155	86	101
PDGFRA	22	17	33	17	30	34	22	61	35	25	25	31
ABL1	54	45	70	60	48	62	54	60	56	43	35	34
BCR	190	120	83	104	647	421	500	440	248	183	230	178
PML	121	205	78	99	98	166	109	92	98	160	181	102
RARA	10196	11921	9466	12239	9815	7302	9164	10199	10893	13148	8477	9529
NOTCH1	33	42	42	25	70	68	73	43	45	73	74	48
FBXW7	77	61	84	100	71	72	110	87	81	100	97	62
SF3B1	361	268	375	976	225	168	246	365	874	325	289	337
SRSF2	35	36	36	19	48	19	11	9	25	23	13	43
U2AF1	43	74	80	72	54	48	67	65	71	44	118	99
ASXL1	158	145	202	119	164	157	158	135	369	70	233	108
EZH2	645	572	779	1074	666	664	785	872	1171	548	1112	782
SUZ12	17	6	13	11	8	22	6	9	24	13	13	18
KDM6A	2933	3022	3664	2015	1865	1740	1962	1896	3531	1311	3107	1508
ARID1A	68	63	75	65	43	54	79	73	62	75	99	82
CREBBP	202	180	209	390	167	204	280	190	176	231	238	334
ENSG00000243849	1537	1361	783	794	853	548	1273	828	1027	1156	935	1350
ENSG00000135537	632	532	730	879	541	795	595	672	922	1001	568	484
ENSG00000116602	1193	1966	1967	1705	1090	894	2181	786	1846	1381	1408	1320
ENSG00000249042	262	199	134	176	205	204	223	185	235	176	161	120
ENSG00000153143	225	142	167	157	114	126	231	153	114	163	132	64
ENSG00000108048	415	300	216	257	222	140	295	361	347	241	422	299
ENSG00000197737	16	18	35	31	28	24	33	12	23	22	21	20
ENSG00000243956	1294	1798	1695	1596	1219	2766	1450	1330	2114	1778	2608	1306
ENSG00000199172	39	34	23	34	37	60	30	55	15	29	32	35
ENSG00000188457	16	10	2	18	41	24	27	34	29	35	27	39
ENSG00000223169	5640	7120	6300	17744	12239	15183	13198	9196	8936	9207	10521	11325
ENSG00000173601	129	122	105	171	243	177	59	94	118	86	131	167
ENSG00000177361	19	14	15	16	23	13	24	13	19	7	6	16
ENSG00000211408	6659	7800	4189	8164	5142	7490	8854	7886	8802	11279	8118	6462
ENSG00000111041	49	77	64	73	73	74	82	94	119	82	78	97
ENSG00000223407	1378	1065	1004	2005	1348	450	2056	916	1124	1225	1058	1601
ENSG00000214692	29	34	26	42	41	19	56	37	28	50	40	20
ENSG00000204310	106	95	102	114	97	58	38	104	76	68	36	81
ENSG00000228103	5	7	7	3	19	9	35	26	8	14	13	12
ENSG00000122398	5	5	6	2	5	5	0	1	8	0	4	1
ENSG00000215136	24	14	21	20	30	25	32	11	23	15	18	16
ENSG00000222555	135	149	160	215	161	67	126	113	103	160	176	141
ENSG00000124174	397	633	1041	559	411	704	730	858	622	926	1101	840
ENSG00000226949	34551	23339	18169	19069	35561	14295	22093	15697	26522	20936	16232	17067
ENSG00000187583	30	11	22	8	12	12	13	24	20	27	19	16
ENSG00000123963	762	1088	1188	1546	942	1341	951	1319	1013	1230	1502	1265
ENSG00000175116	85	37	32	54	40	29	33	45	26	35	25	23
ENSG00000238608	112	108	188	106	145	121	127	124	134	112	72	93
ENSG00000198566	12	5	8	4	9	11	7	7	6	13	16	9
ENSG00000117052	8	13	7	8	5	8	12	3	8	9	10	10
ENSG00000146536	33	34	45	44	15	38	31	22	45	26	48	31
ENSG00000222463	11	23	17	11	22	19	19	22	10	23	15	12
ENSG00000120062	219	177	197	168	121	129	184	194	174	161	172	181
ENSG00000216355	74	21	36	45	57	35	63	54	44	25	49	44
ENSG00000155393	1859	2126	2278	1546	8030	6742	5452	5691	2133	4706	3314	4511
ENSG00000172904	62	177	245	197	172	153	241	279	111	386	175	266
ENSG00000246645	236	363	174	250	320	214	303	386	349	193	247	154
ENSG00000125276	992	1202	821	570	2518	1695	979	1713	1269	1985	1114	1428
ENSG00000144046	378	358	462	546	392	586	437	383	408	765	410	466
ENSG00000138029	137	147	166	196	194	124	149	92	141	162	150	85
ENSG00000140258	85	204	174	46	43	138	237	137	124	74	134	167
ENSG00000219271	86	170	139	158	116	102	43	136	174	74	56	122
ENSG00000147955	898	913	1845	1412	2065	2209	1062	1070	1136	597	1097	932
ENSG00000203500	927	504	389	432	565	1276	1174	900	548	702	731	716
ENSG00000170820	433	317	284	321	293	464	286	112	420	161	398	170
ENSG00000128582	663	837	652	1046	415	410	1018	1000	445	946	668	981
ENSG00000120263	63	62	64	47	76	46	51	54	72	60	49	27
ENSG00000184191	458	436	297	519	387	719	257	356	363	424	384	350
ENSG00000221734	13	9	16	3	11	13	3	13	19	14	6	7
ENSG00000211809	3752	3528	902	2181	2084	2958	3247	1948	2160	2587	2923	2268
ENSG00000244401	192	195	171	280	218	172	157	186	233	156	214	211
ENSG00000222476	156	226	189	207	262	119	165	308	123	232	299	157
ENSG00000238106	270	268	523	785	474	447	460	366	335	720	371	407
ENSG00000123110	178	113	104	82	124	200	131	79	219	226	165	262
ENSG00000149060	159	101	115	108	140	386	203	235	219	189	280	343
ENSG00000141797	1383	1983	1915	1336	4492	11072	7673	6747	3543	3370	2854	2797
ENSG00000215708	167	180	113	135	169	100	301	307	143	281	159	176
ENSG00000205019	31	33	23	14	26	16	13	26	11	24	27	30
ENSG00000141169	661	474	598	360	514	360	396	697	468	342	396	450
ENSG00000119217	4	4	9	7	7	8	6	9	2	7	6	5
ENSG00000162409	6979	3158	6004	4388	3246	3775	4268	3208	4043	3732	2592	5338
ENSG00000217779	136	185	96	161	114	150	94	112	103	53	90	90
ENSG00000134655	230	188	131	84	37	185	68	205	189	162	182	199
ENSG00000245200	12861	13019	16039	12269	22203	14514	17399	10755	14687	15057	7812	12074
ENSG00000165530	10433	13690	12250	13581	8678	14052	15217	9800	24481	9821	8672	11829
ENSG00000246417	114	209	165	172	258	149	228	107	126	325	109	305
ENSG00000212627	790	370	671	360	736	651	696	606	646	997	579	708
ENSG00000107496	954	1542	1388	1244	1107	862	1187	937	1615	600	1138	938
ENSG00000146542	5344	4031	6476	6497	4653	6107	6220	2784	3736	10117	2949	4962
ENSG00000185965	93	99	109	138	110	88	125	169	63	96	118	105
ENSG00000168274	232	381	143	197	180	215	214	254	131	223	176	265
ENSG00000238869	1799	1695	1202	737	2854	2731	2026	2169	1590	1686	1719	1376
ENSG00000174644	231	417	262	248	274	276	406	285	273	422	311	131
ENSG00000237123	832	312	603	527	697	750	1206	583	573	819	574	657
ENSG00000128163	914	458	455	615	752	503	468	454	435	816	396	424
ENSG00000237681	20	14	21	13	60	64	99	40	31	18	36	39
ENSG00000189618	22	26	43	45	131	53	69	219	73	56	73	48
ENSG00000217464	4	1	1	2	2	0	2	2	2	2	1	2
ENSG00000196953	119	29	100	64	100	77	105	97	61	103	82	57
ENSG00000137845	2329	2186	2370	4750	3644	2173	2711	2032	2622	951	2833	2880
ENSG00000232433	7	12	20	8	12	23	22	17	18	14	17	10
ENSG00000174636	1247	1893	1657	2011	2615	2005	1641	2802	1717	1612	1846	1851
ENSG00000203994	903	602	779	1673	1326	996	1357	1224	1294	882	782	1303
ENSG00000136100	161	215	123	135	173	180	148	75	100	140	121	167
ENSG00000222147	174	108	88	124	199	275	194	101	166	106	147	136
ENSG00000210480	205	196	128	271	95	226	193	140	229	96	169	101
ENSG00000231455	51	32	25	19	40	17	24	15	28	40	28	31
ENSG00000176987	62	78	88	152	34	138	123	147	88	98	83	116
ENSG00000184616	119	176	91	179	195	144	163	199	227	171	187	76
ENSG00000176149	458	618	500	677	444	505	748	410	527	850	498	267
ENSG00000226686	991	1002	1329	745	1014	1381	1529	830	808	772	918	1286
ENSG00000115476	69	50	27	52	22	29	34	29	25	24	45	22
ENSG00000156725	977	402	843	1354	444	593	736	648	884	813	796	1016
ENSG00000180522	32	18	44	46	40	11	30	30	30	11	21	30
ENSG00000150792	138	120	158	70	99	204	90	139	72	129	125	65
ENSG00000151341	296	301	434	203	385	255	492	318	286	326	431	275
ENSG00000186171	113	188	242	196	114	151	129	203	106	141	187	199
ENSG00000231465	151	81	237	104	104	160	125	120	139	122	152	72
ENSG00000142607	269	185	315	177	189	406	209	250	482	155	245	245
ENSG00000151085	36	70	52	59	41	49	59	69	36	42	43	83
ENSG00000226080	37	45	37	43	50	83	37	46	32	46	36	72
ENSG00000198384	123	128	68	49	87	110	227	66	41	162	108	104
ENSG00000106530	574	805	1044	1141	490	1514	2234	745	833	951	1007	1509
ENSG00000195684	110	119	124	124	167	121	150	64	108	88	92	117
ENSG00000108731	10896	8108	5142	5845	11736	6306	13894	7793	7258	7898	8697	4578
ENSG00000146299	280	224	321	137	170	316	198	209	278	226	305	331
ENSG00000123612	0	1	0	3	0	2	2	0	6	2	0	1
ENSG00000225342	76	108	116	92	37	44	81	52	29	87	65	106
ENSG00000211491	4124	2729	3379	6620	2887	5284	5493	5799	6989	5108	4210	5098
ENSG00000104515	219	211	89	185	133	256	119	155	120	120	243	109
ENSG00000132207	49	74	57	71	67	35	48	65	67	43	98	88
ENSG00000245284	28	38	41	30	19	37	13	32	11	21	49	36
ENSG00000226408	1835	1754	2923	3254	6594	15251	9984	10333	3222	3475	2295	3769
ENSG00000235316	1478	1032	1011	1383	7314	8252	4367	5855	1629	2680	1841	2337
ENSG00000103331	598	599	534	420	905	405	642	568	528	852	1036	653
ENSG00000140747	395	635	709	284	568	525	605	415	162	432	550	411
ENSG00000151047	2758	3181	1736	2857	3040	2668	2109	3927	2466	2322	2133	2555
ENSG00000154161	426	898	994	887	682	852	903	966	593	873	893	501
ENSG00000158652	7	15	10	11	23	5	9	18	5	9	23	17
ENSG00000224281	631	481	769	575	718	934	1053	853	465	719	725	649
ENSG00000193726	246	262	94	204	141	226	266	180	408	231	180	217
ENSG00000134845	188	193	71	119	105	129	130	67	152	146	167	171
ENSG00000222500	562	674	425	668	1023	310	868	378	294	505	444	888
ENSG00000148137	195	109	113	170	134	247	109	194	150	231	104	184
ENSG00000101571	1	1	0	1	1	2	1	2	2	2	1	0
ENSG00000215673	3537	4376	3299	3327	22443	22825	16874	7451	11702	5354	9051	9368
ENSG00000166075	1084	1341	1559	1328	750	1415	1199	1163	1206	1082	872	1495
ENSG00000196305	151	207	116	133	104	117	132	156	148	263	115	173
ENSG00000158645	56	69	61	94	78	76	80	70	120	124	67	64
ENSG00000240836	251	169	304	208	387	437	235	252	248	236	293	155
ENSG00000201254	9	13	11	15	7	15	17	11	14	25	5	5
ENSG00000110993	244	254	251	493	312	184	216	270	313	264	305	453
ENSG00000181144	99	80	97	121	156	152	81	221	160	193	161	141
ENSG00000120729	52	74	60	64	54	58	90	44	93	20	94	101
ENSG00000176923	22	44	15	17	14	21	17	19	33	33	25	30
ENSG00000218857	53	28	29	38	42	59	25	53	42	35	29	51
ENSG00000132146	2719	1783	1579	961	6334	5764	6423	3708	2183	2288	4012	2385
ENSG00000162113	1319	3028	2812	1013	1288	2474	1157	1910	3181	2754	1376	2739
ENSG00000181279	480	400	462	262	330	367	614	369	207	397	553	287
ENSG00000184115	112	127	140	146	145	165	211	205	182	103	82	193
ENSG00000167141	23	26	33	28	19	40	52	24	27	21	31	30
ENSG00000129078	373	583	663	416	1053	1184	920	490	417	524	561	587
ENSG00000108590	3491	3366	2904	4873	2702	2074	3858	3784	3120	3993	4169	3098
ENSG00000120123	9	6	3	4	2	5	2	2	11	1	10	8
ENSG00000128282	2181	1629	1781	1043	1754	1366	2232	2571	2132	1953	1471	2335
ENSG00000170809	0	3	3	3	3	1	0	4	2	1	0	6
ENSG00000227392	88	54	70	75	80	77	81	75	137	99	119	65
