gene_id	SRR6200001	SRR6200002	SRR6200003	SRR6200004	SRR6200005	SRR6200006	SRR6200007	SRR6200008	SRR6200009	SRR6200010	SRR6200011	SRR6200012
ENSG00000075624	45	38	21	52	25	41	33	74	33	41	43	54
ENSG00000111640	145	115	116	87	41	109	113	135	67	93	142	80
ENSG00000166710	5637	4207	4323	3382	2565	4646	4741	3746	6161	4781	5375	5061
ENSG00000165704	669	380	409	564	471	1017	444	723	228	714	614	841
ENSG00000256269	4	7	3	1	6	8	7	3	7	6	4	5
ENSG00000073578	66	178	155	207	192	210	79	242	100	148	168	85
ENSG00000112592	37	29	48	41	53	42	83	24	43	27	38	71
ENSG00000089157	136	325	143	131	244	135	212	260	234	185	225	107
ENSG00000164924	2	11	6	8	5	8	2	3	3	5	12	6
ENSG00000196262	425	174	293	210	108	170	278	458	229	316	171	172
ENSG00000010000	122	270	287	214	189	188	91	183	93	332	331	193
ENSG00000010001	4121	4044	1572	3573	2735	6019	5141	2169	4257	2960	3752	2539
ENSG00000010002	247	338	456	164	353	198	552	204	295	424	147	303
ENSG00000010003	394	220	374	581	322	310	407	429	384	379	399	542
ENSG00000010004	11	11	6	16	5	6	2	7	7	4	8	3
ENSG00000010005	8490	18904	4865	7422	19027	15044	25887	14372	18250	6545	15392	13259
ENSG00000010006	6	4	3	6	3	4	8	3	1	1	3	3
ENSG00000010007	1190	1240	1322	1402	2229	951	744	1886	1610	1614	1951	1552
ENSG00000010008	67	96	90	68	327	353	230	346	95	51	172	131
ENSG00000010009	13	18	16	12	25	28	19	14	32	12	28	15
ENSG00000010010	50	43	59	46	26	39	54	47	52	24	30	16
ENSG00000010011	66	34	30	41	45	30	71	34	37	42	28	69
ENSG00000010012	255	253	423	227	403	289	278	377	292	303	396	237
ENSG00000010013	129	213	51	175	83	133	90	113	153	161	148	109
ENSG00000010014	2428	3003	2784	3316	4465	2753	4374	1731	2238	2296	2165	1639
ENSG00000010015	4	3	0	2	3	3	5	4	2	2	4	8
ENSG00000010016	82	176	101	239	130	141	146	184	112	196	123	102
ENSG00000010017	26	28	47	19	37	40	22	19	22	36	26	33
ENSG00000010018	813	752	595	636	569	618	1256	946	832	558	626	739
ENSG00000010019	0	1	0	2	4	1	0	2	4	0	3	6
ENSG00000010020	114	56	35	108	71	78	76	79	72	60	95	60
ENSG00000010021	165	358	178	338	182	220	267	254	262	295	219	353
ENSG00000010022	5	11	4	9	9	8	19	4	9	13	8	9
ENSG00000010023	1619	807	1201	815	436	1529	716	1842	1692	991	1482	838
ENSG00000010024	159	269	183	257	140	230	309	184	150	288	291	199
ENSG00000010025	665	808	1081	1202	1092	831	1843	822	951	1143	1117	1769
ENSG00000010026	1371	821	934	818	1412	1334	1477	1065	1263	867	1136	1361
ENSG00000010027	20	14	26	15	9	37	7	13	15	24	22	30
ENSG00000010028	28	18	43	23	156	111	212	92	27	59	30	69
ENSG00000010029	90	81	143	88	743	388	625	657	164	152	132	200
ENSG00000010030	798	451	1070	376	433	854	594	563	506	537	443	618
ENSG00000010031	1029	890	599	837	817	1066	648	1015	874	576	850	749
ENSG00000010032	43	54	31	50	102	223	100	97	63	84	80	91
ENSG00000010033	52	54	46	16	163	104	188	108	93	65	97	102
ENSG00000010034	19	20	25	11	27	16	32	31	37	34	27	34
ENSG00000010035	62	42	34	76	62	46	61	16	30	39	54	57
ENSG00000010036	70	79	120	82	120	93	66	78	35	63	53	112
ENSG00000010037	119	191	100	160	137	45	96	146	104	127	138	150
ENSG00000010038	10461	9204	6633	6770	7814	9798	7052	8886	6808	5335	3817	9486
ENSG00000010039	54	35	48	36	36	78	60	57	64	31	44	91
ENSG00000010040	61	67	83	81	73	134	96	63	79	108	78	117
ENSG00000010041	193	425	458	520	194	255	389	314	395	201	395	322
ENSG00000010042	18	24	22	27	20	27	27	25	19	13	19	35
ENSG00000010043	88	101	69	117	71	42	89	55	120	67	54	44
ENSG00000010044	159	95	151	143	167	179	130	235	81	174	98	129
ENSG00000010045	655	201	480	635	854	517	739	919	855	663	839	991
ENSG00000010046	10	19	14	11	6	9	8	9	10	20	8	10
