gene_id	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000075624	373	225	400	225	169	332	171	565
ENSG00000111640	836	586	875	823	786	322	863	907
ENSG00000166710	401	362	320	361	281	157	344	320
ENSG00000165704	14	9	6	13	9	10	8	19
ENSG00000256269	1684	1151	779	608	1623	525	1921	1324
ENSG00000073578	286	296	232	523	389	310	389	307
ENSG00000112592	29	36	55	51	80	42	55	66
ENSG00000089157	394	378	289	642	184	314	427	432
ENSG00000164924	255	242	331	352	499	404	460	367
ENSG00000196262	221	272	182	243	230	333	185	242
ENSG00000010000	132	197	251	115	245	342	259	317
ENSG00000010001	826	319	276	480	526	272	410	336
ENSG00000010002	32	15	43	23	26	61	55	32
ENSG00000010003	345	193	245	140	126	126	207	152
ENSG00000010004	35	79	63	49	16	58	29	51
ENSG00000010005	814	940	633	348	358	369	447	518
ENSG00000010006	188	130	155	163	178	373	230	165
ENSG00000010007	90	98	177	83	77	117	79	84
ENSG00000010008	27	15	33	56	41	41	14	22
ENSG00000010009	109	54	91	98	60	59	91	117
ENSG00000010010	119	61	171	203	95	144	106	191
ENSG00000010011	216	93	204	85	205	81	213	47
ENSG00000010012	2005	2139	2202	1412	1462	2220	1770	2359
ENSG00000010013	1825	1071	808	1345	1112	1180	1448	1332
ENSG00000010014	0	2	0	0	1	0	0	0
ENSG00000010015	3	2	2	6	4	1	4	4
ENSG00000010016	133	138	112	107	103	114	144	98
ENSG00000010017	210	77	117	52	103	76	151	47
ENSG00000010018	165	268	144	256	264	229	150	188
ENSG00000010019	251	277	221	282	149	297	124	96
ENSG00000010020	6110	8753	9462	7278	8484	11090	6558	11580
ENSG00000010021	11	14	19	14	22	14	10	14
ENSG00000010022	85	49	53	62	72	107	92	96
ENSG00000010023	28020	12961	11846	11482	14824	17237	19074	10103
ENSG00000010024	516	631	642	464	334	673	616	569
ENSG00000010025	665	622	583	718	550	818	342	707
ENSG00000010026	58	52	59	51	38	58	30	44
ENSG00000010027	3	5	8	5	5	6	3	1
ENSG00000010028	203	162	225	296	164	125	189	194
ENSG00000010029	224	183	106	94	151	229	141	152
ENSG00000010030	9	19	12	12	18	8	12	8
ENSG00000010031	51	35	61	49	56	17	38	41
ENSG00000010032	43	120	118	217	118	131	146	164
ENSG00000010033	20	26	23	10	14	38	19	21
ENSG00000010034	186	122	105	129	101	175	100	165
ENSG00000010035	230	135	171	213	137	133	70	111
ENSG00000010036	73	78	98	172	229	210	41	116
ENSG00000010037	17	58	44	15	68	54	97	43
ENSG00000010038	618	510	472	367	618	721	489	406
ENSG00000010039	1417	696	738	772	527	997	936	615
ENSG00000010040	458	281	346	232	382	311	289	301
ENSG00000010041	19	33	34	20	28	44	56	36
ENSG00000010042	281	512	619	719	720	722	295	369
ENSG00000010043	31	54	102	34	76	31	58	85
ENSG00000010044	835	1791	921	915	493	766	1099	1150
ENSG00000010045	19	16	29	22	17	16	13	7
ENSG00000010046	1746	1064	1761	637	1739	618	1171	1281
ENSG00000010047	115	134	149	218	183	163	159	156
ENSG00000010048	12	11	12	12	13	20	4	7
ENSG00000010049	58	85	110	79	37	43	59	61
ENSG00000010050	121	271	92	210	146	141	324	131
ENSG00000010051	211	178	261	215	254	148	176	85
ENSG00000010052	24	12	30	16	29	14	39	18
ENSG00000010053	16	21	13	16	15	22	20	15
ENSG00000010054	399	223	493	169	371	156	331	393
ENSG00000010055	107	71	130	70	127	86	75	28
ENSG00000010056	363	251	191	304	146	272	167	256
ENSG00000010057	581	539	563	822	459	747	803	548
ENSG00000010058	8	3	8	6	5	4	10	8
ENSG00000010059	173	148	197	322	216	288	247	182
ENSG00000010060	1511	1665	2948	1359	1488	1596	1391	4438
ENSG00000010061	172	83	29	98	58	52	159	84
ENSG00000010062	22	36	27	35	14	21	38	41
ENSG00000010063	291	607	528	927	705	531	550	461
ENSG00000010064	273	268	307	287	118	180	173	345
ENSG00000010065	444	1162	876	897	600	737	562	936
ENSG00000010066	97	125	120	65	76	38	73	111
ENSG00000010067	7	8	7	3	9	5	3	5
ENSG00000010068	98	137	136	104	168	174	217	102
ENSG00000010069	124	56	72	33	50	15	61	71
ENSG00000010070	1091	601	1534	622	1694	472	1757	881
ENSG00000010071	149	140	367	125	299	208	154	300
ENSG00000010072	5	7	5	4	16	2	4	5
ENSG00000010073	15	10	15	3	26	24	22	15
