gene_id	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000075624	7950	251	210	352	140	353	201	200
ENSG00000111640	38600	493	952	484	639	787	378	920
ENSG00000166710	9400	264	379	450	220	335	281	368
ENSG00000165704	700	9	13	11	14	11	11	8
ENSG00000256269	113000	1597	2300	879	1597	982	2497	1117
ENSG00000073578	18400	324	341	235	278	510	290	453
ENSG00000112592	3250	26	42	29	47	57	92	70
ENSG00000089157	29700	311	366	646	401	438	296	575
ENSG00000164924	16550	187	587	429	702	262	1027	266
ENSG00000196262	4700	271	223	184	162	305	145	521
ENSG00000217219	17200	124	274	72	355	177	271	62
ENSG00000191236	17500	257	339	328	263	375	430	203
ENSG00000190714	4100	23	121	28	57	21	83	28
ENSG00000126646	4750	79	55	69	71	116	77	73
ENSG00000243097	4550	38	52	35	46	73	65	41
ENSG00000102724	30550	480	718	452	506	465	552	392
ENSG00000105017	6550	190	175	134	151	139	213	219
ENSG00000105246	4750	81	70	71	71	78	138	79
ENSG00000108211	1900	35	20	13	38	36	26	27
ENSG00000155562	7600	93	102	99	65	50	90	124
ENSG00000230271	5900	88	156	143	171	139	110	135
ENSG00000246198	6300	80	80	109	61	139	49	62
ENSG00000223501	98000	2344	1919	1863	1411	2346	1760	1739
ENSG00000137930	120550	1322	3077	835	1865	1328	763	1404
ENSG00000219090	0	0	1	1	0	3	0	0
ENSG00000237871	150	4	3	2	2	1	4	6
ENSG00000203499	4650	99	131	103	132	67	83	79
ENSG00000247247	4350	33	74	80	76	65	45	63
ENSG00000161818	10600	232	226	154	166	241	216	102
ENSG00000242295	18450	322	314	192	348	224	269	249
ENSG00000117344	333550	8623	10431	2858	17434	6176	10318	5869
ENSG00000245275	850	15	11	13	29	23	25	11
ENSG00000109446	3300	83	48	86	96	70	90	111
ENSG00000192988	484850	7264	8719	12978	4216	7894	7464	11406
ENSG00000222250	26150	781	412	450	621	604	630	438
ENSG00000157552	31850	404	578	707	483	236	578	522
ENSG00000243803	2750	35	37	14	53	57	57	68
ENSG00000220872	250	5	4	4	4	9	2	4
ENSG00000142547	11250	225	176	188	242	106	201	213
ENSG00000149642	4600	214	278	265	209	185	142	213
ENSG00000124415	950	16	8	9	6	19	14	15
ENSG00000233644	2550	41	45	32	27	25	40	36
ENSG00000234217	5200	63	100	127	115	148	55	123
ENSG00000222013	1300	44	18	29	28	46	11	26
ENSG00000197737	5350	141	55	109	104	91	148	112
ENSG00000149258	12050	159	140	168	146	157	102	199
ENSG00000243956	8000	202	150	253	156	168	94	191
ENSG00000224496	2250	28	51	83	91	76	62	53
ENSG00000154370	28550	586	445	390	1086	505	510	804
ENSG00000185034	43050	918	1165	824	854	835	681	1315
ENSG00000120835	8400	221	217	251	199	285	296	70
ENSG00000127620	1700	36	30	24	22	30	38	30
ENSG00000186215	86600	495	802	409	1537	601	1050	690
ENSG00000193937	4650	66	90	27	86	59	77	93
ENSG00000172942	44700	1270	1021	858	680	558	809	686
ENSG00000129570	1000	22	18	27	18	18	24	13
ENSG00000189709	37500	707	670	575	868	728	814	1049
ENSG00000119639	11650	95	137	77	246	136	166	129
ENSG00000180484	900	9	4	23	17	11	6	4
ENSG00000178748	5200	57	51	97	57	56	69	128
ENSG00000216478	12300	199	150	138	105	156	98	171
ENSG00000144960	21350	444	259	209	324	181	257	220
ENSG00000138029	700	25	10	37	13	22	25	28
ENSG00000239788	600	24	9	21	22	15	43	14
ENSG00000201025	7800	175	400	132	104	310	134	161
ENSG00000110929	2100	53	53	92	75	58	86	55
ENSG00000240007	21300	212	578	432	458	197	356	165
ENSG00000198841	27500	411	1034	886	1014	599	688	840
ENSG00000128723	150	9	6	3	4	2	4	5
ENSG00000117117	15300	280	286	390	143	227	132	291
ENSG00000179340	97800	1809	1806	2425	849	1179	1080	971
ENSG00000122781	5300	38	111	47	96	77	107	93
ENSG00000138390	750	47	25	26	29	29	24	33
ENSG00000172951	23900	574	706	355	828	547	521	682
ENSG00000218333	9200	330	197	230	139	221	163	565
ENSG00000113416	69350	588	725	939	743	889	1550	765
ENSG00000138114	6900	82	174	51	164	109	67	122
ENSG00000231122	550	1	9	10	12	11	7	6
ENSG00000157421	13300	97	145	272	274	80	162	182
ENSG00000150314	3100	34	69	38	53	56	55	51
ENSG00000152999	25800	552	475	335	1193	401	695	487
ENSG00000241974	7100	149	282	256	199	215	195	233
ENSG00000176857	250	3	4	9	2	2	0	4
ENSG00000234680	500	18	10	7	11	21	20	29
ENSG00000194629	40900	836	1136	1041	803	1165	1313	934
ENSG00000162409	39350	579	1330	284	1239	435	1285	374
ENSG00000152286	1350	61	43	28	17	22	54	38
ENSG00000168766	5450	160	191	165	130	106	70	87
ENSG00000156129	18700	295	266	304	189	396	630	511
ENSG00000220347	13050	271	380	508	452	267	506	344
ENSG00000136221	134350	676	2062	1408	898	920	1966	1044
ENSG00000148811	11650	112	399	264	531	205	459	319
ENSG00000198511	3700	45	115	121	98	147	137	64
ENSG00000148311	5600	97	122	121	59	214	82	123
ENSG00000239761	90000	1401	771	1383	936	1981	1542	873
ENSG00000181301	50	2	0	2	2	1	1	1
ENSG00000146542	4100	59	165	106	103	70	207	127
ENSG00000184165	6650	84	47	171	211	180	176	88
ENSG00000192753	550	4	8	2	5	3	2	5
ENSG00000122539	26750	254	570	379	222	446	569	419
ENSG00000227397	1200	29	28	40	42	52	35	45
ENSG00000241766	48300	1349	584	766	773	811	916	942
ENSG00000191367	7250	79	36	52	104	179	102	130
ENSG00000196953	40850	748	294	573	419	460	461	536
ENSG00000180126	42600	1655	1612	2026	990	1246	1475	1453
ENSG00000196498	12600	224	204	312	206	340	369	293
ENSG00000108749	1800	37	22	13	22	32	14	14
ENSG00000110765	400	6	5	5	8	5	4	10
ENSG00000128701	351100	3265	8400	3095	11198	5535	10008	8756
ENSG00000122186	4700	59	106	148	104	141	119	127
ENSG00000137801	700	36	37	43	42	49	45	27
ENSG00000129195	10600	339	162	197	118	213	204	144
ENSG00000198898	8100	119	83	98	118	75	66	113
ENSG00000221444	29100	776	1043	775	570	482	633	719
ENSG00000173164	7050	127	54	114	256	212	236	167
ENSG00000173472	6650	174	83	214	170	204	151	161
ENSG00000176149	2250	27	50	51	27	24	46	73
ENSG00000226686	15250	229	169	324	287	214	312	365
ENSG00000196867	1250	29	11	18	14	16	23	27
ENSG00000192464	32350	782	410	456	532	669	379	792
ENSG00000140388	147800	2711	2880	2371	2323	2468	1497	3375
ENSG00000222943	650	3	12	17	9	8	8	4
ENSG00000133877	150	2	0	0	2	0	1	2
ENSG00000224272	23450	652	539	629	532	618	617	426
ENSG00000199005	822450	37254	13135	24258	27279	23415	11605	15560
ENSG00000180366	950	24	63	33	24	11	32	18
ENSG00000115405	550	12	8	14	3	9	7	20
ENSG00000129074	20850	674	452	772	513	357	448	496
ENSG00000221145	1500	30	27	37	26	15	52	18
ENSG00000198384	1850	32	27	67	65	46	60	26
ENSG00000221947	5050	77	70	111	74	52	112	99
ENSG00000201337	17500	322	460	347	259	631	349	294
