gene_id	N61311_untreated	N61311_dex	N052611_dex	N080611_dex	N61311R_dex
ENSG00000075624	159	251	352	353	200
ENSG00000111640	772	493	484	787	920
ENSG00000166710	188	264	450	335	368
ENSG00000165704	14	9	11	11	8
ENSG00000256269	2260	1597	879	982	1117
ENSG00000073578	368	324	235	510	453
ENSG00000112592	65	26	29	57	70
ENSG00000089157	594	311	646	438	575
ENSG00000164924	331	187	429	262	266
ENSG00000196262	94	271	184	305	521
ENSG00000217219	344	124	72	177	62
ENSG00000191236	350	257	328	375	203
ENSG00000190714	82	23	28	21	28
ENSG00000126646	95	79	69	116	73
ENSG00000243097	91	38	35	73	41
ENSG00000102724	611	480	452	465	392
ENSG00000105017	131	190	134	139	219
ENSG00000105246	95	81	71	78	79
ENSG00000108211	38	35	13	36	27
ENSG00000155562	152	93	99	50	124
ENSG00000230271	118	88	143	139	135
ENSG00000246198	126	80	109	139	62
ENSG00000223501	1960	2344	1863	2346	1739
ENSG00000137930	2411	1322	835	1328	1404
ENSG00000219090	0	0	1	3	0
ENSG00000237871	3	4	2	1	6
ENSG00000203499	93	99	103	67	79
ENSG00000247247	87	33	80	65	63
ENSG00000161818	212	232	154	241	102
ENSG00000242295	369	322	192	224	249
ENSG00000117344	6671	8623	2858	6176	5869
ENSG00000245275	17	15	13	23	11
ENSG00000109446	66	83	86	70	111
ENSG00000192988	9697	7264	12978	7894	11406
ENSG00000222250	523	781	450	604	438
ENSG00000157552	637	404	707	236	522
ENSG00000243803	55	35	14	57	68
ENSG00000220872	5	5	4	9	4
ENSG00000142547	225	225	188	106	213
ENSG00000149642	92	214	265	185	213
ENSG00000124415	19	16	9	19	15
ENSG00000233644	51	41	32	25	36
ENSG00000234217	104	63	127	148	123
ENSG00000222013	26	44	29	46	26
ENSG00000197737	107	141	109	91	112
ENSG00000149258	241	159	168	157	199
ENSG00000243956	160	202	253	168	191
ENSG00000224496	45	28	83	76	53
ENSG00000154370	571	586	390	505	804
ENSG00000185034	861	918	824	835	1315
ENSG00000120835	168	221	251	285	70
ENSG00000127620	34	36	24	30	30
ENSG00000186215	1732	495	409	601	690
ENSG00000193937	93	66	27	59	93
ENSG00000172942	894	1270	858	558	686
ENSG00000129570	20	22	27	18	13
ENSG00000189709	750	707	575	728	1049
ENSG00000119639	233	95	77	136	129
ENSG00000180484	18	9	23	11	4
ENSG00000178748	104	57	97	56	128
ENSG00000216478	246	199	138	156	171
ENSG00000144960	427	444	209	181	220
ENSG00000138029	14	25	37	22	28
ENSG00000239788	12	24	21	15	14
ENSG00000201025	156	175	132	310	161
ENSG00000110929	42	53	92	58	55
ENSG00000240007	426	212	432	197	165
ENSG00000198841	550	411	886	599	840
ENSG00000128723	3	9	3	2	5
ENSG00000117117	306	280	390	227	291
ENSG00000179340	1956	1809	2425	1179	971
ENSG00000122781	106	38	47	77	93
ENSG00000138390	15	47	26	29	33
ENSG00000172951	478	574	355	547	682
ENSG00000218333	184	330	230	221	565
ENSG00000113416	1387	588	939	889	765
ENSG00000138114	138	82	51	109	122
ENSG00000231122	11	1	10	11	6
ENSG00000157421	266	97	272	80	182
ENSG00000150314	62	34	38	56	51
ENSG00000152999	516	552	335	401	487
ENSG00000241974	142	149	256	215	233
ENSG00000176857	5	3	9	2	4
ENSG00000234680	10	18	7	21	29
ENSG00000194629	818	836	1041	1165	934
ENSG00000162409	787	579	284	435	374
ENSG00000152286	27	61	28	22	38
ENSG00000168766	109	160	165	106	87
ENSG00000156129	374	295	304	396	511
ENSG00000220347	261	271	508	267	344
ENSG00000136221	2687	676	1408	920	1044
ENSG00000148811	233	112	264	205	319
ENSG00000198511	74	45	121	147	64
ENSG00000148311	112	97	121	214	123
ENSG00000239761	1800	1401	1383	1981	873
ENSG00000181301	1	2	2	1	1
ENSG00000146542	82	59	106	70	127
ENSG00000184165	133	84	171	180	88
ENSG00000192753	11	4	2	3	5
ENSG00000122539	535	254	379	446	419
ENSG00000227397	24	29	40	52	45
ENSG00000241766	966	1349	766	811	942
ENSG00000191367	145	79	52	179	130
ENSG00000196953	817	748	573	460	536
ENSG00000180126	852	1655	2026	1246	1453
ENSG00000196498	252	224	312	340	293
ENSG00000108749	36	37	13	32	14
ENSG00000110765	8	6	5	5	10
ENSG00000128701	7022	3265	3095	5535	8756
ENSG00000122186	94	59	148	141	127
ENSG00000137801	14	36	43	49	27
ENSG00000129195	212	339	197	213	144
ENSG00000198898	162	119	98	75	113
ENSG00000221444	582	776	775	482	719
ENSG00000173164	141	127	114	212	167
ENSG00000173472	133	174	214	204	161
ENSG00000176149	45	27	51	24	73
ENSG00000226686	305	229	324	214	365
