	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000075624	159	251	210	352	140	353	201	200
ENSG00000111640	772	493	952	484	639	787	378	920
ENSG00000166710	188	264	379	450	220	335	281	368
ENSG00000165704	14	9	13	11	14	11	11	8
ENSG00000256269	2260	1597	2300	879	1597	982	2497	1117
ENSG00000073578	368	324	341	235	278	510	290	453
ENSG00000112592	65	26	42	29	47	57	92	70
ENSG00000089157	594	311	366	646	401	438	296	575
ENSG00000164924	331	187	587	429	702	262	1027	266
ENSG00000196262	94	271	223	184	162	305	145	521
TP53	344	124	274	72	355	177	271	62
ACTB	350	257	339	328	263	375	430	203
GAPDH	82	23	121	28	57	21	83	28
MYC	95	79	55	69	71	116	77	73
BRCA1	91	38	52	35	46	73	65	41
EGFR	611	480	718	452	506	465	552	392
KRAS	131	190	175	134	151	139	213	219
PTEN	95	81	70	71	71	78	138	79
RB1	38	35	20	13	38	36	26	27
APC	152	93	102	99	65	50	90	124
CDH1	118	88	156	143	171	139	110	135
VHL	126	80	80	109	61	139	49	62
SMAD4	1960	2344	1919	1863	1411	2346	1760	1739
PIK3CA	2411	1322	3077	835	1865	1328	763	1404
BRAF	0	0	1	1	0	3	0	0
ALK	3	4	3	2	2	1	4	6
FGFR1	93	99	131	103	132	67	83	79
NRAS	87	33	74	80	76	65	45	63
IDH1	212	232	226	154	166	241	216	102
CDKN2A	369	322	314	192	348	224	269	249
MDM2	6671	8623	10431	2858	17434	6176	10318	5869
BCL2	17	15	11	13	29	23	25	11
VEGFA	66	83	48	86	96	70	90	111
FLT3	9697	7264	8719	12978	4216	7894	7464	11406
NPM1	523	781	412	450	621	604	630	438
DNMT3A	637	404	578	707	483	236	578	522
TET2	55	35	37	14	53	57	57	68
RUNX1	5	5	4	4	4	9	2	4
CEBPA	225	225	176	188	242	106	201	213
NF1	92	214	278	265	209	185	142	213
PTPN11	19	16	8	9	6	19	14	15
JAK2	51	41	45	32	27	25	40	36
STAT3	104	63	100	127	115	148	55	123
KIT	26	44	18	29	28	46	11	26
PDGFRA	107	141	55	109	104	91	148	112
ABL1	241	159	140	168	146	157	102	199
BCR	160	202	150	253	156	168	94	191
PML	45	28	51	83	91	76	62	53
RARA	571	586	445	390	1086	505	510	804
NOTCH1	861	918	1165	824	854	835	681	1315
FBXW7	168	221	217	251	199	285	296	70
SF3B1	34	36	30	24	22	30	38	30
SRSF2	1732	495	802	409	1537	601	1050	690
U2AF1	93	66	90	27	86	59	77	93
ASXL1	894	1270	1021	858	680	558	809	686
EZH2	20	22	18	27	18	18	24	13
SUZ12	750	707	670	575	868	728	814	1049
